poem_poem_id,诗名,花名,朝代,poem_top10_ids,poem_top10_names,poem_top10_scores,ana_top10_ids,ana_top10_names,ana_top10_scores
227,绯桃花歌,桃花,唐,"[952, 944, 975, 937, 706, 598, 932, 983, 339, 327]","[""红梅四首(其二)"", ""红 梅"", ""水仙花"", ""野菊"", ""迈陂塘"", ""榴 花"", ""酷相思"", ""庆宫春"", ""绣 球"", ""东风第一枝""]","[0.6676, 0.6197, 0.5646, 0.5569, 0.4737, 0.4487, 0.4335, 0.4325, 0.4231, 0.4122]","[600, 934, 611, 388, 598, 595, 857, 909, 847, 610]","[""西园石榴开"", ""叹庭前甘菊花"", ""石竹花"", ""惜牡丹花"", ""榴 花"", ""咏邻女东窗海石榴"", ""晚香轩"", ""邵伯梵行寺山茶"", ""八月二十八日子容过对菊"", ""石竹花""]","[0.9458, 0.9447, 0.9404, 0.9402, 0.9383, 0.938, 0.9377, 0.9367, 0.9363, 0.9361]"
219,如梦令,樱桃花,宋,"[339, 521, 706, 638, 903, 218, 983, 872, 479, 515]","[""绣 球"", ""木棉花歌"", ""迈陂塘"", ""采莲曲"", ""绛都春"", ""如梦令"", ""庆宫春"", ""题菊花"", ""扬州慢"", ""水龙吟""]","[0.4304, 0.3688, 0.3423, 0.3263, 0.3203, 0.3161, 0.3076, 0.3021, 0.2974, 0.2892]","[850, 974, 847, 179, 796, 595, 227, 202, 959, 909]","[""九 日"", ""水 仙"", ""八月二十八日子容过对菊"", ""折海棠戏赠圣俞"", ""桂 花"", ""咏邻女东窗海石榴"", ""绯桃花歌"", ""赏海棠三绝"", ""小重山"", ""邵伯梵行寺山茶""]","[0.9354, 0.9296, 0.9197, 0.9186, 0.9179, 0.9173, 0.917, 0.9159, 0.9154, 0.9146]"
495,柳花词三首,杨花,唐,"[979, 516, 824, 899, 600, 388, 746, 291, 960, 931]","[""菩萨蛮"", ""水龙吟"", ""菩萨蛮"", ""南乡子"", ""西园石榴开"", ""惜牡丹花"", ""白槿花"", ""画堂春"", ""定风波"", ""婆罗门引""]","[0.5096, 0.4466, 0.3933, 0.3396, 0.3329, 0.3103, 0.288, 0.2872, 0.2639, 0.2561]","[791, 746, 185, 363, 748, 611, 900, 770, 346, 997]","[""曼陀罗"", ""白槿花"", ""海 棠"", ""远公亭牡丹"", ""槿 花(其-)"", ""石竹花"", ""小桃红"", ""水龙吟蓼花"", ""木 兰"", ""咏瑞香""]","[0.9337, 0.9328, 0.9322, 0.9317, 0.9292, 0.9283, 0.9278, 0.9274, 0.9272, 0.9267]"
406,水龙吟,牡丹,宋,"[481, 956, 512, 608, 543, 984, 770, 955, 155, 704]","[""喜迁莺"", ""留春 令"", ""声声慢"", ""贺新郎"", ""水龙吟"", ""贺新郎"", ""水龙吟蓼花"", ""种红梅一株于竹下赋此"", ""贺新郎"", ""水龙吟白莲""]","[0.776, 0.6658, 0.6109, 0.5839, 0.5834, 0.5464, 0.5103, 0.4917, 0.4509, 0.4471]","[363, 543, 900, 182, 948, 946, 791, 224, 388, 898]","[""远公亭牡丹"", ""水龙吟"", ""小桃红"", ""张园海棠"", ""红 梅"", ""红 梅"", ""曼陀罗"", ""宴清都"", ""惜牡丹花"", ""鹪鸪天""]","[0.9507, 0.945, 0.9418, 0.9357, 0.9346, 0.9344, 0.9335, 0.9315, 0.9314, 0.9306]"
481,喜迁莺,虞美人,元,"[406, 955, 150, 260, 956, 543, 512, 770, 224, 137]","[""水龙吟"", ""种红梅一株于竹下赋此"", ""疏 影"", ""露 华"", ""留春 令"", ""水龙吟"", ""声声慢"", ""水龙吟蓼花"", ""宴清都"", ""江梅引""]","[0.776, 0.6784, 0.6614, 0.6161, 0.6148, 0.5813, 0.5701, 0.5661, 0.5554, 0.5461]","[479, 959, 137, 817, 607, 764, 136, 791, 259, 440]","[""扬州慢"", ""小重山"", ""江梅引"", ""古香慢"", ""庆清朝"", ""蓼 花"", ""孤雁儿"", ""曼陀罗"", ""定风波"", ""六 丑""]","[0.9521, 0.9473, 0.9393, 0.9375, 0.9372, 0.9361, 0.9354, 0.9336, 0.9323, 0.9321]"
388,惜牡丹花,牡丹,唐,"[286, 748, 157, 268, 185, 495, 611, 255, 925, 363]","[""游园不值"", ""槿 花(其-)"", ""代迎春花招刘郎中"", ""杏 花"", ""海 棠"", ""柳花词三首"", ""石竹花"", ""潘岳爱桃"", ""芙 蓉"", ""远公亭牡丹""]","[0.5513, 0.3555, 0.3212, 0.319, 0.3152, 0.3103, 0.2878, 0.264, 0.259, 0.2581]","[600, 598, 182, 179, 748, 202, 227, 470, 781, 601]","[""西园石榴开"", ""榴 花"", ""张园海棠"", ""折海棠戏赠圣俞"", ""槿 花(其-)"", ""赏海棠三绝"", ""绯桃花歌"", ""金沙花"", ""紫 薇"", ""榴 花""]","[0.949, 0.9469, 0.9451, 0.944, 0.9428, 0.941, 0.9402, 0.9394, 0.9394, 0.9375]"
369,牡 丹,牡丹,唐,"[663, 149, 440, 804, 827, 796, 607, 905, 774, 259]","[""白 莲"", ""疏 影"", ""六 丑"", ""东城桂"", ""滴滴金"", ""桂 花"", ""庆清朝"", ""茶轩为陈惟寅赋"", ""题画鸡冠花"", ""定风波""]","[0.4855, 0.3382, 0.3288, 0.3285, 0.3238, 0.3024, 0.2956, 0.2922, 0.2877, 0.27]","[708, 639, 259, 470, 521, 363, 702, 608, 440, 544]","[""念奴娇"", ""奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教"", ""定风波"", ""金沙花"", ""木棉花歌"", ""远公亭牡丹"", ""洞仙歌令"", ""贺新郎"", ""六 丑"", ""望海潮""]","[0.9325, 0.9295, 0.9273, 0.9215, 0.9209, 0.9198, 0.9197, 0.9192, 0.919, 0.9188]"
363,远公亭牡丹,牡丹,唐,"[748, 614, 696, 187, 953, 202, 975, 388, 286, 185]","[""槿 花(其-)"", ""雨过山村"", ""玉楼春"", ""海棠"", ""题延平刘郎中廷信所藏红梅"", ""赏海棠三绝"", ""水仙花"", ""惜牡丹花"", ""游园不值"", ""海 棠""]","[0.3902, 0.3482, 0.2756, 0.2756, 0.2624, 0.2608, 0.2607, 0.2581, 0.2562, 0.2532]","[543, 406, 748, 900, 791, 934, 611, 749, 137, 185]","[""水龙吟"", ""水龙吟"", ""槿 花(其-)"", ""小桃红"", ""曼陀罗"", ""叹庭前甘菊花"", ""石竹花"", ""咏槿花"", ""江梅引"", ""海 棠""]","[0.9512, 0.9507, 0.9488, 0.9478, 0.9477, 0.9436, 0.9407, 0.94, 0.9395, 0.9384]"
470,金沙花,金沙,宋,"[559, 841, 329, 947, 955, 746, 933, 479, 995, 564]","[""定风波"", ""山园草间菊数枝开，席地独酌"", ""腊前月季"", ""红 梅"", ""种红梅一株于竹下赋此"", ""白槿花"", ""咏甘菊"", ""扬州慢"", ""瑞香花"", ""赋虞美人草""]","[0.3294, 0.2894, 0.2832, 0.261, 0.2597, 0.253, 0.2501, 0.2492, 0.2451, 0.2445]","[934, 834, 218, 857, 611, 226, 505, 521, 179, 603]","[""叹庭前甘菊花"", ""饮 酒（其五）"", ""如梦令"", ""晚香轩"", ""石竹花"", ""风雨看舟前落花戏为新句"", ""如梦"", ""木棉花歌"", ""折海棠戏赠圣俞"", ""榴 花""]","[0.9493, 0.9492, 0.9464, 0.9462, 0.9456, 0.9456, 0.9449, 0.9442, 0.9441, 0.9439]"
465,玲珑四犯,蔷薇,宋,"[817, 228, 756, 770, 224, 137, 260, 150, 327, 932]","[""古香慢"", ""桃 花"", ""白秋海棠"", ""水龙吟蓼花"", ""宴清都"", ""江梅引"", ""露 华"", ""疏 影"", ""东风第一枝"", ""酷相思""]","[0.5322, 0.5244, 0.5122, 0.5061, 0.4866, 0.4818, 0.4803, 0.4688, 0.4592, 0.4488]","[466, 770, 997, 995, 479, 961, 746, 900, 960, 789]","[""贺新郎"", ""水龙吟蓼花"", ""咏瑞香"", ""瑞香花"", ""扬州慢"", ""王充道送水仙花五十枝"", ""白槿花"", ""小桃红"", ""定风波"", ""金钗股""]","[0.9471, 0.9303, 0.9285, 0.9271, 0.927, 0.9261, 0.926, 0.9256, 0.9248, 0.9247]"
