ID,诗名,花名,朝代,月份,正文_preview,top10_tokens,top5_preview
355,东风第一枝,棠梨花,清,正月,麦陇残寒，桑阴碎雨，酿成一片花意。买春谁散金钱，媚晚竟铺绣绮,"[[""烟"", 0.04916683956980705], [""苔"", 0.036182500422000885], [""凤"", 0.021648384630680084], [""寒"", 0.01947888918220997], [""蝶"", 0.018735479563474655], [""阳"", 0.018538059666752815], [""靴"", 0.01837240718305111], [""桑"", 0.018281614407896996], [""园"", 0.01787513494491577], [""心"", 0.017582105472683907]]",烟、苔、凤、寒、蝶
157,代迎春花招刘郎中,迎春花,唐,正月,"幸与松筠相近栽， 不随桃李一时开。
杏园岂敢妨君去， 未有花","[[""松"", 0.13437792658805847], [""筠"", 0.0963233932852745], [""花"", 0.060962844640016556], [""园"", 0.04504062235355377], [""敢"", 0.03745665401220322], [""看"", 0.031867530196905136], [""李"", 0.03170197084546089], [""有"", 0.02973858080804348], [""妨"", 0.028834041208028793], [""与"", 0.025833753868937492]]",松、筠、花、园、敢
5,和秦太虚梅花,梅花,宋,正月,"西湖居士骨应槁， 只有此诗君压倒。
东坡先生心已灰， 为爱君","[[""江"", 0.04429846629500389], [""山"", 0.041368938982486725], [""坡"", 0.0301129799336195], [""裙"", 0.028301198035478592], [""花"", 0.024152016267180443], [""心"", 0.0209797415882349], [""马"", 0.018759846687316895], [""腰"", 0.01850288175046444], [""孤"", 0.01750326156616211], [""湖"", 0.015308357775211334]]",江、山、坡、裙、花
6,十一月二十六日，松风亭下梅花盛开，,梅花,宋,正月,"春风岭上淮南村， 昔年梅花曾断魂。
岂知流落复相见， 蛮风蟹","[[""浦"", 0.02687920816242695], [""蕊"", 0.02610711380839348], [""松"", 0.02548580802977085], [""愁"", 0.023733502253890038], [""花"", 0.023322392255067825], [""云"", 0.022477973252534866], [""淮"", 0.020095206797122955], [""荔"", 0.019792186096310616], [""桄"", 0.018006308004260063], [""棘"", 0.017470989376306534]]",浦、蕊、松、愁、花
7,再用前韵,梅花,宋,正月,"罗浮山下梅花村， 玉雪为骨冰为魂。
纷纷初疑月挂树， 耿耿独","[[""洒"", 0.05159910023212433], [""蕊"", 0.037495702505111694], [""园"", 0.035282060503959656], [""门"", 0.033091045916080475], [""山"", 0.02887781150639057], [""桑"", 0.02516036666929722], [""莱"", 0.020930446684360504], [""清"", 0.01970113255083561], [""绿"", 0.018660757690668106], [""花"", 0.017726413905620575]]",洒、蕊、园、门、山
12,十一月中旬扶风界见梅花,梅花,唐,正月,"匝路亭亭艳，非时裛袞香。
素娥惟与月，青女不饶霜。
赠远虚盈","[[""霜"", 0.05151167884469032], [""亭"", 0.03539998456835747], [""香"", 0.035086967051029205], [""青"", 0.034180302172899246], [""月"", 0.03295016661286354], [""娥"", 0.029592685401439667], [""女"", 0.02601529099047184], [""伤"", 0.025607191026210785], [""路"", 0.025357184931635857], [""肠"", 0.024707121774554253]]",霜、亭、香、青、月
202,赏海棠三绝,樱桃花,宋,二月,"芳春随分到贫家， 儿女多情惜岁华。
聊为海棠修故事， 去年灯","[[""棠"", 0.043172240257263184], [""瓶"", 0.038738153874874115], [""露"", 0.03434576094150543], [""烛"", 0.030004369094967842], [""寒"", 0.027041632682085037], [""宣"", 0.025719815865159035], [""风"", 0.023672033101320267], [""海"", 0.02156592532992363], [""花"", 0.02145332656800747], [""插"", 0.020733749493956566]]",棠、瓶、露、烛、寒
179,折海棠戏赠圣俞,樱桃花,宋,二月,"摇摇墙头花， 笑笑弄颜色。
荒凉众草间， 露此红的蛛。
草木","[[""陵"", 0.05049638822674751], [""花"", 0.04269890859723091], [""墙"", 0.03367064148187637], [""露"", 0.027570217847824097], [""摇"", 0.022549860179424286], [""笑"", 0.018763842061161995], [""浪"", 0.01875172182917595], [""哦"", 0.018618060275912285], [""蛛"", 0.017785780131816864], [""红"", 0.01686183549463749]]",陵、花、墙、露、摇
181,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,樱桃花,宋,二月,"江城地瘴蕃草木， 只有名花苦幽独。
嫣然一笑竹篱间， 桃李漫","[[""翠"", 0.03938740864396095], [""泪"", 0.03437327593564987], [""城"", 0.02924608252942562], [""盘"", 0.02071772888302803], [""李"", 0.01729336567223072], [""江"", 0.016942521557211876], [""晕"", 0.015892473980784416], [""花"", 0.012801251374185085], [""门"", 0.012726062908768654], [""林"", 0.01225410494953394]]",翠、泪、城、盘、李
182,张园海棠,樱桃花,宋,二月,"洛阳春信久不通， 姚魏开落尘沙中。
扬州千叶昔曾见， 已叹造","[[""池"", 0.029246261343359947], [""棠"", 0.02413678914308548], [""沙"", 0.021997306495904922], [""云"", 0.021356338635087013], [""蜂"", 0.02081325091421604], [""飞"", 0.019502708688378334], [""台"", 0.018664725124835968], [""州"", 0.017949167639017105], [""叶"", 0.017877832055091858], [""园"", 0.015597480349242687]]",池、棠、沙、云、蜂
