row_idx,ID,诗名,花名,朝代
276,270,古苑杏花,杏花,唐
277,271,杏 花,杏花,唐
278,272,依韵和王几道途次杏花有感,杏花,宋
279,273,杏 花,杏花,唐
280,274,初见杏花,杏花,宋
281,275,和梅圣俞杏花,杏花,宋
282,276,杏 花,杏花,宋
283,277,苏溪亭,杏花,唐
284,278,曲江红杏,杏花,唐
285,279,杏 花(其一),杏花,宋
286,280,杏 花(其二),杏花,宋
287,281,杏 花(其三),杏花,宋
288,282,田家,杏花,宋
289,283,北陂杏花,杏花,宋
290,284,杏 花,杏花,宋
291,285,春 晚,杏花,宋
292,286,游园不值,杏花,宋
293,287,杏 花,杏花,金
294,288,杏 花,杏花,明
295,289,浣溪沙,杏花,清
296,290,酒泉子,杏花,唐
297,291,画堂春,杏花,明
298,292,忆秦娥,杏花,宋
299,293,忆汉月,杏花,宋
300,1016,干秋岁,杏花,宋
301,294,水龙吟,杏花,宋
302,295,燕山亭,杏花,宋
303,296,念奴娇,杏花,宋
304,297,金缕曲,杏花,清
305,298,沁园春,杏花,清
306,299,李花赠张十一署,李花,唐
307,300,李花二首(其二),李花,唐
308,301,丙戌上元后和昌英叔李花,李花,宋
309,302,李 花,李花,明
310,303,李花二首,李花,宋
311,304,遣 兴,梨花,唐
312,305,梨 花,梨花,金
313,306,梨 花,梨花,唐
314,307,梨 花,梨花,金
315,308,梨 花,梨花,清
316,309,咏池上梨花,梨花,南朝齐
317,310,左掖梨花,梨花,唐
318,311,梨 花,梨花,唐
319,312,鄂杜郊居,梨花,唐
320,313,和孔密州东栏梨花,梨花,宋
321,314,和王拱辰观梨花,梨花,宋
322,315,梨 花,梨花,宋
323,316,梨花二首,梨花,宋
324,317,梨 花,梨花,宋
325,318,宫 词,梨花,宋
326,319,梨 花,梨花,宋
327,320,梨 花,梨花,金
328,321,梨 花,梨花,元
329,322,玉楼春,梨花,宋
330,323,玉 兰,玉兰,明
331,324,题玉兰,玉兰,明
332,325,雪中玉兰盛开,玉兰,清
333,326,大风惜玉兰花,玉兰,清
334,327,东风第一枝,玉兰,清
335,328,月季花,月季,明
336,329,腊前月季,月季,宋
337,330,长春花,月季,宋
338,331,月季花,月季,宋
339,332,东厅月季,月季,宋
340,333,长春花,月季,宋
341,334,月季花,月季,清
342,335,一落索,月季,宋
343,336,更漏子,月季,清
344,337,绣球花次元颜廉使韵,绣球花,元
345,338,绣 球,绣球花,明
346,339,绣 球,绣球,明
347,340,素 馨,素馨,宋
348,341,丑奴儿,素馨,宋
349,342,菩萨蛮,素馨,宋
350,343,念奴娇,素馨,宋
351,344,剪春罗,剪春罗,宋
352,345,剪春罗,剪春罗,清
353,346,木 兰,木兰,宋
354,347,戏题木兰花,木兰,唐
355,348,题令狐家木兰花,木兰,唐
356,349,棠梨白练图,棠梨花,元
357,350,正月十八日甘棠院,棠梨花,宋
358,351,碧 瓦,棠梨花,宋
359,352,秦邮舟中望菜花,菜花,清
360,353,菜 花,菜花,清
361,354,宿新市徐公店,菜花,宋
362,355,东风第一枝,菜花,清
363,1000-01,梅花落,梅花,南朝陈
364,1001-01,与诸人用东坡韵共赋梅花，适得元履书，有怀其人，因复赋此以寄意焉,梅花,宋
365,1002-01,柳梢青,梅花,宋
366,1003-01,望梅花,梅花,宋
367,1004-01,花犯,梅花,宋
368,356,和钱学士白牡丹,牡丹,唐
369,357,买 花,牡丹,唐
370,358,秋题牡丹丛,牡丹,唐
371,359,雨中看牡丹(其一),牡丹,宋
372,360,雨中看牡丹(其二),牡丹,宋
373,361,雨中看牡丹(其三),牡丹,宋
374,362,牡丹种曲,牡丹,唐
375,363,远公亭牡丹,牡丹,唐
376,364,惜 花,牡丹,宋
377,365,题益公丞相天香堂,牡丹,宋
378,366,白牡丹,牡丹,明
379,367,题所赁宅牡丹花,牡丹,唐
380,368,戏题牡丹,牡丹,唐
381,369,牡 丹,牡丹,唐
382,370,回中牡丹为雨所败二首(其一),牡丹,唐
383,371,回中牡丹为雨所败二首(其二),牡丹,唐
384,372,牡 丹,牡丹,唐
385,373,红白牡丹,牡丹,唐
386,374,牡 丹,牡丹,唐
387,375,卖残牡丹,牡丹,唐
388,376,咏重台九心淡紫牡丹,牡丹,宋
389,377,水晶球,牡丹,宋
390,378,寿安红,牡丹,宋
391,379,叠罗红,牡丹,宋
392,380,崇宁红,牡丹,宋
393,381,清平调(其二),牡丹,唐
