ID,诗名,朝代,花名,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths
1,早 梅,南朝梁,梅花,12,候|兔|勤学|台|园|早春|月|花|观|闺感|风|飘,兔|台|园|当路|映雪|春来|月|花|观|长门|风|飘,候:1|勤学:1|闺感:1|早春:1|兔:1|园:1|月:1|观:1|花:1|风:1|台:1|飘:1,?/候|卷四/走兽类/兔|卷二/文学类/勤学|卷二/宫室类/台|卷一/地舆类/园|卷一/时令类/早春|卷一/天文类/月|卷四/百花类/花|卷二/宫室类/观|卷二/丽人类/闺感|卷一/天文类/风|?/飘
2,咏梅花,南朝梁,梅花,6,冬雨|台|喜雪|帘|怀归|罗,台|客心|帘|罗|逐风|飘荡,喜雪:1|冬雨:1|怀归:1|帘:1|罗:1|台:1,卷一/天文类/冬雨|卷二/宫室类/台|卷一/天文类/喜雪|卷三/器用类上/帘|卷二/人事类/怀归|?/罗
3,梅 花,北朝周,梅花,7,不见|巫|悲秋|早梅|春|暮冬|梅花,不见|早知|春|梅花|腊月|衣单|雪里,暮冬:1|梅花:1|早梅:1|巫:1|不见:1|悲秋:1|春:1,?/不见|?/巫|卷一/时令类/悲秋|卷四/百花类/早梅|卷一/时令类/春|卷一/时令类/暮冬|卷四/百花类/梅花
4,梅花落,南朝宋,梅花,7,中庭|亡|日|春风|牡丹|观涨|风,中庭|作花|媚春|日|春风|零落|风,中庭:1|观涨:1|春风:1|牡丹:1|亡:1|日:1|风:1,?/中庭|?/亡|卷一/天文类/日|卷一/天文类/春风|卷四/百花类/牡丹|卷一/地舆类/观涨|卷一/天文类/风
5,和秦太虚梅花,宋,梅花,26,花|山|春|草|诗|云|帷幙|怀友|春归|月|柳|梅花|残灯|残蝶|江湖|沙|河|渔矶|渡口|画花|病|白莲花|立春|莲花|谪仙|闲居,花|山|春|草|诗|一枝|万里|余香|佳人|十年|千树|多情|春归|月|残雪|江头|点缀|病|立马|竹外|花开|西湖|逐客|醉眠|风雨|黄昏,花:3|诗:2|春:2|山:2|草:2|莲花:1|残蝶:1|渡口:1|江湖:1|立春:1|沙:1|柳:1|梅花:1|画花:1|闲居:1|云:1|河:1|谪仙:1|怀友:1|帷幙:1|残灯:1|渔矶:1|春归:1|白莲花:1|月:1|病:1,卷四/百花类/花|卷一/地舆类/山|卷一/时令类/春|卷三/百草类/草|卷二/文学类/诗|卷一/天文类/云|卷三/服饰类/帷幙|卷二/师友类/怀友|卷一/时令类/春归|卷一/天文类/月|卷四/树木类/柳|卷四/百花类/梅花|卷三/器用类下/残灯|卷四/昆虫类/残蝶|?/江湖|卷一/地舆类/沙|卷一/地舆类/河|卷一/地舆类/渔矶|卷一/地舆类/渡口|卷三/书画类/画花|?/病|卷四/百花类/白莲花|卷一/节序类/立春|卷四/百花类/莲花|?/谪仙|卷二/宫室类/闲居
6,十一月二十六日，松风亭下梅花盛开,宋,梅花,21,梅花|云|亭|人品类|冬|冬雨|园|慵粧|旅舍|春风|松风|枕|江湖|浦|海|牧童|芙蓉|萱草|蟹|雨|风,云|亭|冬|冷艳|园|无言|春风|月下|松风|梅花|梦觉|浦|海|独秀|玉蕊|落月|蟹|酒醒|长条|雨|风|黄昏,梅花:2|春风:1|江湖:1|萱草:1|芙蓉:1|冬雨:1|松风:1|牧童:1|人品类:1|枕:1|慵粧:1|旅舍:1|风:1|蟹:1|雨:1|浦:1|园:1|冬:1|亭:1|海:1|云:1,卷四/百花类/梅花|卷一/天文类/云|卷二/宫室类/亭|?/人品类|卷一/时令类/冬|卷一/天文类/冬雨|卷一/地舆类/园|卷二/丽人类/慵粧|卷二/宫室类/旅舍|卷一/天文类/春风|卷一/天文类/松风|卷三/器用类上/枕|?/江湖|卷一/地舆类/浦|卷一/地舆类/海|卷二/人品类/牧童|?/芙蓉|卷三/百草类/萱草|?/蟹|卷一/天文类/雨|卷一/天文类/风
7,再用前韵,宋,梅花,24,花|人品类|啄木|园|客中雨|山|弓|斛|桧|梅花|歌舞|残星|浮山|牡丹|玉|病|祥云|罗|芭蕉|蚌|蟹|诗|酒|鸜鹆,花|啄木|园|天香|寂寂|山|挂扶桑|挂树|梅花|歌舞|江海|浮山|玉|疑月|病|纷纷|绿衣|罗|耿耿|能言|诗|酒|酒醒|鹤栖,花:2|浮山:1|梅花:1|祥云:1|芭蕉:1|斛:1|残星:1|蚌:1|桧:1|牡丹:1|蟹:1|弓:1|啄木:1|歌舞:1|鸜鹆:1|人品类:1|客中雨:1|罗:1|玉:1|病:1|园:1|酒:1|诗:1|山:1,卷四/百花类/花|?/人品类|卷四/飞禽类/啄木|卷一/地舆类/园|卷一/天文类/客中雨|卷一/地舆类/山|卷三/器用类上/弓|?/斛|卷四/树木类/桧|卷四/百花类/梅花|卷三/音乐类/歌舞|卷一/天文类/残星|?/浮山|卷四/百花类/牡丹|卷三/珍宝类/玉|?/病|卷一/天文类/祥云|?/罗|卷三/百草类/芭蕉|卷四/鳞介类/蚌|?/蟹|卷二/文学类/诗|卷三/饮食类/酒|卷四/飞禽类/鸜鹆
8,江 梅,唐,梅花,10,喜雨|山|巫|旅|春日书怀|暮冬|梅花|秋暮|腊|迁居,客愁|嵯峨|巫|故园|春意|梅花|梅蕊|江风|腊|雪树,暮冬:1|梅花:1|喜雨:1|春日书怀:1|迁居:1|秋暮:1|旅:1|山:1|腊:1|巫:1,卷一/天文类/喜雨|卷一/地舆类/山|?/巫|?/旅|?/春日书怀|卷一/时令类/暮冬|卷四/百花类/梅花|卷一/时令类/秋暮|?/腊|卷二/宫室类/迁居
9,山路梅,唐,梅花,10,山|迁居|温泉|溪|秋风|红梅|遇雨|酒|陂塘|风,山|一杯|冷落|凄凉|晴日|江南|溪|行客|路僻|酒|风,迁居:2|山:2|温泉:1|秋风:1|遇雨:1|陂塘:1|红梅:1|风:1|溪:1|酒:1,卷一/地舆类/山|卷二/宫室类/迁居|卷一/地舆类/温泉|卷一/地舆类/溪|卷一/天文类/秋风|卷四/百花类/红梅|?/遇雨|卷三/饮食类/酒|卷一/地舆类/陂塘|卷一/天文类/风
10,.看早梅,唐,梅花,9,山|日|月桂|涧|白牡丹|笛|蜂|野|风,山|日|涧|清香|笛|素艳|蜂|野|风,白牡丹:1|月桂:1|涧:1|笛:1|风:1|山:1|野:1|蜂:1|日:1,卷一/地舆类/山|卷一/天文类/日|卷一/天文类/月桂|卷一/地舆类/涧|卷四/百花类/白牡丹|卷三/音乐类/笛|卷四/昆虫类/蜂|?/野|卷一/天文类/风
11,早 梅,唐,梅花,12,十六夜月|台|山行|早梅|春|梅花|江湖|画花|石菖蒲|郊行|除夜|风,一枝|万木|前村|台|孤根|幽香|明年|春|昨夜|深雪|禽窥素艳来|风,山行:1|石菖蒲:1|郊行:1|早梅:1|十六夜月:1|画花:1|江湖:1|梅花:1|除夜:1|风:1|春:1|台:1,卷一/天文类/十六夜月|卷二/宫室类/台|卷三/游眺类/山行|卷四/百花类/早梅|卷一/时令类/春|卷四/百花类/梅花|?/江湖|卷三/书画类/画花|卷三/百草类/石菖蒲|卷三/游眺类/郊行|卷一/节序类/除夜|卷一/天文类/风
12,十一月中旬扶风界见梅花,唐,梅花,7,候|曝日|月|浦|秋|笛|香,亭亭|伤离|断肠|月|素娥|青女|香,候:1|曝日:1|秋:1|浦:1|笛:1|香:1|月:1,?/候|?/曝日|卷一/天文类/月|卷一/地舆类/浦|卷一/时令类/秋|卷三/音乐类/笛|卷三/器用类下/香
13,早 梅,宋,梅花,11,人材|怀友|日|春|月|梦|江亭|诗|酒|雪意|风,千里|垂垂|寒梅|日|梦|清江|相思|第一|诗|酒|风,江亭:1|春:1|人材:1|雪意:1|月:1|怀友:1|日:1|风:1|酒:1|诗:1|梦:1,卷二/人品类/人材|卷二/师友类/怀友|卷一/天文类/日|卷一/时令类/春|卷一/天文类/月|卷二/人事类/梦|卷二/宫室类/江亭|卷二/文学类/诗|卷三/饮食类/酒|卷一/天文类/雪意|卷一/天文类/风
14,梅 花,宋,梅花,9,梅花|玉|笛|古镜|喜雪|春|清明|衰竹|香,玉|三弄|东君|传春|埋藏|小萼|珠光|疏枝|百花|笛|香,梅花:2|笛:2|玉:2|衰竹:1|喜雪:1|清明:1|古镜:1|春:1|香:1,卷四/百花类/梅花|卷三/珍宝类/玉|卷三/音乐类/笛|卷三/器用类上/古镜|卷一/天文类/喜雪|卷一/时令类/春|卷一/节序类/清明|卷四/竹木类/衰竹|卷三/器用类下/香
15,探 梅,宋,梅花,11,乡里|冬日即事|夜宴|山|春|柳|花|诗|酒|重九|香,儿童|千树|山|春|狂歌|登山屐|秉烛|花|诗|酒|香,冬日即事:1|柳:1|重九:1|夜宴:1|乡里:1|山:1|春:1|花:1|诗:1|香:1|酒:1,卷一/地舆类/乡里|卷一/时令类/冬日即事|卷二/人事类/夜宴|卷一/地舆类/山|卷一/时令类/春|卷四/树木类/柳|卷四/百花类/花|卷二/文学类/诗|卷三/饮食类/酒|卷一/节序类/重九|卷三/器用类下/香
16,铜坑看梅,明,梅花,11,山|春|梅花|椿|槐|流水|溪居|舟|苔|野|香,十亩|山|春|梅花|流水|舟|苔|莲叶|野|长青|香,梅花:1|溪居:1|椿:1|槐:1|流水:1|舟:1|山:1|春:1|香:1|苔:1|野:1,卷一/地舆类/山|卷一/时令类/春|卷四/百花类/梅花|卷四/树木类/椿|卷四/树木类/槐|卷一/地舆类/流水|卷二/宫室类/溪居|卷三/器用类上/舟|卷三/百草类/苔|?/野|卷三/器用类下/香
17,梅 花(其一),清,梅花,11,月|天|如昼|帐|慵粧|春|月夜访友|梦|江亭|花|鸦,乾坤|何处|天|寂寞|彻夜|无言|春|月|梦|翠羽|花|鸦,月:2|月夜访友:1|如昼:1|慵粧:1|帐:1|江亭:1|花:1|春:1|天:1|梦:1|鸦:1,卷一/天文类/月|卷一/天文类/天|?/如昼|卷三/服饰类/帐|卷二/丽人类/慵粧|卷一/时令类/春|卷二/师友类/月夜访友|卷二/人事类/梦|卷二/宫室类/江亭|卷四/百花类/花|卷四/飞禽类/鸦
18,梅 花(其二),清,梅花,12,倦绣|冬雨|天|日影|春|月|溪|立春|蛩|裳|贫女|酌酒,似有|天|徘徊|春|月|残雪|溪|离离|脉脉|芳华|闭门|风味,日影:1|立春:1|冬雨:1|裳:1|酌酒:1|贫女:1|倦绣:1|蛩:1|溪:1|月:1|天:1|春:1,卷二/丽人类/倦绣|卷一/天文类/冬雨|卷一/天文类/天|卷一/天文类/日影|卷一/时令类/春|卷一/天文类/月|卷一/地舆类/溪|卷一/节序类/立春|卷四/昆虫类/蛩|卷三/服饰类/裳|卷二/丽人类/贫女|卷三/饮食类/酌酒
19,和裴迪登蜀州东亭送客逢早梅相忆见寄,唐,梅花,14,名誉|地炉|地理|如昼|官|春|暮冬|梨花|橘|浦|菱角|诗|谪仙|雪意,一树|东阁|垂垂|官|对雪|岁暮|扬州|折来|春|此时|江边|白头|自由|诗,名誉:1|橘:1|如昼:1|地炉:1|谪仙:1|菱角:1|暮冬:1|浦:1|梨花:1|雪意:1|地理:1|官:1|诗:1|春:1,卷二/仕宦类/名誉|卷三/器用类上/地炉|卷二/人品类/地理|?/如昼|?/官|卷一/时令类/春|卷一/时令类/暮冬|卷四/百花类/梨花|?/橘|卷一/地舆类/浦|卷四/百果类/菱角|卷二/文学类/诗|?/谪仙|卷一/天文类/雪意
20,酬崔八早梅有赠兼示之作,唐,梅花,15,僧|冬雨|几|天|方丈|春|月夜访友|猎者|病|翡翠|花|苔|蜂|野|香,一室|何处|几|天|寒梅|病|维摩|翻雪|花|虽多|蜂|蝶粉|野|金勒|香,春:1|猎者:1|翡翠:1|月夜访友:1|冬雨:1|方丈:1|僧:1|苔:1|野:1|香:1|几:1|蜂:1|病:1|天:1|花:1,卷二/释老类/僧|卷一/天文类/冬雨|卷三/器用类上/几|卷一/天文类/天|卷二/宫室类/方丈|卷一/时令类/春|卷二/师友类/月夜访友|卷二/人品类/猎者|?/病|卷四/飞禽类/翡翠|卷四/百花类/花|卷三/百草类/苔|卷四/昆虫类/蜂|?/野|卷三/器用类下/香
21,梅,唐,梅花,11,双头牡丹|尊|山亭|席|江湖|读书灯|退休|酒|雨|飘|香,倚风|尊|山鸟|席|拂衣|照夜|酒|雨|飘|香|黄昏,读书灯:1|退休:1|山亭:1|双头牡丹:1|江湖:1|雨:1|飘:1|席:1|香:1|酒:1|尊:1,卷四/百花类/双头牡丹|?/尊|卷二/宫室类/山亭|卷三/器用类上/席|?/江湖|卷三/器用类下/读书灯|卷二/仕宦类/退休|卷三/饮食类/酒|卷一/天文类/雨|?/飘|卷三/器用类下/香
22,梅,唐,梅花,14,迁居|云峰|日|梅花|浦|烟|玉|画|画花|笛|葡萄|采梅|雨|香,一枝|含情|日|枝斜|浦|渔家|烟|玉|画|短篱|笛|行客|雨|题诗|香,迁居:2|梅花:1|画花:1|葡萄:1|采梅:1|云峰:1|香:1|日:1|雨:1|画:1|玉:1|笛:1|烟:1|浦:1,卷二/宫室类/迁居|卷一/天文类/云峰|卷一/天文类/日|卷四/百花类/梅花|卷一/地舆类/浦|卷一/天文类/烟|卷三/珍宝类/玉|卷三/书画类/画|卷三/书画类/画花|卷三/音乐类/笛|卷四/百果类/葡萄|?/采梅|卷一/天文类/雨|卷三/器用类下/香
23,山园小梅,宋,梅花,12,冬夜|冬雨|园|城|夜宴|桃花|江湖|皓彩|秋暮|秋色|赏花|风,园|微吟|摇落|暗香|月黄昏|横斜|檀板|水清|疏影|粉蝶|金樽|风,秋暮:1|桃花:1|冬雨:1|秋色:1|江湖:1|冬夜:1|城:1|皓彩:1|赏花:1|夜宴:1|风:1|园:1,卷一/时令类/冬夜|卷一/天文类/冬雨|卷一/地舆类/园|卷二/宫室类/城|卷二/人事类/夜宴|卷四/百花类/桃花|?/江湖|?/皓彩|卷一/时令类/秋暮|卷一/时令类/秋色|卷四/百花类/赏花|卷一/天文类/风
24,山园小梅,宋,梅花,9,僧|元旦立春|日|水亭|牡丹|画|红梅|遇雨|酒旗,僧|冷落|向背|寒澄|日|春至|江南|画|酒旗,牡丹:1|元旦立春:1|水亭:1|遇雨:1|红梅:1|酒旗:1|画:1|日:1|僧:1,卷二/释老类/僧|?/元旦立春|卷一/天文类/日|卷二/宫室类/水亭|卷四/百花类/牡丹|卷三/书画类/画|卷四/百花类/红梅|?/遇雨|卷三/器用类上/酒旗
25,咏小梅,宋,梅花,6,喜雪|园亭|山|悲秋|月桂|画花,两朵|园林|山|新诗|晚景|清香,喜雪:1|园亭:1|画花:1|悲秋:1|月桂:1|山:1,卷一/天文类/喜雪|卷二/宫室类/园亭|卷一/地舆类/山|卷一/时令类/悲秋|卷一/天文类/月桂|卷三/书画类/画花
26,歧亭道上见梅花戏赠季常,宋,梅花,12,云|合药|残菊|水帘|沙|灯花|病|谢惠果|迁居|酒|雨|香,一点芳心|云|初尝|岭头|数枝|江云|病|竹叶|酒|野店|风吹|香,水帘:1|残菊:1|沙:1|灯花:1|迁居:1|谢惠果:1|合药:1|雨:1|香:1|酒:1|病:1|云:1,卷一/天文类/云|卷二/人品类/合药|卷四/百花类/残菊|卷一/地舆类/水帘|卷一/地舆类/沙|卷三/器用类下/灯花|?/病|卷三/谢惠类/谢惠果|卷二/宫室类/迁居|卷三/饮食类/酒|卷一/天文类/雨|卷三/器用类下/香
27,次韵赏梅,宋,梅花,8,含笑花|夏风|玉|立春|贫居|雨|风|香,尘土|淡薄|玉|生凉|立春|雨|风|香,立春:1|含笑花:1|夏风:1|贫居:1|玉:1|风:1|雨:1|香:1,卷四/百花类/含笑花|卷一/天文类/夏风|卷三/珍宝类/玉|卷一/节序类/立春|卷二/宫室类/贫居|卷一/天文类/雨|卷一/天文类/风|卷三/器用类下/香
28,梅 花,宋,梅花,9,山茶花|捣药|梨花|殿|玉|笛|红梅|迁居|酴醿花,冷淡|春早|月底|樽前|水边|江南|玉|画图|笛,红梅:1|酴醿花:1|捣药:1|殿:1|山茶花:1|梨花:1|迁居:1|玉:1|笛:1,卷四/百花类/山茶花|?/捣药|卷四/百花类/梨花|卷二/宫室类/殿|卷三/珍宝类/玉|卷三/音乐类/笛|卷四/百花类/红梅|卷二/宫室类/迁居|卷四/百花类/酴醿花
29,梅 花,宋,梅花,10,梅花|寻访|怀归|渡口|牧童|瑞香花|笛|红梅|迁居|香,云阶|孤芳|归去|故乡|断肠|月地|桥边|樽前|江南|渡口|香,梅花:2|笛:1|瑞香花:1|牧童:1|渡口:1|寻访:1|红梅:1|迁居:1|怀归:1|香:1,卷四/百花类/梅花|卷三/游眺类/寻访|卷二/人事类/怀归|卷一/地舆类/渡口|卷二/人品类/牧童|卷四/百花类/瑞香花|卷三/音乐类/笛|卷四/百花类/红梅|卷二/宫室类/迁居|卷三/器用类下/香
30,浣花赏梅,宋,梅花,14,江湖|冬雨|巾|早春|暮冬|温泉|画花|石|笛|茶|虎|雪意|风|马,一枝|千片|巾|带月|弄影|春回|楼上|玉树|石|积雪|笛|荒山|野水|风|香动,江湖:2|暮冬:1|早春:1|虎:1|温泉:1|画花:1|马:1|茶:1|雪意:1|冬雨:1|巾:1|风:1|石:1|笛:1,?/江湖|卷一/天文类/冬雨|卷三/服饰类/巾|卷一/时令类/早春|卷一/时令类/暮冬|卷一/地舆类/温泉|卷三/书画类/画花|卷一/地舆类/石|卷三/音乐类/笛|卷三/饮食类/茶|卷四/走兽类/虎|卷一/天文类/雪意|卷一/天文类/风|卷四/走兽类/马
31,山亭观梅,宋,梅花,11,丰年|剪彩花|地|待月|新蝉|月|茶|莲塘|蔷薇|闺感|香,先春|地|带花|时和|月|栏边|空枝|红萼|苍苔|静夜|香,丰年:1|莲塘:1|新蝉:1|茶:1|闺感:1|待月:1|蔷薇:1|剪彩花:1|月:1|地:1|香:1,卷一/时令类/丰年|卷四/百花类/剪彩花|卷一/地舆类/地|卷一/天文类/待月|卷四/昆虫类/新蝉|卷一/天文类/月|卷三/饮食类/茶|卷一/地舆类/莲塘|?/蔷薇|卷二/丽人类/闺感|卷三/器用类下/香
32,怀古堂前小梅渐开,宋,梅花,12,云|双头牡丹|喜雨|悼亡|旅|日|春寒|柳|桥|残菊|贺新居|风,云|千树|大江|故园|数枝|日|春寒|春意|肠断|近水|风|齐开,喜雨:1|贺新居:1|残菊:1|双头牡丹:1|春寒:1|悼亡:1|旅:1|柳:1|桥:1|日:1|风:1|云:1,卷一/天文类/云|卷四/百花类/双头牡丹|卷一/天文类/喜雨|卷二/人伦类/悼亡|?/旅|卷一/天文类/日|卷一/时令类/春寒|卷四/树木类/柳|卷一/地舆类/桥|卷四/百花类/残菊|卷三/庆吊类/贺新居|卷一/天文类/风
33,梅花下小饮,宋,梅花,10,合药|名誉|喜雪|春|残星|牡丹|腊|花|迁居|霞,数点|春|有情|玉杯|琼树|空山|竹叶|腊|花|雨晴,迁居:1|残星:1|牡丹:1|合药:1|名誉:1|喜雪:1|霞:1|春:1|腊:1|花:1,卷二/人品类/合药|卷二/仕宦类/名誉|卷一/天文类/喜雪|卷一/时令类/春|卷一/天文类/残星|卷四/百花类/牡丹|?/腊|卷四/百花类/花|卷二/宫室类/迁居|卷一/天文类/霞
34,梅 花,宋,梅花,8,园亭|宝贝|残星|落梅|诗|谢惠梅|远山|风,一点|两三枝|月斜|有风|玻璃|萧萧|诗|陇头,宝贝:1|远山:1|谢惠梅:1|落梅:1|残星:1|风:1|园亭:1|诗:1,卷二/宫室类/园亭|?/宝贝|卷一/天文类/残星|卷四/百花类/落梅|卷二/文学类/诗|卷三/谢惠类/谢惠梅|?/远山|卷一/天文类/风
35,落 梅,宋,梅花,11,倦绣|十六夜月|姻|山|梅雨|灯花|牡丹|苔|行乐|郊居|风,几阵|山|徙倚|昨夜|牡丹|玉杵|看月|苔|野客|金刀剪|风,十六夜月:1|梅雨:1|灯花:1|姻:1|郊居:1|行乐:1|倦绣:1|牡丹:1|风:1|山:1|苔:1,卷二/丽人类/倦绣|卷一/天文类/十六夜月|?/姻|卷一/地舆类/山|卷一/天文类/梅雨|卷三/器用类下/灯花|卷四/百花类/牡丹|卷三/百草类/苔|卷三/游眺类/行乐|卷二/宫室类/郊居|卷一/天文类/风
36,渔舍观梅,宋,梅花,17,云|几|夜宴|寄梅|带|早行|春|月|柳|水|浦|潮|苔|莲花|贺生孙|避暑|香,传芳|冷云|几|千树|和雪|寂寞|带|扁舟|春|梦中|水|沙鸥|漠漠|竹林|苔|西湖|香,早行:1|云:1|避暑:1|寄梅:1|贺生孙:1|浦:1|莲花:1|柳:1|潮:1|月:1|夜宴:1|苔:1|香:1|带:1|春:1|几:1|水:1,卷一/天文类/云|卷三/器用类上/几|卷二/人事类/夜宴|卷四/百花类/寄梅|卷三/服饰类/带|卷三/游眺类/早行|卷一/时令类/春|卷一/天文类/月|卷四/树木类/柳|卷一/地舆类/水|卷一/地舆类/浦|卷一/地舆类/潮|卷三/百草类/苔|卷四/百花类/莲花|卷三/庆吊类/贺生孙|卷三/游眺类/避暑|卷三/器用类下/香
37,梅 魂,元,梅花,12,月|山|山茶花|梦|残星|水|玉|笛|草|风|香|马,寂寥|山|弄影|月|梦|水|溪风|玉|笛|草|萧萧|迢迢|香,月:2|残星:1|山茶花:1|马:1|风:1|山:1|水:1|香:1|梦:1|玉:1|笛:1|草:1,卷一/天文类/月|卷一/地舆类/山|卷四/百花类/山茶花|卷二/人事类/梦|卷一/天文类/残星|卷一/地舆类/水|卷三/珍宝类/玉|卷三/音乐类/笛|卷三/百草类/草|卷一/天文类/风|卷三/器用类下/香|卷四/走兽类/马
38,水中梅影,元,梅花,15,江湖|云|冬雨|台|喜雪|寻访|待月|春色|桃花|残星|渡|温泉|画|画花|盆池,一枝|临风|云|云母|倚槛|凌波|千点|带月|春色|横斜|清浅|溪桥|澄澄|玉佩|画|黄昏,江湖:2|盆池:1|渡:1|春色:1|画花:1|喜雪:1|台:1|待月:1|温泉:1|桃花:1|冬雨:1|残星:1|寻访:1|云:1|画:1,?/江湖|卷一/天文类/云|卷一/天文类/冬雨|卷二/宫室类/台|卷一/天文类/喜雪|卷三/游眺类/寻访|卷一/天文类/待月|卷一/时令类/春色|卷四/百花类/桃花|卷一/天文类/残星|卷一/地舆类/渡|卷一/地舆类/温泉|卷三/书画类/画|卷三/书画类/画花|卷一/地舆类/盆池
39,梅花九首(其一),明,梅花,16,石碁盘|上元|云|几|千叶菊|天|巾|早春|春|桃花|牧童|竹|红梅|美人|苔|风,东风|几|卧月|处处|山中|春|林下|残香|江南|漠漠|瑶台|疏影|竹|美人|苔|萧萧|高士,石碁盘:2|天:1|红梅:1|上元:1|巾:1|牧童:1|美人:1|桃花:1|风:1|千叶菊:1|云:1|早春:1|竹:1|春:1|苔:1|几:1,?/石碁盘|卷一/节序类/上元|卷一/天文类/云|卷三/器用类上/几|卷四/百花类/千叶菊|卷一/天文类/天|卷三/服饰类/巾|卷一/时令类/早春|卷一/时令类/春|卷四/百花类/桃花|卷二/人品类/牧童|卷四/竹木类/竹|卷四/百花类/红梅|卷二/丽人类/美人|卷三/百草类/苔|卷一/天文类/风
40,梅花九首(其三),明,梅花,19,月|云|几|帐|帽|放鹤|桃花|梦|水亭|江城|沙|流水|画梅|舟|花|落花|迁居|雪晴|鸳鸯,云|人归|冷香|几|帽|惊飞|成愁|放鹤|月|树头|梦|流水|狼藉|疏影|空山|翠羽|舟|花|风吹|骑驴,月:2|帐:1|鸳鸯:1|水亭:1|画梅:1|落花:1|雪晴:1|沙:1|放鹤:1|江城:1|迁居:1|流水:1|桃花:1|帽:1|舟:1|云:1|梦:1|几:1|花:1,卷一/天文类/月|卷一/天文类/云|卷三/器用类上/几|卷三/服饰类/帐|卷三/服饰类/帽|卷四/飞禽类/放鹤|卷四/百花类/桃花|卷二/人事类/梦|卷二/宫室类/水亭|卷二/宫室类/江城|卷一/地舆类/沙|卷一/地舆类/流水|卷三/书画类/画梅|卷三/器用类上/舟|卷四/百花类/花|卷四/百花类/落花|卷二/宫室类/迁居|卷一/天文类/雪晴|卷四/飞禽类/鸳鸯
41,梅 涧,明,梅花,11,沙|城|早行|星|春径|涧|石碁盘|秋径|秋日即|苦寒|观,地僻|城|寒水|山中|山翁|春光|沙|涧|蹇驴|野鹤|陨石|风吹,沙:2|秋径:1|苦寒:1|星:1|观:1|早行:1|秋日即:1|石碁盘:1|春径:1|涧:1|城:1,卷一/地舆类/沙|卷二/宫室类/城|卷三/游眺类/早行|卷一/天文类/星|?/春径|卷一/地舆类/涧|?/石碁盘|?/秋径|?/秋日即|卷一/时令类/苦寒|卷二/宫室类/观
42,赠范蔚宗,南朝宋,梅花,3,谢惠梅|红梅|馆驿,一枝春|江南|陇头|驿使,谢惠梅:2|馆驿:1|红梅:1,卷三/谢惠类/谢惠梅|卷四/百花类/红梅|卷二/宫室类/馆驿
43,咏 梅,南朝梁,梅花,4,日|景慕|池|花,日|春树|池|花,景慕:1|日:1|池:1|花:1,卷一/天文类/日|卷二/志气类/景慕|卷一/地舆类/池|卷四/百花类/花
44,江滨梅,唐,梅花,3,春|春风|鵞,寒梅|开花|水滨,春:1|春风:1|鵞:1,卷一/时令类/春|卷一/天文类/春风|?/鵞
45,杂 诗（其二）,唐,梅花,5,怀归|日|春|春夜|花,故乡|寒梅|日|窗前|花,怀归:2|春夜:1|春:1|日:1|花:1,卷二/人事类/怀归|卷一/天文类/日|卷一/时令类/春|卷一/时令类/春夜|卷四/百花类/花
46,忆 梅,唐,梅花,5,亭|旅舍|春|柳|花,依依|天涯|寒梅|物华|花,旅舍:1|柳:1|亭:1|春:1|花:1,卷二/宫室类/亭|卷二/宫室类/旅舍|卷一/时令类/春|卷四/树木类/柳|卷四/百花类/花
47,梅 花,宋,梅花,4,残菊|江湖|芙蓉|角,凌寒|数枝|暗香|角,残菊:1|芙蓉:1|江湖:1|角:1,卷四/百花类/残菊|?/江湖|?/芙蓉|卷三/音乐类/角
48,梅 花,宋,梅花,6,冬雨|山|梅花|楼|水仙花|诏令,丁宁|山|明月夜|梅花|横斜|雪香,水仙花:1|梅花:1|诏令:1|楼:1|冬雨:1|山:1,卷一/天文类/冬雨|卷一/地舆类/山|卷四/百花类/梅花|卷二/宫室类/楼|卷四/百花类/水仙花|卷二/君道类/诏令
49,梅 花,宋,梅花,5,中庭|亭|梅花|游山|酒,中庭|山月|幽人|梅花|酒,亭:1|中庭:1|游山:1|梅花:1|酒:1,?/中庭|卷二/宫室类/亭|卷四/百花类/梅花|卷一/地舆类/游山|卷三/饮食类/酒
50,早 梅,宋,梅花,4,冬夜|园|如昼|石洞,仙子|园|经年|霜风,冬夜:1|石洞:1|如昼:1|园:1,卷一/时令类/冬夜|卷一/地舆类/园|?/如昼|卷一/地舆类/石洞
51,寒 梅,宋,梅花,5,笛|春昼|月影|竹几|香印,三弄|堂前|月影|白玉|笛|风清,笛:2|竹几:1|香印:1|春昼:1|月影:1,卷三/音乐类/笛|卷一/时令类/春昼|卷一/天文类/月影|卷三/器用类上/竹几|卷三/器用类上/香印
52,岭 梅,宋,梅花,4,慵粧|梅花|雨|馆驿,无言|梅花|雨|驿使,梅花:1|馆驿:1|慵粧:1|雨:1,卷二/丽人类/慵粧|卷四/百花类/梅花|卷一/天文类/雨|卷二/宫室类/馆驿
53,咏 梅,金,梅花,6,早梅|月|江湖|渡口|游春|红梅,月|江南|看花|立马|雪里|黄昏,红梅:1|早梅:1|游春:1|渡口:1|江湖:1|月:1,卷四/百花类/早梅|卷一/天文类/月|?/江湖|卷一/地舆类/渡口|卷一/时令类/游春|卷四/百花类/红梅
