ID,诗名,朝代,花名,sxhy_imagery_count,sxhy_imagery_headings,sxhy_raw_words,sxhy_imagery_freq,sxhy_catalog_paths
343,念奴娇,宋,素馨,19,牡丹|秋|贺生子|云|倦绣|夏|天|帽|惜花|月|梦|水|玉|秋风|花|赏花|送道士|酌酒|风,云|凉生|夏|天|天香|帽|徘徊|惜花|无语|月|梦|水|玉|神清|秋|精神|肌骨|花|酒阑|金茎露|风|风味,牡丹:2|贺生子:2|秋:2|送道士:1|倦绣:1|秋风:1|惜花:1|赏花:1|酌酒:1|花:1|梦:1|夏:1|月:1|天:1|水:1|云:1|风:1|帽:1|玉:1,卷四/百花类/牡丹|卷一/时令类/秋|卷三/庆吊类/贺生子|卷一/天文类/云|卷二/丽人类/倦绣|卷一/时令类/夏|卷一/天文类/天|卷三/服饰类/帽|卷四/百花类/惜花|卷一/天文类/月|卷二/人事类/梦|卷一/地舆类/水|卷三/珍宝类/玉|卷一/天文类/秋风|卷四/百花类/花|卷四/百花类/赏花|卷二/释老类/送道士|卷三/饮食类/酌酒|卷一/天文类/风
344,剪春罗,宋,剪春罗,7,公子|冬日即事|旅|春日书怀|画|罗|迁居,公子|春光老|樽前|罗|造化|风刀|飘零,冬日即事:1|画:1|旅:1|春日书怀:1|公子:1|迁居:1|罗:1,卷二/人品类/公子|卷一/时令类/冬日即事|?/旅|?/春日书怀|卷三/书画类/画|?/罗|卷二/宫室类/迁居
345,剪春罗,清,剪春罗,6,剪刀|春风|月|机杼|莲花|锦,不胜娇|剪刀|春风|月|机杼|花样,春风:1|机杼:1|莲花:1|锦:1|剪刀:1|月:1,卷三/器用类上/剪刀|卷一/天文类/春风|卷一/天文类/月|卷三/器用类上/机杼|卷四/百花类/莲花|卷三/珍宝类/锦
346,木 兰,宋,木兰,15,香|不见|初夏|含笑花|喜雪|山城|带|月|残灯|胡桃|蔷薇|酒|钱|风|黄葵,香|不见|不俗|君子|小窗|带|有味|松柏|椒桂|欲语|荷花|蔷薇|蛾眉|钱|铅华,香:3|不见:2|月:1|蔷薇:1|含笑花:1|初夏:1|喜雪:1|风:1|黄葵:1|胡桃:1|山城:1|酒:1|残灯:1|带:1|钱:1,卷三/器用类下/香|?/不见|卷一/时令类/初夏|卷四/百花类/含笑花|卷一/天文类/喜雪|卷二/宫室类/山城|卷三/服饰类/带|卷一/天文类/月|卷三/器用类下/残灯|卷四/百果类/胡桃|?/蔷薇|卷三/饮食类/酒|卷三/珍宝类/钱|卷一/天文类/风|卷四/百花类/黄葵
347,戏题木兰花,唐,木兰,6,木|果|榴花|沙|海棠|白牡丹,日照|木|素艳|紫房|胭脂|风吹,果:1|海棠:1|榴花:1|白牡丹:1|沙:1|木:1,卷四/竹木类/木|卷四/百果类/果|卷四/百花类/榴花|卷一/地舆类/沙|?/海棠|卷四/百花类/白牡丹
348,题令狐家木兰花,唐,木兰,9,如昼|春|果|梦|梨花|灯花|白莲花|花|霞,一树|如玉|春|朱粉|梦|此时|花|金刀剪|霞,白莲花:1|果:1|灯花:1|如昼:1|梨花:1|霞:1|春:1|梦:1|花:1,?/如昼|卷一/时令类/春|卷四/百果类/果|卷二/人事类/梦|卷四/百花类/梨花|卷三/器用类下/灯花|卷四/百花类/白莲花|卷四/百花类/花|卷一/天文类/霞
349,棠梨白练图,元,棠梨花,19,人品类|夏晓|妓女|山|未开牡丹|梨|歌妓|渡|游春|烟|石|秋风|箫|芙蓉|花|菱角|蔬园|香|鹤,不语|丹砂|人醉|仙禽|山|月淡|朝云|梦回|梨|清楚|烟|秋风|箫|红玉|芙蓉|花|霜露|香|香冷,芙蓉:1|菱角:1|夏晓:1|歌妓:1|鹤:1|未开牡丹:1|秋风:1|蔬园:1|渡:1|石:1|游春:1|人品类:1|妓女:1|箫:1|香:1|烟:1|花:1|山:1|梨:1,?/人品类|卷一/时令类/夏晓|卷二/丽人类/妓女|卷一/地舆类/山|卷四/百花类/未开牡丹|卷四/百果类/梨|卷二/丽人类/歌妓|卷一/地舆类/渡|卷一/时令类/游春|卷一/天文类/烟|卷一/地舆类/石|卷一/天文类/秋风|卷三/音乐类/箫|?/芙蓉|卷四/百花类/花|卷四/百果类/菱角|卷一/地舆类/蔬园|卷三/器用类下/香|卷四/飞禽类/鹤
350,正月十八日甘棠院,宋,棠梨花,8,天|废宅|春|木笔花|沙|竹几|落叶|酒,一身|乱飞|天|春|有意|狂花|花底|酒,沙:1|废宅:1|木笔花:1|落叶:1|竹几:1|天:1|酒:1|春:1,卷一/天文类/天|卷二/宫室类/废宅|卷一/时令类/春|卷四/百花类/木笔花|卷一/地舆类/沙|卷三/器用类上/竹几|卷四/竹木类/落叶|卷三/饮食类/酒
351,碧 瓦,宋,棠梨花,11,云|亭|园|园亭|地|帐|桥|梨|楼|溪|花,不雨|地|无风|杨柳|桥|梨|楼|溪|碧瓦|绣幕|花,亭:1|帐:1|园亭:1|园:1|云:1|楼:1|桥:1|溪:1|梨:1|地:1|花:1,卷一/天文类/云|卷二/宫室类/亭|卷一/地舆类/园|卷二/宫室类/园亭|卷一/地舆类/地|卷三/服饰类/帐|卷一/地舆类/桥|卷四/百果类/梨|卷二/宫室类/楼|卷一/地舆类/溪|卷四/百花类/花
352,秦邮舟中望菜花,清,菜花,14,春|月|地理|带|待月|柳|沙|河|浦|病|秋晚|箜篌|莲塘|蔷薇,春|万里|凝望|带|月|柳|残阳|水气|江头|湖上|烟波|病|菜花|轻舟|连春,月:2|春:2|莲塘:1|地理:1|待月:1|箜篌:1|沙:1|河:1|秋晚:1|蔷薇:1|浦:1|带:1|柳:1|病:1,卷一/时令类/春|卷一/天文类/月|卷二/人品类/地理|卷三/服饰类/带|卷一/天文类/待月|卷四/树木类/柳|卷一/地舆类/沙|卷一/地舆类/河|卷一/地舆类/浦|?/病|?/秋晚|卷三/音乐类/箜篌|卷一/地舆类/莲塘|?/蔷薇
353,菜 花,清,菜花,15,佛|农夫|地|寒食雨|归燕|早春|春水|月桂|柳|棠棣花|竹径|花|野|风|香,为谁忙|佛|农夫|地|新绿|春开|桃李|碎影|花|野|金粟|风|香|鸭头|鹅黄,春水:1|早春:1|柳:1|竹径:1|月桂:1|农夫:1|棠棣花:1|寒食雨:1|归燕:1|野:1|花:1|风:1|香:1|佛:1|地:1,卷二/释老类/佛|卷二/人品类/农夫|卷一/地舆类/地|卷一/节序类/寒食雨|卷四/飞禽类/归燕|卷一/时令类/早春|卷一/地舆类/春水|卷一/天文类/月桂|卷四/树木类/柳|卷四/百花类/棠棣花|?/竹径|卷四/百花类/花|?/野|卷一/天文类/风|卷三/器用类下/香
354,宿新市徐公店,宋,菜花,7,乡里|地理|春日|水亭|清明|竹|迁居,一径|儿童|树头|篱落|花落|菜花|蝶飞,迁居:1|竹:1|水亭:1|清明:1|乡里:1|春日:1|地理:1,卷一/地舆类/乡里|卷二/人品类/地理|?/春日|卷二/宫室类/水亭|卷一/节序类/清明|卷四/竹木类/竹|卷二/宫室类/迁居
355,东风第一枝,清,菜花,18,迁居|丽情|云|井|园|夏风|春|烟|玉|秋兴|花|苔|蒲|蝶|角|郊行|雨|鵞,一片|井|园|夕阳|小径|旧愁|春|烟|玉|花|苔|蝶|角|野店|金钱|雨|青旗|香细|麦陇,迁居:2|夏风:1|云:1|鵞:1|蒲:1|丽情:1|郊行:1|秋兴:1|雨:1|花:1|春:1|玉:1|蝶:1|烟:1|井:1|苔:1|园:1|角:1,卷二/宫室类/迁居|卷二/丽人类/丽情|卷一/天文类/云|卷一/地舆类/井|卷一/地舆类/园|卷一/天文类/夏风|卷一/时令类/春|卷一/天文类/烟|卷三/珍宝类/玉|卷一/时令类/秋兴|卷四/百花类/花|卷三/百草类/苔|卷三/百草类/蒲|卷四/昆虫类/蝶|卷三/音乐类/角|卷三/游眺类/郊行|卷一/天文类/雨|?/鵞
1000-01,梅花落,南朝陈,梅花,11,井|倦绣|台|合药|月影|沙|清明|燕|锦|镜|雪意,一株|井|台|徘徊|楼上|燕|竹叶|花落|锦|镜|风吹,月影:1|清明:1|沙:1|雪意:1|倦绣:1|合药:1|燕:1|井:1|镜:1|台:1|锦:1,卷一/地舆类/井|卷二/丽人类/倦绣|卷二/宫室类/台|卷二/人品类/合药|卷一/天文类/月影|卷一/地舆类/沙|卷一/节序类/清明|卷四/飞禽类/燕|卷三/珍宝类/锦|卷三/器用类上/镜|卷一/天文类/雪意
1001-01,与诸人用东坡韵共赋梅花，适得元履书，有怀其人，因复赋此以寄意焉,宋,梅花,17,台|城|寒食雨|月|木|梅花|浮山|游春|牡丹|禅庵|秋兴|罗|萱草|葵|诗|迁居|鸽,一杯|佳名|修竹|千古|名园|媚春|山林|归来|木|桃李|梅花|步障|浮山|烟昏|罗|葵|诗,浮山:1|梅花:1|月:1|萱草:1|台:1|城:1|游春:1|寒食雨:1|牡丹:1|鸽:1|秋兴:1|迁居:1|禅庵:1|罗:1|诗:1|木:1|葵:1,卷二/宫室类/台|卷二/宫室类/城|卷一/节序类/寒食雨|卷一/天文类/月|卷四/竹木类/木|卷四/百花类/梅花|?/浮山|卷一/时令类/游春|卷四/百花类/牡丹|卷二/宫室类/禅庵|卷一/时令类/秋兴|?/罗|卷三/百草类/萱草|卷四/蔬菜类/葵|卷二/文学类/诗|卷二/宫室类/迁居|卷四/飞禽类/鸽
1002-01,柳梢青,宋,梅花,6,云|月|江湖|酌酒|酒|香,云|月|横枝|酒|风味|香,江湖:1|酌酒:1|月:1|香:1|云:1|酒:1,卷一/天文类/云|卷一/天文类/月|?/江湖|卷三/饮食类/酌酒|卷三/饮食类/酒|卷三/器用类下/香
1003-01,望梅花,宋,梅花,15,城|夹竹桃|如昼|待月|春|月|枣子|珍珠花|白莲花|立春|纸|芙蓉|蕙草|雪晴|雷,半夜|卷帘|堪赏|寒气|并开|有清香|枝头|残雪|洁白|独秀|粉蝶|素华|银蟾|雷|青帝,雪晴:1|夹竹桃:1|枣子:1|芙蓉:1|白莲花:1|春:1|纸:1|城:1|如昼:1|待月:1|月:1|立春:1|珍珠花:1|蕙草:1|雷:1,卷二/宫室类/城|?/夹竹桃|?/如昼|卷一/天文类/待月|卷一/时令类/春|卷一/天文类/月|卷四/百果类/枣子|卷四/百花类/珍珠花|卷四/百花类/白莲花|卷一/节序类/立春|卷三/器用类上/纸|?/芙蓉|?/蕙草|卷一/天文类/雪晴|卷一/天文类/雷
1004-01,花犯,宋,梅花,22,假山|喜雪|山茶花|待月|敬贤|李子|柳|梅花|榴花|江|江湖|燕|画花|秋径|竹|花|蛩|迁居|酌酒|酒|霞|香,一枝|似有|依依|冰盘|望久|梅花|梦想|江|烟浪|照水|照眼|燕|粉墙|胜赏|花|酒|铅华|雪中|青苔|风味|香|黄昏,竹:1|梅花:1|榴花:1|酌酒:1|喜雪:1|假山:1|李子:1|山茶花:1|蛩:1|柳:1|待月:1|秋径:1|迁居:1|敬贤:1|画花:1|江湖:1|霞:1|燕:1|香:1|花:1|酒:1|江:1,卷一/地舆类/假山|卷一/天文类/喜雪|卷四/百花类/山茶花|卷一/天文类/待月|卷二/君道类/敬贤|卷四/百果类/李子|卷四/树木类/柳|卷四/百花类/梅花|卷四/百花类/榴花|卷一/地舆类/江|?/江湖|卷四/飞禽类/燕|卷三/书画类/画花|?/秋径|卷四/竹木类/竹|卷四/百花类/花|卷四/昆虫类/蛩|卷二/宫室类/迁居|卷三/饮食类/酌酒|卷三/饮食类/酒|卷一/天文类/霞|卷三/器用类下/香
