ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
264,水龙吟,桃花,冬日|渡|早春|梅溪|流水|春日书怀|残星|沙|春|溪|风|天,岭梅|丹砂|东风|武陵|流水|红雨|五更|陌上|春|溪|风|天,东风|五更|人|佳人|天|岭|怨|春|朝露|杏|枝|桃|梅|波|泪|流水|溪|空|雨|雪|风|香,东风|五更|天|春|流水|溪|风,丹砂|岭梅|武陵|红雨|陌上,人|佳人|岭|怨|朝露|杏|枝|桃|梅|波|泪|空|雨|雪|香,7,12,12,22
265,风流子（出关见桃花）,桃花,月|春|沙|秋日书怀|云峰|春郊|春雨|上巳|早春|渔矶|海|地|山,春|月|风吹|单衣|叠嶂|草短|桃花|曲水|东风|寂寞|风雨|海|地|沙|山,东风|人|关|冷|地|塞|寂寞|山|春|暮|月|柳|桃花|水|沙|海|玉|芳|草|雨|风,东风|地|寂寞|山|春|月|桃花|沙|海,单衣|叠嶂|曲水|草短|风吹|风雨,人|关|冷|塞|暮|柳|水|玉|芳|草|雨|风,9,13,15,21
266,杏花,杏花,石|井,石|井,含笑|杏|波|石|空|茅屋,石,井,含笑|杏|波|空|茅屋,1,2,2,6
267,江路见杏花,杏花,江湖|寒食|冬日|秋暮|雨|风|日,浣花|红杏|岭梅|云叶|雨|风|日,云|叶|岭|日|杏|林|枝|梅|花|雨|风,日|雨|风,云叶|岭梅|浣花|红杏,云|叶|岭|杏|林|枝|梅|花,3,7,7,11
268,杏 花,杏花,旅中寒食|雷|天|关隘|除夜|江|园|雨|风|冬|地|雾|山,岭外|阳气|杳杳|西东|明年|江|园|雨|风|冬|地|雾|山,人|冬|地|寒|山|岭|杏花|江|流|浪|猿|空|翁|花|草|谷|雨|雾|风,冬|地|山|江|雨|雾|风,园|岭外|明年|杳杳|西东|阳气,人|寒|岭|杏花|流|浪|猿|空|翁|花|草|谷,7,13,13,19
269,月夜与客饮杏花下,杏花,风|夏夜|游山|步月|皓彩|流水|月桂|竹风|秋夜|潮|早春|春日书怀|送春|春|山|月,飞帘|明月|幽人|步月|花影|流水|清香|月明中|月落|卷地|东风|绿叶|残红|春|山|月,东风|人|叶|地|山|帘|幽|明月|春|月|杏花|杯|洞箫|流水|清香|空|花|蘋花|酒|雪|香,东风|山|明月|春|月|流水|清香,卷地|幽人|月明中|月落|步月|残红|绿叶|花影|飞帘,人|叶|地|帘|幽|杏花|杯|洞箫|空|花|蘋花|酒|雪|香,7,16,16,21
270,古苑杏花,杏花,寒食雨|远水|烧|春,人愁|茫茫|烧|春,愁|春|杏花|枝|行人|露,春,人愁|烧|茫茫,愁|杏花|枝|行人|露,1,4,4,6
271,杏 花,杏花,烧|渔矶|池,烟笼|风雨|池,双燕|客|枝|桃|梅|烟|蝶|轩|雨|雪|风|香|龙,,池|烟笼|风雨,双燕|客|枝|桃|梅|烟|蝶|轩|雨|雪|风|香|龙,0,3,3,13
272,依韵和王几道途次杏花有感,杏花,寒食雨|春径|园|罗,马上|芳径|园|罗,客|愁|故园|杏|芳|马,,园|罗|芳径|马上,客|愁|故园|杏|芳|马,0,4,4,6
273,杏 花,杏花,浦|风|园,江边|风|园,夜风|杏|江|碧波,,园|江边|风,夜风|杏|江|碧波,0,3,3,4
274,初见杏花,杏花,春风|候|暮冬,春风|烟林|江梅,春风|林|梅|江|烟,春风,江梅|烟林,林|梅|江|烟,1,3,3,5
275,和梅圣俞杏花,杏花,暮冬|冬雨|春径|春|嵩山|如昼|云|春日|除日立春|风|日|月|冬,梅花|江梅|春光|春|嵩山|此时|点缀|腊月|明媚|残岁|风|日|月|冬,人|冬|原|山|日|春|月|杏花|梅|梅花|江|芳|雪|风,冬|日|春|月|梅花|风,嵩山|明媚|春光|此时|残岁|江梅|点缀|腊月,人|原|山|杏花|梅|江|芳|雪,6,13,14,14
276,杏 花,杏花,天,天,天,天,,,1,1,1,1
277,苏溪亭,杏花,岛屿|早春|渔矶|溪|春,漫漫|东风|烟雨|溪|春,东风|亭|寒|春|杏花|溪|烟雨|燕|草,东风|春|溪|烟雨,漫漫,亭|寒|杏花|燕|草,4,5,5,9
