ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
1,早 梅,梅花,候|早春|园|月|风,当路|春来|园|月|风,台|夕|寒|春|月|杯|枝|梅|花|雪|霜|风,月|风,园|当路|春来,台|夕|寒|春|杯|枝|梅|花|雪|霜,2,5,5,12
2,咏梅花,梅花,喜雪|冬雨|罗,飘荡|逐风|罗,台|客|帘|愁|梅|风,,罗|逐风|飘荡,台|客|帘|愁|梅|风,0,3,3,6
3,梅 花,梅花,暮冬|冬雨|不见|悲秋|春,腊月|梅花|不见|衣单|春,冰|寒|春|月|枝|梅花|雪,春|梅花,不见|腊月|衣单,冰|寒|月|枝|雪,2,5,5,7
4,梅花落,梅花,中庭|观涨|春风|春日|风,中庭|作花|春风|春日|风,寒风|日|春|春风|梅|花|霜|露,春风,中庭|作花|春日|风,寒风|日|春|梅|花|霜|露,1,5,5,8
5,和秦太虚梅花,梅花,春|山|渡口|江湖|立春|沙|云|河|渔矶|春归|月,春|山|立马|黄昏|残雪|江头|点缀|万里|风雨|春归|月,万里|余香|佳人|孤|客|山|春|月|枝|残雪|江|湖|竹|花|花开|草|雨|风|马|黄昏,万里|山|春|月|残雪|黄昏,春归|江头|点缀|立马|风雨,余香|佳人|孤|客|枝|江|湖|竹|花|花开|草|雨|风|马,6,11,11,20
6,十一月二十六日，松风亭下梅花盛开,梅花,冬雨|月|春风|江湖|松风|风|雨|浦|园|冬|海|云,月|春风|梅花|黄昏|冷艳|松风|风|雨|浦|园|冬|海|云,云|亭|冬|冷|夜色|岭|幽|愁|春风|月|松|梅花|流|海|玉|酒|雨|风|黄昏,云|冬|春风|月|梅花|海|雨|风|黄昏,冷艳|园|松风|浦,亭|冷|夜色|岭|幽|愁|松|流|玉|酒,9,12,13,19
7,再用前韵,梅花,浮山|冬雨|祥云|秋山|残星|日|客中雨|罗|江|海|园|天|山,浮山|梅花|纷纷|月挂|耿耿|扶桑|寂寂|罗|江|海|园|天|山,人|冰|天|寂|山|月|桑|梅花|江|海|玉|空|花|蓬莱|酒|雪|香|鸟|鹤,天|山|梅花|江|海,园|寂寂|扶桑|月挂|浮山|纷纷|罗|耿耿,人|冰|寂|月|桑|玉|空|花|蓬莱|酒|雪|香|鸟|鹤,5,13,13,19
8,江 梅,梅花,暮冬|冬雨|喜雨|春日书怀|秋暮|山|腊|园,梅蕊|梅花|春意|客愁|江风|嵯峨|腊|园,客|愁|故园|春|梅|梅花|江|波|雪|风,梅花,园|客愁|嵯峨|春意|梅蕊|江风|腊,客|愁|故园|春|梅|江|波|雪|风,1,8,8,10
9,山路梅,梅花,山|温泉|秋风|遇雨|陂塘|风|溪|江,山|路僻|凄凉|冷落|晴日|风|溪|江,冷|凉|客|寒山|山|峰|日|杯|江南|溪|酒|风,山|溪|风,冷落|凄凉|晴日|江|路僻,冷|凉|客|寒山|峰|日|杯|江南|酒,3,8,8,12
10,.看早梅,梅花,月桂|涧|风|山|野|日,清香|涧|风|山|野|日,人|今日|寒|山|枝|梅|涧|清香|笛|蜂|野|雪|风,山|涧|清香|野|风,日,人|今日|寒|枝|梅|笛|蜂|雪,5,6,6,13
11,早 梅,梅花,十六夜月|江湖|除夜|风|春,昨夜|幽香|明年|风|春,台|夜|孤|幽香|春|暖|枝|根|禽|雪|风,幽香|春|风,明年|昨夜,台|夜|孤|暖|枝|根|禽|雪,3,5,5,11
12,十一月中旬扶风界见梅花,梅花,候|曝日|秋|浦|月,亭亭|素娥|青女|伤离|月,亭|月|芳|霜|香,月,亭亭|伤离|素娥|青女,亭|芳|霜|香,1,5,5,5
13,早 梅,梅花,春|雪意|月|日|江|风,寒梅|垂垂|千里|日|江|风,今日|千里|寒|愁|暖|枝|梅|江|热|相思|酒|雪|风,千里|江|风,垂垂|寒梅|日,今日|寒|愁|暖|枝|梅|热|相思|酒|雪,3,6,6,13
14,梅 花,梅花,喜雪|清明|立冬|春,珠光|百花|春信|东君,春|枝|玉|玉笛|珠|花|雪|香,,东君|春信|珠光|百花,春|枝|玉|玉笛|珠|花|雪|香,0,4,4,8
15,探 梅,梅花,冬日即事|重九|乡里|山|春,登山屐|狂歌|儿童|山|春,寒|山|春|烛|空|花|酒|香,山|春,儿童|狂歌|登山屐,寒|烛|空|花|酒|香,2,5,5,8
16,铜坑看梅,梅花,冬雨|秋兴|流水|春|野,梅花|青山|流水|春|野,人|叶|夜|春|枝|梅花|流水|舟|莲|野|青山|香,春|梅花|流水|野|青山,,人|叶|夜|枝|舟|莲|香,5,5,5,12
17,梅 花(其一),梅花,月|如昼|春|天,彻夜|寂寞|春|天|月,喜|夜|天|寂寞|春|月|花|芳,天|寂寞|春|月,彻夜,喜|夜|花|芳,4,4,5,8
18,梅 花(其二),梅花,日影|立春|冬雨|溪|月|天|春|风,离离|残雪|脉脉|溪|月|天|春|风,人|夜|天|春|月|残雪|溪|芳|风,天|春|月|残雪|溪|风,离离|脉脉,人|夜|芳,6,8,8,9
19,和裴迪登蜀州东亭送客逢早梅相忆见寄,梅花,如昼|暮冬|浦|雪意|春,此时|岁暮|江边|垂垂|春,乡愁|人|夕|客|春|暮|梅|江|阁|雪,春,垂垂|岁暮|此时|江边,乡愁|人|夕|客|暮|梅|江|阁|雪,1,5,5,10
20,酬崔八早梅有赠兼示之作,梅花,春|冬雨|野|天,寒梅|蝶粉|野|天,天|寒|梅|炉|花|蜂|蝶|野|金|雪|香,天|野,寒梅|蝶粉,寒|梅|炉|花|蜂|蝶|金|雪|香,2,4,4,11
21,梅,梅花,江湖|雨|山|风,黄昏|雨|山|风,人|夜|寒|山|愁|酒|雨|风|香|鸟|黄昏,山|雨|风|黄昏,,人|夜|寒|愁|酒|香|鸟,4,4,4,11
22,梅,梅花,云峰|日|雨|烟|浦,题诗|日|雨|烟|浦,人|客|帆|愁|日|枝|烟|玉笛|雨|香,日|烟|雨,浦|题诗,人|客|帆|愁|枝|玉笛|香,3,5,5,10
23,山园小梅,梅花,秋暮|冬雨|秋色|江湖|冬夜|皓彩|风|园,摇落|横斜|水清|暗香|月黄昏|微吟|风|园,暗香|月|水|疏影|禽|粉蝶|芳|金樽|霜|风|黄昏,暗香|风,园|微吟|摇落|月黄昏|横斜|水清,月|水|疏影|禽|粉蝶|芳|金樽|霜|黄昏,2,8,8,11
24,山园小梅,梅花,元旦立春|遇雨|春郊|日|江,春至|冷落|酒旗|日|江,冷|夜|客|寒|旗|日|春|江南|酒|霜,日,冷落|春至|江|酒旗,冷|夜|客|寒|旗|春|江南|酒|霜,1,5,5,10
25,咏小梅,梅花,喜雪|悲秋|月桂|山,园林|晚景|清香|山,山|愁|杯|林|梅|清香|空|雪,山|清香,园林|晚景,愁|杯|林|梅|空|雪,2,4,4,8
26,歧亭道上见梅花戏赠季常,梅花,水帘|沙|远山|雨|野|云,岭头|风吹|一点|江云|野|云,云|兰|叶|岭|枝|梅|江|竹|芳|菊|酒|野|风|香,云|野,一点|岭头|江云|风吹,兰|叶|岭|枝|梅|江|竹|芳|菊|酒|风|香,2,6,6,14
27,次韵赏梅,梅花,立春|夏风|风|雨|尘,立春|生凉|风|雨|尘,人|凉|幽|春|玉|芳|雨|风|香,雨|风,尘|生凉|立春,人|凉|幽|春|玉|芳|香,2,5,5,9
28,梅 花,梅花,江|水|月|春,江|水|月|春,人|兰|冷|夜|孤|寒|怨|恨|春|月|水|江南|玉笛,春|月|水,江,人|兰|冷|夜|孤|寒|怨|恨|江南|玉笛,3,4,4,13
29,梅 花,梅花,渡口|月|地|云|桥|江,渡口|月|地|云|桥|江,云|地|孤|客|寒|怨|故乡|月|桥|江南|渡|芳|香,云|地|月|桥,江|渡口,孤|客|寒|怨|故乡|江南|渡|芳|香,4,6,6,13
30,浣花赏梅,梅花,江湖|暮冬|早春|温泉|雪意|冬雨|山|风|石,春回|积雪|香动|野水|带月|楼上|玉树|山|风|石,人|人间|冰|山|春|月|枝|梅|楼|水|玉|石|积雪|笛|野|风|香,山|石|积雪|风,带月|春回|楼上|玉树|野水|香动,人|人间|冰|春|月|枝|梅|楼|水|玉|笛|野|香,4,9,10,17
31,山亭观梅,梅花,丰年|莲塘|待月|月|地|春,时和|苍苔|栏边|月|地|春,地|夜|幽|恨|春|月|枝|梅|空|花|雪|香,地|春|月,时和|栏边|苍苔,夜|幽|恨|枝|梅|空|花|雪|香,3,6,6,12
32,怀古堂前小梅渐开,梅花,喜雨|春寒|桥|日|风|水|园|云,春意|春寒|大江|日|风|水|园|云,乱云|寒|愁|故园|日|春|枝|梅|水|江|雪|风,日|水|风,云|园|大江|春寒|春意,乱云|寒|愁|故园|春|枝|梅|江|雪,3,8,8,12
33,梅花下小饮,梅花,残星|喜雪|霞|春|腊|山,数点|玉杯|雨晴|春|腊|山,人|冰|叶|春|杯|梅|玉|空山|竹|花|雨,春,山|数点|玉杯|腊|雨晴,人|冰|叶|杯|梅|玉|空山|竹|花|雨,1,6,6,11
34,梅 花,梅花,远山|残星|风|沙,一点|月斜|萧萧|风吹,寒|幽|月|枝|风,,一点|月斜|萧萧|风吹,寒|幽|月|枝|风,0,4,4,5
35,落 梅,梅花,十六夜月|梅雨|风|山|野|月,昨夜|几阵|风|山|野|月,刀|夜|客|寒|山|月|枝|牡丹|玉|空|野|金|风,山|月|野|风,几阵|昨夜,刀|夜|客|寒|枝|牡丹|玉|空|金,4,6,6,13
36,渔舍观梅,梅花,云|浦|潮|月|春|水,漠漠|沙鸥|扁舟|寂寞|云|春|水,云|冷|寂寞|寒|扁舟|春|林|枝|水|沙|湖|竹|芳|雪|香,云|寂寞|扁舟|春|水,沙鸥|漠漠,冷|寒|林|枝|沙|湖|竹|芳|雪|香,5,6,7,15
37,梅 魂,梅花,月|残星|松径|风|山|水|溪,迢迢|寂寥|风弄|萧萧|山|水|月|溪,冷|夜|孤|寂|山|恨|愁|月|枝|水|溪|玉笛|草|风|香,山|月|水|溪,寂寥|萧萧|迢迢|风弄,冷|夜|孤|寂|恨|愁|枝|玉笛|草|风|香,4,7,8,15
38,水中梅影,梅花,江湖|盆池|渡|春色|喜雪|待月|温泉|冬雨|残星|风|云|溪|桥,澄澄|云母|春色|千点|倚槛|带月|凌波|黄昏|横斜|清浅|风|云|溪|桥,云|冰|寒|春色|月|枝|桥|波|流|溪|玉|雪|风|黄昏,云|春色|桥|溪|风|黄昏,云母|倚槛|凌波|千点|带月|横斜|清浅|澄澄,冰|寒|月|枝|波|流|玉|雪,6,13,14,14
39,梅花九首(其一),梅花,天|上元|夏夜|虹|风|云|早春|江|山|春,瑶台|处处|月明|美人|萧萧|漠漠|东风|江|山|春,东风|台|寂|寒|山|愁|春|月|林|江南|疏影|竹|美人|雪|香|高士,东风|山|春|美人,处处|月明|江|漠漠|瑶台|萧萧,台|寂|寒|愁|月|林|江南|疏影|竹|雪|香|高士,4,10,10,16
40,梅花九首(其三),梅花,月|雪晴|沙|流水|云|山,骑驴|风吹|流水|成愁|月|云|山,云|人|冷|夜|客|愁|月|流水|疏影|空山|舟|花|雪|风|香|鹤,云|月|流水,山|成愁|风吹|骑驴,人|冷|夜|客|愁|疏影|空山|舟|花|雪|风|香|鹤,3,6,7,16
41,梅 涧,梅花,沙|秋径|苦寒|星|秋日即|春径|涧|野|山,地僻|寒水|风吹|陨石|山翁|春光|沙|涧|野|山,人|地|寒|山|春|枝|梅|水|沙|涧|石|翁|野|雪|风|鹤,山|沙|涧|野,地僻|寒水|山翁|春光|陨石|风吹,人|地|寒|春|枝|梅|水|石|翁|雪|风|鹤,4,9,10,16
42,赠范蔚宗,梅花,江|春,江|春,人|折梅|春|枝|江南,春,江,人|折梅|枝|江南,1,2,2,5
43,咏 梅,梅花,春|日|池,春|日|池,人|日|春|枝|梅|花,日|春,池,人|枝|梅|花,2,3,3,6
44,江滨梅,梅花,春|春风|水,寒梅|开花|水,寒|梅|水|花,水,寒梅|开花,寒|梅|花,1,3,3,4
45,杂 诗（其二）,梅花,春夜|春|日,窗前|寒梅|日,寒|故乡|日|梅|花,日,寒梅|窗前,寒|故乡|梅|花,1,3,3,5
46,忆 梅,梅花,春|天,寒梅|天,天涯|寒|恨|梅|花,,天|寒梅,天涯|寒|恨|梅|花,0,2,2,5
47,梅 花,梅花,江湖,暗香,凌寒|暗香|枝|梅|雪,暗香,,凌寒|枝|梅|雪,1,1,1,5
48,梅 花,梅花,冬雨|夏夜|山,梅花|明月|横斜|山,夜|客|山|明月|梅花|雪|香,山|明月|梅花,横斜,夜|客|雪|香,3,3,4,7
49,梅 花,梅花,中庭|游山|冬雨|山|月,中庭|幽人|梅花|山|月,人|寒|山|幽|愁|月|梅花|酒,山|月|梅花,中庭|幽人,人|寒|幽|愁|酒,3,5,5,8
50,早 梅,梅花,冬夜|石洞|如昼|园,霜风|仙子|经年|园,喜|霜|风,,仙子|园|经年|霜风,喜|霜|风,0,4,4,3
51,寒 梅,梅花,春昼|月影,风清|月影,夜|寒|月影|玉|笛|风,月影,风清,夜|寒|玉|笛|风,1,2,2,6
52,岭 梅,梅花,冬雨|雨,梅花|雨,愁|梅花|雨|雪,梅花|雨,,愁|雪,2,2,2,4
53,咏 梅,梅花,游春|渡口|江湖|江|月,看花|立马|黄昏|江|月,月|江南|花|雪|马|黄昏,月|黄昏,江|看花|立马,江南|花|雪|马,2,5,5,6
54,邻墙梅花,梅花,早春|冬雨|春,腊后|梅花|春,寒|春|梅花|香,春|梅花,腊后,寒|香,2,3,3,4
55,梅 花,梅花,曝日|江湖|春风,竹屋|暗香|春风,春风|暗香|林|竹|雪,春风|暗香,竹屋,林|竹|雪,2,3,3,5
56,梅 花,梅花,骤雨|春|春风|春雨|待月,孤馆|寒梅|春风|园花|江上,孤|寒|故园|春风|枝|梅|江|花落,春风,园花|孤馆|寒梅|江上,孤|寒|故园|枝|梅|江|花落,1,5,5,8
57,梅花坞坐月,梅花,竹风|喜雪|冬雨|溪,月明中|孤吟|梅花|溪,冷|孤|月|梅花|溪|鹤,梅花|溪,孤吟|月明中,冷|孤|月|鹤,2,4,4,6
58,灵谷寺梅花坞,梅花,冬雨|山|石,梅花|山|石,壶|山|林|梅花|燕|石|茅屋|草,山|梅花|石,,壶|林|燕|茅屋|草,3,3,3,8
59,新栽梅,梅花,寒食雨|池,桃李|池,桃|梅|洲|花,,桃李|池,桃|梅|洲|花,0,2,2,4
60,春女怨,梅花,春色,春色,今朝|春色|梅|玉|花开,春色,,今朝|梅|玉|花开,1,1,1,5
61,早 梅,梅花,春|雪晴|溪|桥|水|冬,寒梅|未消|溪|桥|水|冬,冬|寒|桥|梅|水|溪|玉|花|雪,冬|桥|水|溪,寒梅|未消,寒|梅|玉|花|雪,4,6,6,9
62,竹里梅,梅花,冬雨|沙,梅花|风吹,枝|梅花|竹|雪|风,梅花,风吹,枝|竹|雪|风,1,2,2,5
63,山驿梅花,梅花,沙|溪|涧|山|雨,陌上|溪|涧|山|雨,山|崖|幽|愁|涧|溪|空|行人|雨|香|鸟,山|涧|溪|雨,陌上,崖|幽|愁|空|行人|香|鸟,4,5,5,11
64,梅 花,梅花,待月|初冬,倚槛|池冰,冰|恨|枝|芳|雪|霜|香,,倚槛|池冰,冰|恨|枝|芳|雪|霜|香,0,2,2,7
65,京师逢卖梅花,梅花,秋兴|涧,修竹|水深,修竹|水|芳|蝴蝶|香|马,修竹,水深,水|芳|蝴蝶|香|马,1,2,2,6
66,梅 花,梅花,秋|早春|冬|喜雨|春|日,萧条|腊后|雪压|春意|春|日,春|昨日|枝|雪|霜,春,日|春意|腊后|萧条|雪压,昨日|枝|雪|霜,1,6,6,5
67,梅花二首,梅花,早春|水帘|冬雨|上元遇雪|寒食雨|喜雪|水|石|渡|溪,春来|潺潺|梅花|东风|飞雪|关山|把酒|水|石|渡|溪,东风|乐|人|关山|夜|幽|愁|把酒|春|梅花|水|渡|溪|石|草|谷|飞雪,东风|关山|把酒|梅花|水|渡|溪|石|飞雪,春来|潺潺,乐|人|夜|幽|愁|春|草|谷,9,10,11,17
68,次韵杨公济奉议梅花,梅花,风,风,双燕|寒|林|枝|流|空|风,风,,双燕|寒|林|枝|流|空,1,1,1,7
69,梅 花,梅花,春晴|残星|冬雨|春|山|烟|浦,芳草|盈盈|脉脉|春|山|烟|浦,山|春|湖|烟|花|芳草|酒,山|春|烟|芳草,浦|盈盈|脉脉,湖|花|酒,4,7,7,7
70,十一月后庭梅花盛开,梅花,冬雨|秋径|江湖|夏|腊,梅花|青苔|幽香|山禽|腊,人|山|幽香|禽|腊梅|花,幽香,山禽|梅花|腊|青苔,人|山|禽|腊梅|花,1,5,5,6
71,梅,梅花,早春|立春|春,东风|残雪|梨花,东风|夜|梨花|残雪|泪|香,东风|梨花|残雪,,夜|泪|香,3,3,3,6
72,和张规臣水墨梅五绝(其三),梅花,春归|浮山|江|尘,春归|依旧|江|尘,春|江南|玉,,依旧|尘|春归|江,春|江南|玉,0,4,4,3
73,和张规臣水墨梅五绝（其五）,梅花,重九|秋兴|秋色|秋凉|冬雨,年年|临水|幽姿|画出|横斜,夜|幽|水|湖|雪,,临水|年年|幽姿|横斜|画出,夜|幽|水|湖|雪,0,5,5,5
74,绿萼梅,梅花,罗|日,罗|日,人间|寒|日|暮|玉|绿竹|霜,日,罗,人间|寒|暮|玉|绿竹|霜,1,2,2,7
75,落 梅,梅花,春|风,东君|风,气节|花|雪|风,风,东君,气节|花|雪,1,2,2,4
76,梅 花,梅花,江湖|残月|风,幽香|淡淡|风,人间|关|幽香|花|雪|风,幽香|风,淡淡,人间|关|花|雪,2,3,3,6
77,梅 花,梅花,冬雨|岛屿|海|山,梅花|晓风|雪堆|山,山|晓风|梅|梅花|翁|雪,山|晓风|梅花,雪堆,梅|翁|雪,3,4,4,6
78,梅 花,梅花,沙|春色,如雪|丹青,壶|夜|桐|花|酒|雪,,丹青|如雪,壶|夜|桐|花|酒|雪,0,2,2,6
79,江上寻梅,梅花,渔矶|冬雨|园|地,风月|梅花|园|地,地|月|梅花|藤|风,地|梅花,园|风月,月|藤|风,2,4,4,5
80,折梅花,梅花,冬雨|渡|山|石,梅花|清泉|山|石,书|山|梅花|泉|石,山|梅花|石,清泉,书|泉,3,4,4,5
81,雪后寻梅,梅花,冬夜|游山|春昼,梅影|幽人|欹枕,人|幽|枝|梅|香,,幽人|梅影|欹枕,人|幽|枝|梅|香,0,3,3,5
82,池亭双树梅花,梅花,冬雨|池|水,梅花|池|水,亭|寒|枝|梅花|水|雪,梅花|水,池,亭|寒|枝|雪,2,3,3,6
83,南斋梅花,梅花,春晓|冬雨|月|烧,早起|梅花|月|烧,晓|月|梅花|香,月|梅花,早起|烧,晓|香,2,4,4,4
84,梅影上有寒雀来往,梅花,冬雨|日影|水声,梅花|日影|飞花|古今,寒|日|梅花|飞花,梅花|飞花,古今|日影,寒|日,2,3,4,4
85,昌英知县叔作岁，坐上赋瓶里梅花，时坐上九人,梅花,沙|冬雨|水,江头|梅花|水,人|冰|客|梅花|水|江|竹,梅花|水,江头,人|冰|客|江|竹,2,3,3,7
86,庆长叔招饮花下,梅花,溪|雪意|上元,风声|雪声|翠袖,愁|梅|雪|风,,翠袖|雪声|风声,愁|梅|雪|风,0,3,3,4
87,瓶里梅花,梅花,山,山,人|枝|梅|玉|空山|银,,山,人|枝|梅|玉|空山|银,0,1,1,6
88,除夜自石湖归苕溪(其一),梅花,残星|冬雨|石桥|雨|沙|烟|水,迢迢|梅花|石桥|雨|沙|烟|水,人|冷|夜|桥|梅花|水|沙|烟|石|竹|细雨|雪|香,梅花|水|沙|烟,石桥|迢迢|雨,人|冷|夜|桥|石|竹|细雨|雪|香,4,7,7,13
89,水边早梅,梅花,秋阴|秋径|春径|池,黯淡|寒烟|春光|池,寒|春|枝|烟|疏影|花,,寒烟|春光|池|黯淡,寒|春|枝|烟|疏影|花,0,4,4,6
90,久客买舟西还,梅花,冬雨|河|浦,万里|烟波|灞桥|梅花,万里|愁|折梅|桥|波|烟|花,万里,梅花|灞桥|烟波,愁|折梅|桥|波|烟|花,1,3,4,7
91,梅 花,梅花,山|冬日书怀|秋暮|冬夜|喜雨,楼寒|野月|峥嵘|霜清|春意|山,人间|夜|寒|山|春|月|楼|玉|箫|野|霜,山,峥嵘|春意|楼寒|野月|霜清,人间|夜|寒|春|月|楼|玉|箫|野|霜,1,5,6,11
92,武夷山中,梅花,江湖|潮|月|冬雨|山|雨,野水|天地|寂寥|梅花|山|雨,地|天|寂|山|峰|梅花|水|野|雨,山|梅花|雨,天地|寂寥|野水,地|天|寂|峰|水|野,3,6,6,9
93,夜 坐,梅花,松径|冬雨|风|江,森森|梅花|风|江,夜|寒|梅花|江南|酒|雪|风,梅花|风,森森|江,夜|寒|江南|酒|雪,2,4,4,7
94,窗外梅蕾,梅花,冬|春风|溪|石|桥|风,麦肥|春风|雪飞|溪|石|桥|风,人|春风|柳|桥|溪|玉|石|竹|雪|风,春风|桥|溪|石|风,雪飞|麦肥,人|柳|玉|竹|雪,5,6,7,10
95,墨 梅,梅花,月|渔矶,影冷|烟雨,冷|湖|烟雨|疏影|香,烟雨,影冷,冷|湖|疏影|香,1,2,2,5
96,梅,梅花,春|春色|江湖|如昼,晴沙|春色|暗香|今夜,夜|春色|暗香|沙|花|雪,春色|暗香,今夜|晴沙,夜|沙|花|雪,2,4,4,6
97,观梅有感,梅花,早春|喜雨|冬雨|尘|沙|江,东风|春意|梅花|尘|沙|江,东风|春|梅花|江南|沙|湖,东风|梅花|沙,尘|春意|江,春|江南|湖,3,6,6,6
98,白 梅,梅花,寒食雨|月桂|河|尘|春,桃李|清香|万里|尘|春,万里|冰|夜|春|林|桃|清香|芳|雪,万里|春|清香,尘|桃李,冰|夜|林|桃|芳|雪,3,5,5,9
99,梅 花,梅花,早春|冬日|霞|雷|莲塘|冬雨|月|野|桥,东风|雪消|山色|一声|羌笛|梅花|月|野|桥,东风|人|南山|月|桥|梅花|湖|羌笛|野|雪,东风|月|桥|梅花|羌笛|野,一声|山色|雪消,人|南山|湖|雪,6,9,9,10
100,梅 花,梅花,夏夜|海|烟|天,月明|海|烟|天,人|夜|天|月|楼|海|湖|烟|玉|箫|雪,天|海|烟,月明,人|夜|月|楼|湖|玉|箫|雪,3,4,4,11
101,风 梅,梅花,风|春寒|月,少女|春寒|月,冷|夜|寒|春|月|玉|花,月,少女|春寒,冷|夜|寒|春|玉|花,1,3,3,7
102,王元章倒枝画梅,梅花,竹径|冬雨|地,拂云|梅花|地,云|地|孤|枝|梅花|芳,地|梅花,拂云,云|孤|枝|芳,2,3,3,6
103,吉祥寺古梅,梅花,冬雨|潮|山|春,梅花|花气|山|春,客|寒|山|春|梅花|花,山|春|梅花,花气,客|寒|花,3,4,4,6
104,百嘉村见梅花,梅花,江湖|冬夜|春郊|天,黄昏|寒月|江村|天,天涯|客|寒月|江|玉笛|疏影|高楼|黄昏,寒月|黄昏,天|江村,天涯|客|江|玉笛|疏影|高楼,2,4,4,8
105,梅 花,梅花,莲塘|春,苍苔|春,人|春|香,春,苍苔,人|香,1,2,2,3
106,枯 梅,梅花,,,人|林|香,,,人|林|香,0,0,0,3
107,浣溪沙,梅花,天|梅溪|流水|暮冬|十六夜月|云|假山|水|月|石,断桥|流水|春回|昨夜|冉冉|瑶台|窗外|水|月|石|天,台|夜|天|春|月|桥|水|流水|玉|石|花开|雪|香,天|月|水|流水|石,冉冉|断桥|春回|昨夜|瑶台|窗外,台|夜|春|桥|玉|花开|雪|香,5,10,11,13
108,浣溪沙,梅花,喜雪|寒食雨|春径|夏夜|江湖|水|云,铅华|桃李|春光|明月|幽香|水|云,云|孤|寒|幽香|明月|春|枝|桃|桐|水|玉,云|幽香|明月|水,春光|桃李|铅华,孤|寒|春|枝|桃|桐|玉,4,7,7,11
109,长相思,梅花,冬,雪飞,寒|暖|枝|笛|花|雪,,雪飞,寒|暖|枝|笛|花|雪,0,1,1,6
110,鬲溪梅令,梅花,山|园|春风|喜雪|残星|云|水|春,山|好花|春风|横陈|盈盈|云|水|春,云|人|孤|山|春|春风|木兰|桨|水|浪|玉|禽|花|香,云|山|春|春风|水,好花|横陈|盈盈,人|孤|木兰|桨|浪|玉|禽|花|香,5,8,8,14
111,卜算子,梅花,喜雪|远山|夏夜|涧|春|风,园林|远山|明月|涧|春|风,寒|幽|明月|春|林|枝|梅|流|涧|远山|风|香,明月|春|涧|远山|风,园林,寒|幽|林|枝|梅|流|香,5,6,6,12
112,卜算子,梅花,春|梅溪|月|江湖|雨|尘,断桥|寂寞|黄昏|风和|雨|春|尘,寂寞|愁|春|桥|芳|苦|雨|风|香|黄昏,寂寞|春|雨|黄昏,尘|断桥|风和,愁|桥|芳|苦|风|香,4,6,7,10
113,诉衷情,梅花,春昼|春|月,人悄悄|春|月,人|余香|夜|帘|春|月|枝|梅|酒,春|月,人悄悄,人|余香|夜|帘|枝|梅|酒,2,3,3,9
114,霜天晓角,梅花,冬雨|江|十六夜月|待月|月,冰清|昨夜|梅花|玉龙|卷珠帘|月,兰|冰|夜|寒|帘|晓|月|枝|梅花|热|玉|珠|金|雪|霜|龙,月|梅花,冰清|卷珠帘|昨夜|玉龙,兰|冰|夜|寒|帘|晓|枝|热|玉|珠|金|雪|霜|龙,2,5,6,16
115,霜天晓角,梅花,霞|冬雨|雪意|云峰|春日书怀|风|春|云|月,晚晴|脉脉|天淡|来去|画楼|风|春|云|月,云|人|夜|天|愁|春|月|枝|楼|花|雁|雪|风,云|春|月|风,天淡|晚晴|来去|画楼|脉脉,人|夜|天|愁|枝|楼|花|雁|雪,4,9,9,13
116,霜天晓角,梅花,春风|月|海,春风|月|海,原|寒|春风|月|海棠|雪|霜,春风|月,海,原|寒|海棠|雪|霜,2,3,3,7
117,霜天晓角,梅花,溪|清明|春径|罗,傲雪|百花|春光|罗,寒|春|林|花|雪|霜|香,,傲雪|春光|百花|罗,寒|春|林|花|雪|霜|香,0,4,4,7
118,清平乐,梅花,早春|悲秋|雪意|云|天|水,东风|月冷|风寒|云|天|水,东风|云|人|冷|天|寒|岭|月|桃|水|雪|风|香,东风|云|天|水,月冷|风寒,人|冷|寒|岭|月|桃|雪|风|香,4,6,6,13
119,清平乐,梅花,冬雨|风|重九|海|天,梅花|年年|萧萧|海|天|风,天涯|梅花|泪|海角|雪|风,梅花|风,天|年年|海|萧萧,天涯|泪|海角|雪,2,5,6,6
120,好事近,梅花,夏夜|江湖|烟|水|石,月华|幽香|烟|水|石,乐|幽香|暮|月|林|枝|横笛|水|烟|玉|石|花|蝶,幽香|水|烟|石,月华,乐|暮|月|林|枝|横笛|玉|花|蝶,4,5,5,13
121,忆秦娥,梅花,冬雨|云|天|秋风|梅溪|残星|江湖|早春|雷|月,梅花|天|凄凉|南浦|断桥|盈盈|凌波|东风|一声|月|云,东风|凉|南浦|夜|天涯|愁|暮云|月|桥|梅花|波|相思,东风|南浦|月|梅花,一声|云|凄凉|凌波|天|断桥|盈盈,凉|夜|天涯|愁|暮云|桥|波|相思,4,10,11,12
122,忆少年,梅花,喜雪|残月|残星|冬雨|江湖|春|风|秋暮|雷|莲塘|沙|天,斜斜|淡淡|盈盈|脉脉|暗香|梨花|萧萧|水寒|一声|羌笛|沙|天,天涯|寒|暗香|梨花|水|沙|空|羌笛|马,暗香|梨花|沙|羌笛,一声|天|斜斜|水寒|淡淡|盈盈|脉脉|萧萧,天涯|寒|水|空|马,4,12,12,9
123,阮郎归,梅花,江湖|冬夜|早春|水帘|春|江|日|云,暗香|月黄昏|东风|岭头|春|江|日|云,东风|人|冷|岭|日|春|暗香|暮云|月|江南|玉|花|雪|香|黄昏,东风|日|春|暗香,云|岭头|月黄昏|江,人|冷|岭|暮云|月|江南|玉|花|雪|香|黄昏,4,8,8,15
