物象,出现诗篇数,类别
残月,2,天象时令
小楼,2,器物人文
鸿,2,动物禽鸟
今夕,2,时空行为
朝露,2,天象时令
猿,2,动物禽鸟
蘋花,2,植物花卉
辛夷,2,植物花卉
梧桐,2,植物花卉
玫瑰,2,植物花卉
松柏,2,植物花卉
菜花,2,植物花卉
牛,2,动物禽鸟
笙,2,器物人文
红颜,2,人物意象
异乡,2,山水地理
洞庭,2,山水地理
哀怨,2,情感抽象
剑,2,器物人文
桐花,2,植物花卉
百里,2,时空行为
水芙蓉,2,植物花卉
蓼花,2,植物花卉
虹,2,天象时令
青松,2,植物花卉
芦花,2,植物花卉
清高,2,情感抽象
木芙蓉,2,植物花卉
寒霜,2,天象时令
红梅,2,植物花卉
寒风,1,天象时令
乡愁,1,情感抽象
积雪,1,天象时令
乱云,1,天象时令
飞雪,1,天象时令
腊梅,1,植物花卉
绿竹,1,植物花卉
气节,1,情感抽象
高楼,1,器物人文
寒月,1,天象时令
海角,1,山水地理
孤鸿,1,动物禽鸟
塞雁,1,动物禽鸟
短亭,1,山水地理
昭君,1,人物意象
烟云,1,天象时令
月光,1,时空行为
啼鸟,1,动物禽鸟
碧水,1,山水地理
电,1,天象时令
水色,1,时空行为
洞箫,1,器物人文
夜风,1,天象时令
黑云,1,天象时令
玉门关,1,山水地理
黄莺,1,动物禽鸟
绣球,1,植物花卉
素馨,1,植物花卉
玉蕊花,1,植物花卉
巫山,1,山水地理
旭日,1,天象时令
白雪,1,天象时令
黄鹂,1,动物禽鸟
榭,1,器物人文
沧海,1,山水地理
壮,1,情感抽象
高洁,1,情感抽象
子规,1,动物禽鸟
春山,1,山水地理
烟霞,1,天象时令
虞姬,1,人物意象
清晨,1,天象时令
义,1,情感抽象
山枇杷,1,植物花卉
乳燕,1,动物禽鸟
栀子花,1,植物花卉
忠,1,情感抽象
暮风,1,天象时令
长江,1,山水地理
潭,1,山水地理
寒江,1,山水地理
麟,1,动物禽鸟
短笛,1,器物人文
花谢,1,植物花卉
潇湘,1,山水地理
秋江,1,山水地理
木槿,1,植物花卉
中秋,1,天象时令
渔舟,1,器物人文
白霜,1,天象时令
紫薇,1,植物花卉
秋兰,1,植物花卉
秋月,1,天象时令
陶潜,1,人物意象
筝,1,器物人文
霰,1,天象时令
槐,1,植物花卉
木棉花,1,植物花卉
甘菊,1,植物花卉
西楼,1,器物人文
蜡梅,1,植物花卉
瑞香,1,植物花卉
