词条,手工类,诗学含英类,是否同类,冲突说明,手工大类,诗学含英大类,卷次,诗学含英情感倾向初判
兰花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
兰蕙,,百草类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷三,neutral
关,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
关山,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
关隘,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
兵部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
农夫,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
冠,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
冬夜,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬日,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬日书怀,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬日即事,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬晓,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬曰牡丹,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
冬望,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,neutral
冬雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冬风,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
冷,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
凉,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
凌寒,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
凌雪花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
凌霄花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
几,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
凤,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
凤仙花,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
凤凰,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
凫,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
凭栏,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
凶年,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,negative
出猎,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
击丸,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
击毬,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
刀,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
刚正,,臣道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
初冬,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
初夏,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
初曰,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
刺史,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
剪刀,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
剪彩花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
剪春罗,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
劝学,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
勤学,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
北斗,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
医者,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
十六夜月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
十四夜月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
十月菊,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
千叶桃花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
千叶菊,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
千里,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
千里人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
华山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
卖花声,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
南山,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
南浦,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
南海,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
博学,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
博戏,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
卜筮,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
印,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
危楼,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
原,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
县令,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
县佐,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
双头牡丹,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
双燕,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
双陆,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
叔姪,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
古冢,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
古剑,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
古庙,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
古琴,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
古镜,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
叶,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
合欢,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
合欢花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
合药,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
吊亡,,庆吊类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷三,negative
名利,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
名誉,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
吏部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
向日葵,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
吟诗,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
含笑,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
含笑花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
哀,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
哀怨,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
哀猿,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
啄木,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
商旅,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
啼猿,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
啼鸟,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
喜,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
喜友见访,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,positive
喜雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
喜雪,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
嗜饮,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
嘉峪关,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
嘉禾,,百谷类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
四季花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
园,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
园亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
围炉,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
围碁,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
国子监,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
图书,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
圆月,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
土牛,,走兽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
圣寿,,君道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,positive
地炉,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
地理,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
垂丝海棠,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
垂柳,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
垂钓捕鱼,,人品类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
城,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
堠,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
塔,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
塞,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
塞北,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
塞雁,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
士望,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
壮,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
壮志,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
壶,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
夏夜,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏晓,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏曰,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏曰即事书怀,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏曰途中,,时令类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夏风,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
夕,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
夕阳,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
夜,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
夜坐,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
夜宴,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
夜色,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
夜风,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
大理寺,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
天上,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
天台山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
天涯,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
太仆寺,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
太医院,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
太守,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
太常寺,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
夫妇,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
夹竹桃花,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
女冠,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
女壻,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
奴婢,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
妓女,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
妻妾,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
婚姻,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
子规,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
孔雀,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
字,,书画类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
孝子,,人伦类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
孤,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
孤云,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
孤寂,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
孤峰,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
孤月,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
孤独,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
孤舟,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
孤雁,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
孤鴈,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
孤鸿,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
学院,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
守岁,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
宗人府,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
官廨,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
宝剑,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
客,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
客中雨,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
客亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
宣圣庙,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
宫怨,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,negative
宫阙,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
宰相,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
宾客,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
宿燕,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
寂,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
寂寞,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
寄书,,文学类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
寄友,,师友类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
寄远,,丽人类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
寒,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒山,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
寒月,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒江,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
寒雨,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒雪,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒霜,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒露,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒风,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
寒食,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,negative
寒食雨,,节序类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,negative
寳贝,,珍宝类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
寺,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
寻访,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,neutral
寿皇太子,,君道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,positive
射,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
射虎,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
将帅,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
小松,,树木类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
小楼,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
少年,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
尘,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
尺,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
尺书,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
尼姑,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
屏风,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
屦,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
山亭,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
山城,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
山家,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
山居,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
山枇杷,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
山水,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
山色,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
山行,,游眺类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷三,neutral
山阁,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
岛屿,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
岩,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
岭,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
岸,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
峨眉,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
峰,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
崖,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
嵩山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
巡城,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
工司属,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
工部尚书,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
巫山,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
巫觋,,释老类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
巴山,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
巾,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
市井,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
布政司,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
帆,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
帐,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
带,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
席,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
帷,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
帷幙,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
帽,,服饰类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
干戈,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
干谒,,仕宦类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
平生,时空行为,,待定,仅手工词典命中，诗学含英未收录该词,时空行为,,,
并头莲,,百花类,待定,仅诗学含英收录，手工词典未收录该词,,植物生物,卷四,neutral
幽,情感抽象,,待定,仅手工词典命中，诗学含英未收录该词,情志评价,,,
幽香,植物花卉,,待定,仅手工词典命中，诗学含英未收录该词,植物生物,,,
庆云,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,positive
床,,器用类上,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷三,neutral
庐山,,地舆类,待定,仅诗学含英收录，手工词典未收录该词,,自然地理,卷一,neutral
庙,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
府佐,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
府尹,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
废宅,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
废寺,,宫室类,待定,仅诗学含英收录，手工词典未收录该词,,器物人事,卷二,neutral
座主,,仕进类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
廉吏,,臣道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
异乡,山水地理,,待定,仅手工词典命中，诗学含英未收录该词,自然地理,,,
弯月,天象时令,,待定,仅手工词典命中，诗学含英未收录该词,自然时空,,,
归雁,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
归鴈,,飞禽类,待定,仅诗学含英收录，手工词典未收录该词,,动物生物,卷四,neutral
影戏,,人事类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
征人,人物意象,,待定,仅手工词典命中，诗学含英未收录该词,人物人伦,,,
征雁,动物禽鸟,,待定,仅手工词典命中，诗学含英未收录该词,动物生物,,,
征马,器物人文,,待定,仅手工词典命中，诗学含英未收录该词,器物人事,,,
待月,,天文类,待定,仅诗学含英收录，手工词典未收录该词,,自然时空,卷一,neutral
御史,,百官类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
循吏,,臣道类,待定,仅诗学含英收录，手工词典未收录该词,,人物人伦,卷二,neutral
志气,,志气类,待定,仅诗学含英收录，手工词典未收录该词,,情志评价,卷二,neutral
