词,C3,C3_zh,C2,C1,词长
羞愤,anger,愤怒不平,disgust,negative,2
羞辱,anger,愤怒不平,disgust,negative,2
致慨,anger,愤怒不平,disgust,negative,2
触怒,anger,愤怒不平,disgust,negative,2
负气,anger,愤怒不平,disgust,negative,2
赌气,anger,愤怒不平,disgust,negative,2
赫然,anger,愤怒不平,disgust,negative,2
迁怒,anger,愤怒不平,disgust,negative,2
追击,anger,愤怒不平,disgust,negative,2
造反,anger,愤怒不平,disgust,negative,2
郁怒,anger,愤怒不平,disgust,negative,2
郁愤,anger,愤怒不平,disgust,negative,2
阴沉,anger,愤怒不平,disgust,negative,2
陡然,anger,愤怒不平,disgust,negative,2
震怒,anger,愤怒不平,disgust,negative,2
嗔,anger,愤怒不平,disgust,negative,1
怒,anger,愤怒不平,disgust,negative,1
恼,anger,愤怒不平,disgust,negative,1
愠,anger,愤怒不平,disgust,negative,1
愤,anger,愤怒不平,disgust,negative,1
滂,anger,愤怒不平,disgust,negative,1
人心不足蛇吞象,criticize,批判指责,disgust,negative,7
今朝有酒今朝醉,criticize,批判指责,disgust,negative,7
挟天子以令诸侯,criticize,批判指责,disgust,negative,7
置之死地而后快,criticize,批判指责,disgust,negative,7
不登大雅之堂,criticize,批判指责,disgust,negative,6
主观唯心主义,criticize,批判指责,disgust,negative,6
无所不用其极,criticize,批判指责,disgust,negative,6
死无葬身之地,criticize,批判指责,disgust,negative,6
世界的末日,criticize,批判指责,disgust,negative,5
令人不愉快,criticize,批判指责,disgust,negative,5
依样画葫芦,criticize,批判指责,disgust,negative,5
出乎意料地,criticize,批判指责,disgust,negative,5
夸张的手法,criticize,批判指责,disgust,negative,5
朽木不可雕,criticize,批判指责,disgust,negative,5
没见过世面,criticize,批判指责,disgust,negative,5
痛苦的根源,criticize,批判指责,disgust,negative,5
苛政猛于虎,criticize,批判指责,disgust,negative,5
蚍蜉撼大树,criticize,批判指责,disgust,negative,5
透不过气来,criticize,批判指责,disgust,negative,5
一不小心,criticize,批判指责,disgust,negative,4
一丘之貉,criticize,批判指责,disgust,negative,4
一事无成,criticize,批判指责,disgust,negative,4
一唱一和,criticize,批判指责,disgust,negative,4
一团漆黑,criticize,批判指责,disgust,negative,4
一塌胡涂,criticize,批判指责,disgust,negative,4
一意孤行,criticize,批判指责,disgust,negative,4
一手遮天,criticize,批判指责,disgust,negative,4
一掷千金,criticize,批判指责,disgust,negative,4
一无所成,criticize,批判指责,disgust,negative,4
一无所知,criticize,批判指责,disgust,negative,4
一本正经,criticize,批判指责,disgust,negative,4
一模一样,criticize,批判指责,disgust,negative,4
一气呵气,criticize,批判指责,disgust,negative,4
一窍不通,criticize,批判指责,disgust,negative,4
一鳞半爪,criticize,批判指责,disgust,negative,4
三分天下,criticize,批判指责,disgust,negative,4
三分鼎足,criticize,批判指责,disgust,negative,4
上行下效,criticize,批判指责,disgust,negative,4
下层社会,criticize,批判指责,disgust,negative,4
不为人知,criticize,批判指责,disgust,negative,4
不事铅华,criticize,批判指责,disgust,negative,4
不以为然,criticize,批判指责,disgust,negative,4
不伦不类,criticize,批判指责,disgust,negative,4
不值一提,criticize,批判指责,disgust,negative,4
不劳而获,criticize,批判指责,disgust,negative,4
不劳而食,criticize,批判指责,disgust,negative,4
不可一世,criticize,批判指责,disgust,negative,4
不可告人,criticize,批判指责,disgust,negative,4
不可理喻,criticize,批判指责,disgust,negative,4
不可自拔,criticize,批判指责,disgust,negative,4
不合情理,criticize,批判指责,disgust,negative,4
不合时宜,criticize,批判指责,disgust,negative,4
不吐不快,criticize,批判指责,disgust,negative,4
不堪一击,criticize,批判指责,disgust,negative,4
不堪承受,criticize,批判指责,disgust,negative,4
不学无术,criticize,批判指责,disgust,negative,4
不屑一顾,criticize,批判指责,disgust,negative,4
不干不净,criticize,批判指责,disgust,negative,4
不当回事,criticize,批判指责,disgust,negative,4
不得人心,criticize,批判指责,disgust,negative,4
不成样子,criticize,批判指责,disgust,negative,4
不拘小节,criticize,批判指责,disgust,negative,4
不择手段,criticize,批判指责,disgust,negative,4
不断骚扰,criticize,批判指责,disgust,negative,4
不枝不蔓,criticize,批判指责,disgust,negative,4
不法行为,criticize,批判指责,disgust,negative,4
不甘寂寞,criticize,批判指责,disgust,negative,4
不由分说,criticize,批判指责,disgust,negative,4
不着眼于,criticize,批判指责,disgust,negative,4
不着边际,criticize,批判指责,disgust,negative,4
不管怎样,criticize,批判指责,disgust,negative,4
