词,C3,C3_zh,C2,C1,词长
零乱,criticize,批判指责,disgust,negative,2
雷同,criticize,批判指责,disgust,negative,2
露骨,criticize,批判指责,disgust,negative,2
霸占,criticize,批判指责,disgust,negative,2
霸王,criticize,批判指责,disgust,negative,2
霸道,criticize,批判指责,disgust,negative,2
青楼,criticize,批判指责,disgust,negative,2
非人,criticize,批判指责,disgust,negative,2
非分,criticize,批判指责,disgust,negative,2
非礼,criticize,批判指责,disgust,negative,2
非议,criticize,批判指责,disgust,negative,2
非难,criticize,批判指责,disgust,negative,2
靡靡,criticize,批判指责,disgust,negative,2
革除,criticize,批判指责,disgust,negative,2
鞭子,criticize,批判指责,disgust,negative,2
鞭挞,criticize,批判指责,disgust,negative,2
顶撞,criticize,批判指责,disgust,negative,2
顺口,criticize,批判指责,disgust,negative,2
顽敌,criticize,批判指责,disgust,negative,2
顽皮,criticize,批判指责,disgust,negative,2
顽童,criticize,批判指责,disgust,negative,2
顿挫,criticize,批判指责,disgust,negative,2
预谋,criticize,批判指责,disgust,negative,2
频仍,criticize,批判指责,disgust,negative,2
频繁,criticize,批判指责,disgust,negative,2
频袭,criticize,批判指责,disgust,negative,2
颓势,criticize,批判指责,disgust,negative,2
颓唐,criticize,批判指责,disgust,negative,2
颓放,criticize,批判指责,disgust,negative,2
颓败,criticize,批判指责,disgust,negative,2
颓靡,criticize,批判指责,disgust,negative,2
颓风,criticize,批判指责,disgust,negative,2
颠倒,criticize,批判指责,disgust,negative,2
颠扑,criticize,批判指责,disgust,negative,2
颠覆,criticize,批判指责,disgust,negative,2
风头,criticize,批判指责,disgust,negative,2
风骚,criticize,批判指责,disgust,negative,2
飞溅,criticize,批判指责,disgust,negative,2
食人,criticize,批判指责,disgust,negative,2
饶舌,criticize,批判指责,disgust,negative,2
饶过,criticize,批判指责,disgust,negative,2
首恶,criticize,批判指责,disgust,negative,2
香艳,criticize,批判指责,disgust,negative,2
马虎,criticize,批判指责,disgust,negative,2
驱使,criticize,批判指责,disgust,negative,2
驱散,criticize,批判指责,disgust,negative,2
驱赶,criticize,批判指责,disgust,negative,2
驱逐,criticize,批判指责,disgust,negative,2
驳斥,criticize,批判指责,disgust,negative,2
驳杂,criticize,批判指责,disgust,negative,2
骂人,criticize,批判指责,disgust,negative,2
骂名,criticize,批判指责,disgust,negative,2
骄傲,criticize,批判指责,disgust,negative,2
骄横,criticize,批判指责,disgust,negative,2
骄矜,criticize,批判指责,disgust,negative,2
骄纵,criticize,批判指责,disgust,negative,2
骗取,criticize,批判指责,disgust,negative,2
骗局,criticize,批判指责,disgust,negative,2
骗术,criticize,批判指责,disgust,negative,2
骚乱,criticize,批判指责,disgust,negative,2
骚动,criticize,批判指责,disgust,negative,2
骚扰,criticize,批判指责,disgust,negative,2
骤降,criticize,批判指责,disgust,negative,2
高估,criticize,批判指责,disgust,negative,2
高傲,criticize,批判指责,disgust,negative,2
高压,criticize,批判指责,disgust,negative,2
高阔,criticize,批判指责,disgust,negative,2
高难,criticize,批判指责,disgust,negative,2
鬼气,criticize,批判指责,disgust,negative,2
鬼物,criticize,批判指责,disgust,negative,2
鬼魅,criticize,批判指责,disgust,negative,2
魑魅,criticize,批判指责,disgust,negative,2
魔掌,criticize,批判指责,disgust,negative,2
魔鬼,criticize,批判指责,disgust,negative,2
鱼肉,criticize,批判指责,disgust,negative,2
鲁莽,criticize,批判指责,disgust,negative,2
鲨鱼,criticize,批判指责,disgust,negative,2
鸨母,criticize,批判指责,disgust,negative,2
鹑衣,criticize,批判指责,disgust,negative,2
麻木,criticize,批判指责,disgust,negative,2
麻烦,criticize,批判指责,disgust,negative,2
麻痹,criticize,批判指责,disgust,negative,2
黄色,criticize,批判指责,disgust,negative,2
黑暗,criticize,批判指责,disgust,negative,2
黝黑,criticize,批判指责,disgust,negative,2
黩武,criticize,批判指责,disgust,negative,2
黯淡,criticize,批判指责,disgust,negative,2
鼓动,criticize,批判指责,disgust,negative,2
鼓吹,criticize,批判指责,disgust,negative,2
鼓噪,criticize,批判指责,disgust,negative,2
鼠窜,criticize,批判指责,disgust,negative,2
鼠类,criticize,批判指责,disgust,negative,2
齿冷,criticize,批判指责,disgust,negative,2
龃龉,criticize,批判指责,disgust,negative,2
龌龊,criticize,批判指责,disgust,negative,2
龟缩,criticize,批判指责,disgust,negative,2
龟裂,criticize,批判指责,disgust,negative,2
下,criticize,批判指责,disgust,negative,1
丑,criticize,批判指责,disgust,negative,1
乏,criticize,批判指责,disgust,negative,1
乱,criticize,批判指责,disgust,negative,1
亚,criticize,批判指责,disgust,negative,1
亢,criticize,批判指责,disgust,negative,1
亵,criticize,批判指责,disgust,negative,1
仇,criticize,批判指责,disgust,negative,1
伪,criticize,批判指责,disgust,negative,1
低,criticize,批判指责,disgust,negative,1
侈,criticize,批判指责,disgust,negative,1
俗,criticize,批判指责,disgust,negative,1
俚,criticize,批判指责,disgust,negative,1
倦,criticize,批判指责,disgust,negative,1
倾,criticize,批判指责,disgust,negative,1
假,criticize,批判指责,disgust,negative,1
偷,criticize,批判指责,disgust,negative,1
傲,criticize,批判指责,disgust,negative,1
傻,criticize,批判指责,disgust,negative,1
僵,criticize,批判指责,disgust,negative,1
僻,criticize,批判指责,disgust,negative,1
冒,criticize,批判指责,disgust,negative,1
冗,criticize,批判指责,disgust,negative,1
刁,criticize,批判指责,disgust,negative,1
刍,criticize,批判指责,disgust,negative,1
剌,criticize,批判指责,disgust,negative,1
劣,criticize,批判指责,disgust,negative,1
单,criticize,批判指责,disgust,negative,1
卮,criticize,批判指责,disgust,negative,1
厉,criticize,批判指责,disgust,negative,1
反,criticize,批判指责,disgust,negative,1
叱,criticize,批判指责,disgust,negative,1
否,criticize,批判指责,disgust,negative,1
呆,criticize,批判指责,disgust,negative,1
喧,criticize,批判指责,disgust,negative,1
嘈,criticize,批判指责,disgust,negative,1
嘎,criticize,批判指责,disgust,negative,1
嘘,criticize,批判指责,disgust,negative,1
图,criticize,批判指责,disgust,negative,1
圆,criticize,批判指责,disgust,negative,1
土,criticize,批判指责,disgust,negative,1
坏,criticize,批判指责,disgust,negative,1
坡,criticize,批判指责,disgust,negative,1
垢,criticize,批判指责,disgust,negative,1
堙,criticize,批判指责,disgust,negative,1
堵,criticize,批判指责,disgust,negative,1
墨,criticize,批判指责,disgust,negative,1
奢,criticize,批判指责,disgust,negative,1
奸,criticize,批判指责,disgust,negative,1
妄,criticize,批判指责,disgust,negative,1
妖,criticize,批判指责,disgust,negative,1
威,criticize,批判指责,disgust,negative,1
娄,criticize,批判指责,disgust,negative,1
媸,criticize,批判指责,disgust,negative,1
嫩,criticize,批判指责,disgust,negative,1
孱,criticize,批判指责,disgust,negative,1
宰,criticize,批判指责,disgust,negative,1
害,criticize,批判指责,disgust,negative,1
寡,criticize,批判指责,disgust,negative,1
崒,criticize,批判指责,disgust,negative,1
差,criticize,批判指责,disgust,negative,1
干,criticize,批判指责,disgust,negative,1
幻,criticize,批判指责,disgust,negative,1
庸,criticize,批判指责,disgust,negative,1
弱,criticize,批判指责,disgust,negative,1
徒,criticize,批判指责,disgust,negative,1
忧,criticize,批判指责,disgust,negative,1
怨,criticize,批判指责,disgust,negative,1
怪,criticize,批判指责,disgust,negative,1
怯,criticize,批判指责,disgust,negative,1
恣,criticize,批判指责,disgust,negative,1
恨,criticize,批判指责,disgust,negative,1
恶,criticize,批判指责,disgust,negative,1
悖,criticize,批判指责,disgust,negative,1
悬,criticize,批判指责,disgust,negative,1
惮,criticize,批判指责,disgust,negative,1
惰,criticize,批判指责,disgust,negative,1
愚,criticize,批判指责,disgust,negative,1
懒,criticize,批判指责,disgust,negative,1
懦,criticize,批判指责,disgust,negative,1
懵,criticize,批判指责,disgust,negative,1
戆,criticize,批判指责,disgust,negative,1
打,criticize,批判指责,disgust,negative,1
拗,criticize,批判指责,disgust,negative,1
拘,criticize,批判指责,disgust,negative,1
拙,criticize,批判指责,disgust,negative,1
挤,criticize,批判指责,disgust,negative,1
损,criticize,批判指责,disgust,negative,1
撺,criticize,批判指责,disgust,negative,1
敞,criticize,批判指责,disgust,negative,1
散,criticize,批判指责,disgust,negative,1
斜,criticize,批判指责,disgust,negative,1
旧,criticize,批判指责,disgust,negative,1
昏,criticize,批判指责,disgust,negative,1
晦,criticize,批判指责,disgust,negative,1
暗,criticize,批判指责,disgust,negative,1
暧,criticize,批判指责,disgust,negative,1
暴,criticize,批判指责,disgust,negative,1
朦,criticize,批判指责,disgust,negative,1
杂,criticize,批判指责,disgust,negative,1
枉,criticize,批判指责,disgust,negative,1
桀,criticize,批判指责,disgust,negative,1
森,criticize,批判指责,disgust,negative,1
横,criticize,批判指责,disgust,negative,1
次,criticize,批判指责,disgust,negative,1
歪,criticize,批判指责,disgust,negative,1
歹,criticize,批判指责,disgust,negative,1
毒,criticize,批判指责,disgust,negative,1
毛,criticize,批判指责,disgust,negative,1
气,criticize,批判指责,disgust,negative,1
污,criticize,批判指责,disgust,negative,1
沓,criticize,批判指责,disgust,negative,1
油,criticize,批判指责,disgust,negative,1
泛,criticize,批判指责,disgust,negative,1
泼,criticize,批判指责,disgust,negative,1
浊,criticize,批判指责,disgust,negative,1
浑,criticize,批判指责,disgust,negative,1
浮,criticize,批判指责,disgust,negative,1
涩,criticize,批判指责,disgust,negative,1
淘,criticize,批判指责,disgust,negative,1
淡,criticize,批判指责,disgust,negative,1
淫,criticize,批判指责,disgust,negative,1
混,criticize,批判指责,disgust,negative,1
渺,criticize,批判指责,disgust,negative,1
滥,criticize,批判指责,disgust,negative,1
漫,criticize,批判指责,disgust,negative,1
潜,criticize,批判指责,disgust,negative,1
潮,criticize,批判指责,disgust,negative,1
激,criticize,批判指责,disgust,negative,1
炸,criticize,批判指责,disgust,negative,1
烂,criticize,批判指责,disgust,negative,1
熊,criticize,批判指责,disgust,negative,1
牛,criticize,批判指责,disgust,negative,1
犷,criticize,批判指责,disgust,negative,1
狂,criticize,批判指责,disgust,negative,1
狃,criticize,批判指责,disgust,negative,1
狎,criticize,批判指责,disgust,negative,1
狙,criticize,批判指责,disgust,negative,1
狡,criticize,批判指责,disgust,negative,1
狯,criticize,批判指责,disgust,negative,1
猥,criticize,批判指责,disgust,negative,1
猴,criticize,批判指责,disgust,negative,1
猾,criticize,批判指责,disgust,negative,1
琐,criticize,批判指责,disgust,negative,1
病,criticize,批判指责,disgust,negative,1
瘦,criticize,批判指责,disgust,negative,1
皱,criticize,批判指责,disgust,negative,1
瞀,criticize,批判指责,disgust,negative,1
瞎,criticize,批判指责,disgust,negative,1
瞽,criticize,批判指责,disgust,negative,1
矮,criticize,批判指责,disgust,negative,1
破,criticize,批判指责,disgust,negative,1
碌,criticize,批判指责,disgust,negative,1
碎,criticize,批判指责,disgust,negative,1
私,criticize,批判指责,disgust,negative,1
秃,criticize,批判指责,disgust,negative,1
秘,criticize,批判指责,disgust,negative,1
秽,criticize,批判指责,disgust,negative,1
穷,criticize,批判指责,disgust,negative,1
空,criticize,批判指责,disgust,negative,1
窃,criticize,批判指责,disgust,negative,1
窄,criticize,批判指责,disgust,negative,1
窭,criticize,批判指责,disgust,negative,1
笨,criticize,批判指责,disgust,negative,1
粗,criticize,批判指责,disgust,negative,1
糜,criticize,批判指责,disgust,negative,1
糟,criticize,批判指责,disgust,negative,1
糠,criticize,批判指责,disgust,negative,1
紊,criticize,批判指责,disgust,negative,1
索,criticize,批判指责,disgust,negative,1
絮,criticize,批判指责,disgust,negative,1
纷,criticize,批判指责,disgust,negative,1
缺,criticize,批判指责,disgust,negative,1
老,criticize,批判指责,disgust,negative,1
耽,criticize,批判指责,disgust,negative,1
聒,criticize,批判指责,disgust,negative,1
肆,criticize,批判指责,disgust,negative,1
肉,criticize,批判指责,disgust,negative,1
胡,criticize,批判指责,disgust,negative,1
脏,criticize,批判指责,disgust,negative,1
腥,criticize,批判指责,disgust,negative,1
膻,criticize,批判指责,disgust,negative,1
臆,criticize,批判指责,disgust,negative,1
臊,criticize,批判指责,disgust,negative,1
臭,criticize,批判指责,disgust,negative,1
苛,criticize,批判指责,disgust,negative,1
苴,criticize,批判指责,disgust,negative,1
荡,criticize,批判指责,disgust,negative,1
荫,criticize,批判指责,disgust,negative,1
莽,criticize,批判指责,disgust,negative,1
萧,criticize,批判指责,disgust,negative,1
薄,criticize,批判指责,disgust,negative,1
虐,criticize,批判指责,disgust,negative,1
虚,criticize,批判指责,disgust,negative,1
蚩,criticize,批判指责,disgust,negative,1
蛮,criticize,批判指责,disgust,negative,1
衍,criticize,批判指责,disgust,negative,1
褊,criticize,批判指责,disgust,negative,1
触,criticize,批判指责,disgust,negative,1
讷,criticize,批判指责,disgust,negative,1
讹,criticize,批判指责,disgust,negative,1
诎,criticize,批判指责,disgust,negative,1
诞,criticize,批判指责,disgust,negative,1
诡,criticize,批判指责,disgust,negative,1
谎,criticize,批判指责,disgust,negative,1
谩,criticize,批判指责,disgust,negative,1
谬,criticize,批判指责,disgust,negative,1
谲,criticize,批判指责,disgust,negative,1
负,criticize,批判指责,disgust,negative,1
贫,criticize,批判指责,disgust,negative,1
费,criticize,批判指责,disgust,negative,1
贼,criticize,批判指责,disgust,negative,1
赖,criticize,批判指责,disgust,negative,1
赘,criticize,批判指责,disgust,negative,1
蹇,criticize,批判指责,disgust,negative,1
躁,criticize,批判指责,disgust,negative,1
轧,criticize,批判指责,disgust,negative,1
辣,criticize,批判指责,disgust,negative,1
迂,criticize,批判指责,disgust,negative,1
邪,criticize,批判指责,disgust,negative,1
鄙,criticize,批判指责,disgust,negative,1
酥,criticize,批判指责,disgust,negative,1
野,criticize,批判指责,disgust,negative,1
钝,criticize,批判指责,disgust,negative,1
错,criticize,批判指责,disgust,negative,1
闷,criticize,批判指责,disgust,negative,1
闹,criticize,批判指责,disgust,negative,1
阴,criticize,批判指责,disgust,negative,1
非,criticize,批判指责,disgust,negative,1
顽,criticize,批判指责,disgust,negative,1
颛,criticize,批判指责,disgust,negative,1
馀,criticize,批判指责,disgust,negative,1
骂,criticize,批判指责,disgust,negative,1
骄,criticize,批判指责,disgust,negative,1
骗,criticize,批判指责,disgust,negative,1
骚,criticize,批判指责,disgust,negative,1
鲁,criticize,批判指责,disgust,negative,1
鸷,criticize,批判指责,disgust,negative,1
麻,criticize,批判指责,disgust,negative,1
黑,criticize,批判指责,disgust,negative,1
鼓,criticize,批判指责,disgust,negative,1
不可捉摸,misgive,忧虑疑惑,disgust,negative,4
不大可能,misgive,忧虑疑惑,disgust,negative,4
不得所欲,misgive,忧虑疑惑,disgust,negative,4
众说纷纭,misgive,忧虑疑惑,disgust,negative,4
变化不定,misgive,忧虑疑惑,disgust,negative,4
将信将疑,misgive,忧虑疑惑,disgust,negative,4
无可捉摸,misgive,忧虑疑惑,disgust,negative,4
犹疑不决,misgive,忧虑疑惑,disgust,negative,4
自我解嘲,misgive,忧虑疑惑,disgust,negative,4
若隐若现,misgive,忧虑疑惑,disgust,negative,4
迟疑不决,misgive,忧虑疑惑,disgust,negative,4
迷离恍惚,misgive,忧虑疑惑,disgust,negative,4
迷离惝恍,misgive,忧虑疑惑,disgust,negative,4
追根溯源,misgive,忧虑疑惑,disgust,negative,4
不信任,misgive,忧虑疑惑,disgust,negative,3
不可能,misgive,忧虑疑惑,disgust,negative,3
不可靠,misgive,忧虑疑惑,disgust,negative,3
不明确,misgive,忧虑疑惑,disgust,negative,3
不满足,misgive,忧虑疑惑,disgust,negative,3
不确定,misgive,忧虑疑惑,disgust,negative,3
不见得,misgive,忧虑疑惑,disgust,negative,3
得不到,misgive,忧虑疑惑,disgust,negative,3
用不着,misgive,忧虑疑惑,disgust,negative,3
说不定,misgive,忧虑疑惑,disgust,negative,3
靠不住,misgive,忧虑疑惑,disgust,negative,3
不了,misgive,忧虑疑惑,disgust,negative,2
不休,misgive,忧虑疑惑,disgust,negative,2
不保,misgive,忧虑疑惑,disgust,negative,2
不信,misgive,忧虑疑惑,disgust,negative,2
不克,misgive,忧虑疑惑,disgust,negative,2
不出,misgive,忧虑疑惑,disgust,negative,2
不加,misgive,忧虑疑惑,disgust,negative,2
不啻,misgive,忧虑疑惑,disgust,negative,2
不够,misgive,忧虑疑惑,disgust,negative,2
不守,misgive,忧虑疑惑,disgust,negative,2
不定,misgive,忧虑疑惑,disgust,negative,2
不措,misgive,忧虑疑惑,disgust,negative,2
不敷,misgive,忧虑疑惑,disgust,negative,2
不是,misgive,忧虑疑惑,disgust,negative,2
不肯,misgive,忧虑疑惑,disgust,negative,2
不舒,misgive,忧虑疑惑,disgust,negative,2
不许,misgive,忧虑疑惑,disgust,negative,2
不负,misgive,忧虑疑惑,disgust,negative,2
不近,misgive,忧虑疑惑,disgust,negative,2
出没,misgive,忧虑疑惑,disgust,negative,2
别是,misgive,忧虑疑惑,disgust,negative,2
动摇,misgive,忧虑疑惑,disgust,negative,2
可疑,misgive,忧虑疑惑,disgust,negative,2
多心,misgive,忧虑疑惑,disgust,negative,2
嫌疑,misgive,忧虑疑惑,disgust,negative,2
岂非,misgive,忧虑疑惑,disgust,negative,2
怀疑,misgive,忧虑疑惑,disgust,negative,2
扣住,misgive,忧虑疑惑,disgust,negative,2
是假,misgive,忧虑疑惑,disgust,negative,2
是真,misgive,忧虑疑惑,disgust,negative,2
暧暧,misgive,忧虑疑惑,disgust,negative,2
未必,misgive,忧虑疑惑,disgust,negative,2
机心,misgive,忧虑疑惑,disgust,negative,2
潜藏,misgive,忧虑疑惑,disgust,negative,2
狐疑,misgive,忧虑疑惑,disgust,negative,2
猜忌,misgive,忧虑疑惑,disgust,negative,2
生疑,misgive,忧虑疑惑,disgust,negative,2
疑义,misgive,忧虑疑惑,disgust,negative,2
疑团,misgive,忧虑疑惑,disgust,negative,2
疑心,misgive,忧虑疑惑,disgust,negative,2
疑忌,misgive,忧虑疑惑,disgust,negative,2
疑惑,misgive,忧虑疑惑,disgust,negative,2
疑有,misgive,忧虑疑惑,disgust,negative,2
疑窦,misgive,忧虑疑惑,disgust,negative,2
疑问,misgive,忧虑疑惑,disgust,negative,2
的非,misgive,忧虑疑惑,disgust,negative,2
莫能,misgive,忧虑疑惑,disgust,negative,2
质疑,misgive,忧虑疑惑,disgust,negative,2
质问,misgive,忧虑疑惑,disgust,negative,2
辩驳,misgive,忧虑疑惑,disgust,negative,2
迟疑,misgive,忧虑疑惑,disgust,negative,2
追踪,misgive,忧虑疑惑,disgust,negative,2
问号,misgive,忧虑疑惑,disgust,negative,2
隐约,misgive,忧虑疑惑,disgust,negative,2
悱,misgive,忧虑疑惑,disgust,negative,1
无可无不可,vexed,烦恼苦闷,disgust,negative,5
无聊的想法,vexed,烦恼苦闷,disgust,negative,5
郁郁不得志,vexed,烦恼苦闷,disgust,negative,5
一波三折,vexed,烦恼苦闷,disgust,negative,4
一筹莫展,vexed,烦恼苦闷,disgust,negative,4
一言难尽,vexed,烦恼苦闷,disgust,negative,4
不可逾越,vexed,烦恼苦闷,disgust,negative,4
不明不白,vexed,烦恼苦闷,disgust,negative,4
不知所云,vexed,烦恼苦闷,disgust,negative,4
不知所从,vexed,烦恼苦闷,disgust,negative,4
与时俱没,vexed,烦恼苦闷,disgust,negative,4
东奔西走,vexed,烦恼苦闷,disgust,negative,4
主要矛盾,vexed,烦恼苦闷,disgust,negative,4
人生苦短,vexed,烦恼苦闷,disgust,negative,4
令人神伤,vexed,烦恼苦闷,disgust,negative,4
作嫁衣裳,vexed,烦恼苦闷,disgust,negative,4
借酒浇愁,vexed,烦恼苦闷,disgust,negative,4
入不敷出,vexed,烦恼苦闷,disgust,negative,4
兵连祸结,vexed,烦恼苦闷,disgust,negative,4
内外交困,vexed,烦恼苦闷,disgust,negative,4
力不从心,vexed,烦恼苦闷,disgust,negative,4
动辄得咎,vexed,烦恼苦闷,disgust,negative,4
千叮万嘱,vexed,烦恼苦闷,disgust,negative,4
千篇一律,vexed,烦恼苦闷,disgust,negative,4
千言万语,vexed,烦恼苦闷,disgust,negative,4
口口声声,vexed,烦恼苦闷,disgust,negative,4
哭笑不得,vexed,烦恼苦闷,disgust,negative,4
坐立不安,vexed,烦恼苦闷,disgust,negative,4
壁垒森严,vexed,烦恼苦闷,disgust,negative,4
壮志未酬,vexed,烦恼苦闷,disgust,negative,4
多事之秋,vexed,烦恼苦闷,disgust,negative,4
夜不成寐,vexed,烦恼苦闷,disgust,negative,4
天旋地转,vexed,烦恼苦闷,disgust,negative,4
天昏地暗,vexed,烦恼苦闷,disgust,negative,4
天昏日暗,vexed,烦恼苦闷,disgust,negative,4
好不容易,vexed,烦恼苦闷,disgust,negative,4
好梦难成,vexed,烦恼苦闷,disgust,negative,4
如坐针毡,vexed,烦恼苦闷,disgust,negative,4
宦海浮沉,vexed,烦恼苦闷,disgust,negative,4
容易接受,vexed,烦恼苦闷,disgust,negative,4
寝食不安,vexed,烦恼苦闷,disgust,negative,4
寸步难行,vexed,烦恼苦闷,disgust,negative,4
山重水复,vexed,烦恼苦闷,disgust,negative,4
左右为难,vexed,烦恼苦闷,disgust,negative,4
平心而论,vexed,烦恼苦闷,disgust,negative,4
年华易逝,vexed,烦恼苦闷,disgust,negative,4
应接不暇,vexed,烦恼苦闷,disgust,negative,4
度日如年,vexed,烦恼苦闷,disgust,negative,4
异口同声,vexed,烦恼苦闷,disgust,negative,4
心乱如麻,vexed,烦恼苦闷,disgust,negative,4
心事重重,vexed,烦恼苦闷,disgust,negative,4
心如火焚,vexed,烦恼苦闷,disgust,negative,4
心无所虑,vexed,烦恼苦闷,disgust,negative,4
心烦意乱,vexed,烦恼苦闷,disgust,negative,4
心绪不宁,vexed,烦恼苦闷,disgust,negative,4
忍气吞声,vexed,烦恼苦闷,disgust,negative,4
忧心如焚,vexed,烦恼苦闷,disgust,negative,4
忧心忡忡,vexed,烦恼苦闷,disgust,negative,4
怅惘若失,vexed,烦恼苦闷,disgust,negative,4
怅然若失,vexed,烦恼苦闷,disgust,negative,4
情不由己,vexed,烦恼苦闷,disgust,negative,4
惴惴不安,vexed,烦恼苦闷,disgust,negative,4
愁容满面,vexed,烦恼苦闷,disgust,negative,4
愁眉锁眼,vexed,烦恼苦闷,disgust,negative,4
愁肠寸断,vexed,烦恼苦闷,disgust,negative,4
愁肠百结,vexed,烦恼苦闷,disgust,negative,4
扑朔迷离,vexed,烦恼苦闷,disgust,negative,4
扪参历井,vexed,烦恼苦闷,disgust,negative,4
承受不住,vexed,烦恼苦闷,disgust,negative,4
抑郁不平,vexed,烦恼苦闷,disgust,negative,4
抑郁不畅,vexed,烦恼苦闷,disgust,negative,4
摆脱不了,vexed,烦恼苦闷,disgust,negative,4
无可如何,vexed,烦恼苦闷,disgust,negative,4
无地自容,vexed,烦恼苦闷,disgust,negative,4
无计可施,vexed,烦恼苦闷,disgust,negative,4
时不我与,vexed,烦恼苦闷,disgust,negative,4
时光易逝,vexed,烦恼苦闷,disgust,negative,4
昏昏欲睡,vexed,烦恼苦闷,disgust,negative,4
暮色苍茫,vexed,烦恼苦闷,disgust,negative,4
暮色茫茫,vexed,烦恼苦闷,disgust,negative,4
曲曲折折,vexed,烦恼苦闷,disgust,negative,4
有志难酬,vexed,烦恼苦闷,disgust,negative,4
朦朦胧胧,vexed,烦恼苦闷,disgust,negative,4
束手无策,vexed,烦恼苦闷,disgust,negative,4
枯燥乏味,vexed,烦恼苦闷,disgust,negative,4
柔肠百结,vexed,烦恼苦闷,disgust,negative,4
欲罢难休,vexed,烦恼苦闷,disgust,negative,4
没精打彩,vexed,烦恼苦闷,disgust,negative,4
深受感染,vexed,烦恼苦闷,disgust,negative,4
滔滔不绝,vexed,烦恼苦闷,disgust,negative,4
漫无目的,vexed,烦恼苦闷,disgust,negative,4
烂醉如泥,vexed,烦恼苦闷,disgust,negative,4
焦灼如焚,vexed,烦恼苦闷,disgust,negative,4
煞费苦心,vexed,烦恼苦闷,disgust,negative,4
百无聊奈,vexed,烦恼苦闷,disgust,negative,4
百无聊赖,vexed,烦恼苦闷,disgust,negative,4
目迷五色,vexed,烦恼苦闷,disgust,negative,4
知人论世,vexed,烦恼苦闷,disgust,negative,4
离愁别恨,vexed,烦恼苦闷,disgust,negative,4
离愁别苦,vexed,烦恼苦闷,disgust,negative,4
空手而归,vexed,烦恼苦闷,disgust,negative,4
空虚渺茫,vexed,烦恼苦闷,disgust,negative,4
索然无味,vexed,烦恼苦闷,disgust,negative,4
绞尽脑汁,vexed,烦恼苦闷,disgust,negative,4
缠绵悱恻,vexed,烦恼苦闷,disgust,negative,4
羊肠小道,vexed,烦恼苦闷,disgust,negative,4
自顾不暇,vexed,烦恼苦闷,disgust,negative,4
艰难险阻,vexed,烦恼苦闷,disgust,negative,4
若有所失,vexed,烦恼苦闷,disgust,negative,4
苦心经营,vexed,烦恼苦闷,disgust,negative,4
虚掷光阴,vexed,烦恼苦闷,disgust,negative,4
街谈巷议,vexed,烦恼苦闷,disgust,negative,4
语焉不详,vexed,烦恼苦闷,disgust,negative,4
走头无路,vexed,烦恼苦闷,disgust,negative,4
走投无路,vexed,烦恼苦闷,disgust,negative,4
跋山涉水,vexed,烦恼苦闷,disgust,negative,4
辗转反侧,vexed,烦恼苦闷,disgust,negative,4
进退两难,vexed,烦恼苦闷,disgust,negative,4
进退失据,vexed,烦恼苦闷,disgust,negative,4
进退无所,vexed,烦恼苦闷,disgust,negative,4
进退维谷,vexed,烦恼苦闷,disgust,negative,4
迥然而异,vexed,烦恼苦闷,disgust,negative,4
迷离扑朔,vexed,烦恼苦闷,disgust,negative,4
迷离朦胧,vexed,烦恼苦闷,disgust,negative,4
迷迷茫茫,vexed,烦恼苦闷,disgust,negative,4
迷迷蒙蒙,vexed,烦恼苦闷,disgust,negative,4
逆水行舟,vexed,烦恼苦闷,disgust,negative,4
错综复杂,vexed,烦恼苦闷,disgust,negative,4
难上加难,vexed,烦恼苦闷,disgust,negative,4
难以捉摸,vexed,烦恼苦闷,disgust,negative,4
雨淋日炙,vexed,烦恼苦闷,disgust,negative,4
风尘仆仆,vexed,烦恼苦闷,disgust,negative,4
风餐露宿,vexed,烦恼苦闷,disgust,negative,4
骨鲠在喉,vexed,烦恼苦闷,disgust,negative,4
不失意,vexed,烦恼苦闷,disgust,negative,3
不奈何,vexed,烦恼苦闷,disgust,negative,3
不好过,vexed,烦恼苦闷,disgust,negative,3
不容易,vexed,烦恼苦闷,disgust,negative,3
不宽裕,vexed,烦恼苦闷,disgust,negative,3
不平静,vexed,烦恼苦闷,disgust,negative,3
不得已,vexed,烦恼苦闷,disgust,negative,3
不愉快,vexed,烦恼苦闷,disgust,negative,3
不明了,vexed,烦恼苦闷,disgust,negative,3
不甘心,vexed,烦恼苦闷,disgust,negative,3
不称心,vexed,烦恼苦闷,disgust,negative,3
不轻松,vexed,烦恼苦闷,disgust,negative,3
不顺利,vexed,烦恼苦闷,disgust,negative,3
倒不如,vexed,烦恼苦闷,disgust,negative,3
动不动,vexed,烦恼苦闷,disgust,negative,3
受不了,vexed,烦恼苦闷,disgust,negative,3
受不住,vexed,烦恼苦闷,disgust,negative,3
受够了,vexed,烦恼苦闷,disgust,negative,3
受害者,vexed,烦恼苦闷,disgust,negative,3
受挫折,vexed,烦恼苦闷,disgust,negative,3
受损害,vexed,烦恼苦闷,disgust,negative,3
受难者,vexed,烦恼苦闷,disgust,negative,3
大不了,vexed,烦恼苦闷,disgust,negative,3
好容易,vexed,烦恼苦闷,disgust,negative,3
容不得,vexed,烦恼苦闷,disgust,negative,3
恨不得,vexed,烦恼苦闷,disgust,negative,3
恨不能,vexed,烦恼苦闷,disgust,negative,3
情绪高,vexed,烦恼苦闷,disgust,negative,3
摆脱了,vexed,烦恼苦闷,disgust,negative,3
无条件,vexed,烦恼苦闷,disgust,negative,3
未指明,vexed,烦恼苦闷,disgust,negative,3
