ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
183,22,樱桃花,二月,宋,陆游,海棠歌,"[[""海棠"", 0.7515], [""芍药"", 0.289], [""艳妆"", 0.273], [""扬州"", 0.2419], [""颜色"", 0.2419], [""杜鹃"", 0.2419], [""风雨"", 0.2419], [""桃李"", 0.2076]]",海棠、芍药、艳妆、扬州、颜色
185,23,樱桃花,二月,宋,郭稹,海 棠,"[[""至今"", 0.4807], [""更加"", 0.4807], [""深意"", 0.4541], [""风光"", 0.4335], [""东君"", 0.3792]]",至今、更加、深意、风光、东君
187,24,樱桃花,二月,宋,刘子,海棠,"[[""至今"", 0.4312], [""不成"", 0.4074], [""惆帐"", 0.3738], [""风流"", 0.3738], [""开时"", 0.361], [""幽姿"", 0.35], [""胭脂"", 0.3402]]",至今、不成、惆帐、风流、开时
211,25,樱桃花,二月,金,蔡松年,黄海棠,"[[""冰雪"", 1.0]]",冰雪
218,26,樱桃花,二月,宋,李清照,如梦令,"[[""知否"", 0.9089], [""海棠"", 0.417]]",知否、海棠
224,27,樱桃花,二月,宋,吴文英,宴清都,"[[""长恨"", 0.4653], [""睡足"", 0.4653], [""冷落"", 0.4196], [""鸳鸯"", 0.4033], [""人间"", 0.3414], [""东风"", 0.3342]]",长恨、睡足、冷落、鸳鸯、人间
221,28,樱桃花,二月,宋,李鹰,南乡子,"[[""飞仙"", 0.7071], [""苏轼"", 0.7071]]",飞仙、苏轼
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,"[[""老子"", 0.5003], [""残红"", 0.4726], [""枝头"", 0.4189], [""无情"", 0.4189], [""杜鹃"", 0.4189]]",老子、残红、枝头、无情、杜鹃
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,"[[""风韵"", 0.357], [""石湖"", 0.357], [""青苔"", 0.357], [""霜点"", 0.357], [""飞仙"", 0.357], [""岑寂"", 0.3373], [""倾城"", 0.322], [""胭脂"", 0.2817], [""东风"", 0.2565]]",风韵、石湖、青苔、霜点、飞仙
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,"[[""风力"", 0.615], [""蜜蜂"", 0.581], [""细雨"", 0.5331]]",风力、蜜蜂、细雨
227,32,桃花,二月,唐,李咸用,绯桃花歌,"[[""桃花"", 0.6207], [""事物"", 0.3901], [""形象"", 0.3901], [""盛开"", 0.1862], [""东风"", 0.1483], [""幽谷"", 0.1376], [""比兴"", 0.1376], [""更加"", 0.1376], [""芳菲"", 0.13], [""鲜明"", 0.13], [""人们"", 0.13], [""冷落"", 0.1241], [""牡丹"", 0.1193], [""无情"", 0.1152], [""造化"", 0.0688], [""比较"", 0.0688], [""百花"", 0.0688], [""直接"", 0.0688], [""突出"", 0.0688], [""美好"", 0.0688]]",桃花、事物、形象、盛开、东风
219,33,樱桃花,二月,宋,吴潜,如梦令,"[[""故园"", 1.0]]",故园
495,34,杨花,三月,唐,刘禹锡,柳花词三首,"[[""青春"", 0.5508], [""香风"", 0.5203], [""无限"", 0.4967], [""多情"", 0.4234]]",青春、香风、无限、多情
406,35,牡丹,三月,宋,王沂孙,水龙吟,"[[""真妃"", 0.4574], [""流水"", 0.4125], [""幽人"", 0.4125], [""牡丹"", 0.3965], [""杜鹃"", 0.3829], [""春色"", 0.3829]]",真妃、流水、幽人、牡丹、杜鹃
481,36,虞美人,三月,元,张翥,喜迁莺,"[[""脂粉"", 0.4129], [""相近"", 0.4129], [""芳菲"", 0.3901], [""数枝"", 0.3901], [""后土"", 0.3724], [""伫立"", 0.3579], [""东风"", 0.2966]]",脂粉、相近、芳菲、数枝、后土
388,37,牡丹,三月,唐,白居易,惜牡丹花,"[[""惆帐"", 1.0]]",惆帐
369,38,牡丹,三月,唐,李商隐,牡 丹,"[[""花叶"", 1.0]]",花叶
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,"[[""风格"", 0.5378], [""不敢"", 0.5081], [""倾城"", 0.485], [""牡丹"", 0.4662]]",风格、不敢、倾城、牡丹
470,40,金沙,三月,宋,杨万里,金沙花,[],
465,41,蔷薇,三月,宋,曹達,玲珑四犯,"[[""琼楼"", 0.4018], [""幽芳"", 0.4018], [""风格"", 0.4018], [""铅华"", 0.3796], [""独占"", 0.3796], [""牡丹"", 0.3483], [""梅花"", 0.3261]]",琼楼、幽芳、风格、铅华、独占
505,42,杨花,三月,清,曹雪芹,如梦,"[[""纤手"", 1.0]]",纤手
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,"[[""琼花"", 0.5111], [""后土"", 0.4609], [""清香"", 0.443], [""扬州"", 0.4279], [""不知"", 0.3835]]",琼花、后土、清香、扬州、不知
466,44,蔷薇,三月,宋,刘克庄,贺新郎,"[[""茉莉"", 0.4086], [""香薰"", 0.4086], [""怜惜"", 0.386], [""烛光"", 0.386], [""花神"", 0.3542], [""相逢"", 0.3542], [""开时"", 0.3421]]",茉莉、香薰、怜惜、烛光、花神
440,45,蔷薇,三月,宋,周邦彦,六 丑,"[[""长条"", 0.3975], [""何在"", 0.3755], [""岑寂"", 0.3755], [""倾国"", 0.3755], [""相思"", 0.3328], [""风雨"", 0.3328], [""叹息"", 0.3226], [""多情"", 0.3055]]",长条、何在、岑寂、倾国、相思
479,46,虞美人,三月,宋,赵以夫,扬州慢,"[[""不同"", 0.5615], [""琼花"", 0.4457], [""扬州"", 0.3732], [""结子"", 0.2972], [""风景"", 0.1486], [""肌骨"", 0.1486], [""琼楼"", 0.1486], [""阆苑"", 0.1486], [""数枝"", 0.1404], [""群芳"", 0.134], [""后土"", 0.134], [""冷落"", 0.134], [""烟水"", 0.134], [""精神"", 0.134], [""风流"", 0.1288], [""花神"", 0.1288], [""伫立"", 0.1288], [""春风"", 0.1046]]",不同、琼花、扬州、结子、风景
421,47,兰花,三月,清,秋瑾,兰 花,[],
512,48,杨花,三月,宋,周密,声声慢,"[[""青青"", 0.5121], [""最怜"", 0.4838], [""点点"", 0.4619], [""多情"", 0.3937], [""东风"", 0.3679]]",青青、最怜、点点、多情、东风
515,49,杨花,三月,宋,苏轼,水龙吟,"[[""随风"", 0.3942], [""何在"", 0.3724], [""却是"", 0.3724], [""流水"", 0.3555], [""点点"", 0.3555], [""春色"", 0.33], [""无情"", 0.33], [""无人"", 0.311]]",随风、何在、却是、流水、点点
516,50,杨花,三月,明,赵南星,水龙吟,[],
521,51,木棉花,三月,清,陈恭尹,木棉花歌,"[[""英雄"", 0.7426], [""群芳"", 0.6697]]",英雄、群芳
343,52,素馨,四月,宋,刘镇,念奴娇,"[[""肌骨"", 0.3333], [""何在"", 0.3149], [""风味"", 0.3149], [""徘徊"", 0.3149], [""向晚"", 0.3149], [""如许"", 0.3006], [""儿女"", 0.3006], [""精神"", 0.3006], [""花神"", 0.2889], [""开时"", 0.2791], [""人间"", 0.2445]]",肌骨、何在、风味、徘徊、向晚
346,53,木兰,四月,宋,刘,木 兰,"[[""茉莉"", 0.3804], [""蔷薇"", 0.3804], [""蛾眉"", 0.3804], [""铅华"", 0.3594], [""新妆"", 0.3431], [""荷花"", 0.3298], [""相对"", 0.3298], [""不见"", 0.3185]]",茉莉、蔷薇、蛾眉、铅华、新妆
345,54,剪春罗,四月,清,秋瑾,剪春罗,"[[""春风"", 1.0]]",春风
339,55,绣球,四月,明,张新,绣 球,"[[""玲珑"", 0.5985], [""醉眼"", 0.4603], [""花色"", 0.2302], [""醉人"", 0.2302], [""团团"", 0.2174], [""无端"", 0.2076], [""显得"", 0.2076], [""不可"", 0.2076], [""花神"", 0.1995], [""风流"", 0.1995], [""开花"", 0.1868], [""东君"", 0.1816]]",玲珑、醉眼、花色、醉人、团团
329,56,月季,四月,宋,杨万里,腊前月季,"[[""翡翠"", 0.5944], [""胭脂"", 0.4963], [""桃李"", 0.4519], [""春风"", 0.4429]]",翡翠、胭脂、桃李、春风
327,57,玉兰,四月,清,陈维崧,东风第一枝,"[[""风光"", 0.4163], [""相伴"", 0.4163], [""无限"", 0.4163], [""玲珑"", 0.4001], [""亭亭"", 0.4001], [""细雨"", 0.4001]]",风光、相伴、无限、玲珑、亭亭
321,58,李花,四月,元,郑韶,梨 花,"[[""相思"", 0.7278], [""江南"", 0.6858]]",相思、江南
228,59,桃花,四月,明,赵福元,桃 花,"[[""神仙"", 0.3572], [""青帝"", 0.3572], [""香风"", 0.3375], [""翡翠"", 0.3375], [""无力"", 0.3375], [""蓬莱"", 0.3375], [""流水"", 0.3222], [""武陵"", 0.3097], [""可怜"", 0.2991]]",神仙、青帝、香风、翡翠、无力
291,60,杏花,四月,明,陈子龙,画堂春,"[[""零乱"", 0.7765], [""寂寞"", 0.6301]]",零乱、寂寞
259,61,桃花,四月,宋,贺铸,定风波,"[[""结子"", 0.4231], [""无奈"", 0.3998], [""流水"", 0.3816], [""相映"", 0.3816], [""武陵"", 0.3668], [""芳心"", 0.3668], [""不知"", 0.3175]]",结子、无奈、流水、相映、武陵
260,62,桃花,四月,宋,王沂孙,露 华,"[[""伫立"", 0.7193], [""颜色"", 0.6947]]",伫立、颜色
266,63,杏花,四月,宋,王安石,杏‘ 花,[],
255,64,桃花,四月,明,陈宪章,潘岳爱桃,"[[""桃花"", 1.0]]",桃花
268,65,杏花,四月,唐,韩愈,杏 花,"[[""邻家"", 0.4761], [""古寺"", 0.4498], [""杏花"", 0.4498], [""草木"", 0.4294], [""不可"", 0.4294]]",邻家、古寺、杏花、草木、不可
286,66,杏花,四月,宋,叶绍翁,游园不值,[],
542,67,芍药,四月,宋,韩元吉,浪淘沙,"[[""芍药"", 0.5443], [""犹记"", 0.5142], [""独占"", 0.5142], [""多情"", 0.4184]]",芍药、犹记、独占、多情
543,68,芍药,四月,宋,卢祖皋,水龙吟,"[[""春梦"", 0.3949], [""烛光"", 0.3949], [""飞来"", 0.3949], [""无奈"", 0.3949], [""风流"", 0.3623], [""杜鹃"", 0.35], [""扬州"", 0.35]]",春梦、烛光、飞来、无奈、风流
