ID,sample_id,花名,月份,朝代,作者,诗名,kmeans_cluster,kmeans_k,kmeans_silhouette
2,1,梅花,正月,南朝梁,鲍泉,咏梅花,2,12,0.1526
154,2,虞美人,正月,宋,刘克庄,沁园春,2,12,0.1526
150,3,虞美人,正月,宋,王沂孙,疏 影,2,12,0.1526
149,4,虞美人,正月,宋,姜夔,疏 影,2,12,0.1526
146,5,虞美人,正月,元,朱晞颜,一尊红,2,12,0.1526
140,6,虞美人,正月,宋,李邴,汉宫春,2,12,0.1526
137,7,虞美人,正月,金,李献能,江梅引,2,12,0.1526
136,8,虞美人,正月,宋,李清照,孤雁儿,2,12,0.1526
135,9,虞美人,正月,宋,强至,渔家傲,2,12,0.1526
127,10,梅花,正月,宋,陆游,朝中措,2,12,0.1526
155,11,虞美人,正月,宋,吴文英,贺新郎,0,12,0.1526
355,12,棠梨花,正月,清,杜文澜,东风第一枝,8,12,0.1526
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,0,12,0.1526
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,2,12,0.1526
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,2,12,0.1526
7,16,梅花,正月,宋,苏轼,再用前韵,2,12,0.1526
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,2,12,0.1526
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,6,12,0.1526
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,6,12,0.1526
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,6,12,0.1526
182,21,樱桃花,二月,宋,陆游,张园海棠,6,12,0.1526
183,22,樱桃花,二月,宋,陆游,海棠歌,6,12,0.1526
185,23,樱桃花,二月,宋,郭稹,海 棠,6,12,0.1526
187,24,樱桃花,二月,宋,刘子,海棠,6,12,0.1526
211,25,樱桃花,二月,金,蔡松年,黄海棠,6,12,0.1526
218,26,樱桃花,二月,宋,李清照,如梦令,6,12,0.1526
224,27,樱桃花,二月,宋,吴文英,宴清都,6,12,0.1526
221,28,樱桃花,二月,宋,李鹰,南乡子,6,12,0.1526
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,6,12,0.1526
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,6,12,0.1526
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,4,12,0.1526
227,32,桃花,二月,唐,李咸用,绯桃花歌,4,12,0.1526
219,33,樱桃花,二月,宋,吴潜,如梦令,6,12,0.1526
495,34,杨花,三月,唐,刘禹锡,柳花词三首,8,12,0.1526
406,35,牡丹,三月,宋,王沂孙,水龙吟,8,12,0.1526
481,36,虞美人,三月,元,张翥,喜迁莺,8,12,0.1526
388,37,牡丹,三月,唐,白居易,惜牡丹花,8,12,0.1526
369,38,牡丹,三月,唐,李商隐,牡 丹,8,12,0.1526
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,8,12,0.1526
470,40,金沙,三月,宋,杨万里,金沙花,8,12,0.1526
465,41,蔷薇,三月,宋,曹達,玲珑四犯,8,12,0.1526
505,42,杨花,三月,清,曹雪芹,如梦,11,12,0.1526
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,8,12,0.1526
466,44,蔷薇,三月,宋,刘克庄,贺新郎,0,12,0.1526
440,45,蔷薇,三月,宋,周邦彦,六 丑,11,12,0.1526
479,46,虞美人,三月,宋,赵以夫,扬州慢,8,12,0.1526
421,47,兰花,三月,清,秋瑾,兰 花,8,12,0.1526
512,48,杨花,三月,宋,周密,声声慢,8,12,0.1526
515,49,杨花,三月,宋,苏轼,水龙吟,11,12,0.1526
516,50,杨花,三月,明,赵南星,水龙吟,11,12,0.1526
