ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
479,46,虞美人,三月,宋,赵以夫,扬州慢,0.0009,0.0009,0.9943,0.0009,0.0009,0.0009,0.0009,2,0.9943
421,47,兰花,三月,清,秋瑾,兰 花,0.001,0.001,0.001,0.001,0.7296,0.2654,0.001,4,0.7296
512,48,杨花,三月,宋,周密,声声慢,0.0013,0.0013,0.0013,0.0013,0.7543,0.0013,0.2391,4,0.7543
515,49,杨花,三月,宋,苏轼,水龙吟,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9961,6,0.9961
516,50,杨花,三月,明,赵南星,水龙吟,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9962,6,0.9962
521,51,木棉花,三月,清,陈恭尹,木棉花歌,0.0019,0.5323,0.0019,0.0019,0.0019,0.458,0.0019,1,0.5323
343,52,素馨,四月,宋,刘镇,念奴娇,0.0019,0.2706,0.7199,0.0019,0.0019,0.0019,0.0019,2,0.7199
346,53,木兰,四月,宋,刘,木 兰,0.4165,0.2955,0.0029,0.2766,0.0029,0.0029,0.0029,0,0.4165
345,54,剪春罗,四月,清,秋瑾,剪春罗,0.0029,0.0029,0.0029,0.4087,0.0029,0.5769,0.0029,5,0.5769
339,55,绣球,四月,明,张新,绣 球,0.0119,0.012,0.0119,0.012,0.2429,0.0119,0.6974,6,0.6974
329,56,月季,四月,宋,杨万里,腊前月季,0.2552,0.0027,0.0027,0.0027,0.2736,0.2713,0.1918,4,0.2736
327,57,玉兰,四月,清,陈维崧,东风第一枝,0.4063,0.0014,0.3513,0.0014,0.0014,0.2366,0.0014,0,0.4063
321,58,李花,四月,元,郑韶,梨 花,0.2654,0.0009,0.0009,0.2109,0.5202,0.0009,0.0009,4,0.5202
228,59,桃花,四月,明,赵福元,桃 花,0.1679,0.14,0.0008,0.0008,0.0008,0.1662,0.5235,6,0.5235
291,60,杏花,四月,明,陈子龙,画堂春,0.3415,0.001,0.4759,0.001,0.1785,0.001,0.001,2,0.4759
259,61,桃花,四月,宋,贺铸,定风波,0.0017,0.0017,0.1116,0.3542,0.0017,0.0017,0.5273,6,0.5273
260,62,桃花,四月,宋,王沂孙,露 华,0.0005,0.0005,0.3869,0.0005,0.5019,0.0005,0.1091,4,0.5019
266,63,杏花,四月,宋,王安石,杏‘ 花,0.0021,0.0021,0.4345,0.1433,0.4136,0.0021,0.0021,2,0.4345
255,64,桃花,四月,明,陈宪章,潘岳爱桃,0.0014,0.0762,0.0712,0.0014,0.0014,0.4131,0.4352,6,0.4352
268,65,杏花,四月,唐,韩愈,杏 花,0.0009,0.0009,0.9946,0.0009,0.0009,0.0009,0.0009,2,0.9946
286,66,杏花,四月,宋,叶绍翁,游园不值,0.9947,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0,0.9947
542,67,芍药,四月,宋,韩元吉,浪淘沙,0.0012,0.0012,0.8095,0.0012,0.0012,0.1846,0.0012,2,0.8095
543,68,芍药,四月,宋,卢祖皋,水龙吟,0.0011,0.0011,0.6125,0.0011,0.0011,0.382,0.0011,2,0.6125
544,69,芍药,四月,宋,晁补之,望海潮,0.0012,0.0012,0.6756,0.0012,0.0012,0.3186,0.0012,2,0.6756
559,70,杜鹃,四月,宋,辛弃疾,定风波,0.0639,0.1125,0.0443,0.0008,0.0008,0.7769,0.0008,5,0.7769
564,71,虞美人,四月,宋,姜夔,赋虞美人草,0.0009,0.0009,0.5698,0.4258,0.0009,0.0009,0.0009,2,0.5698
569,72,虞美人,四月,清,许氏,虞美人,0.0012,0.0012,0.6275,0.0813,0.0012,0.2862,0.0012,2,0.6275
610,73,石竹,五月,宋,张耒,石竹花,0.002,0.002,0.002,0.5689,0.002,0.4212,0.002,3,0.5689
600,74,榴花,五月,宋,欧阳修,西园石榴开,0.0026,0.0026,0.0026,0.0026,0.0026,0.9847,0.0026,5,0.9847
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,0.1657,0.0024,0.0024,0.1408,0.0024,0.6838,0.0024,5,0.6838
596,76,榴花,五月,宋,苏辙,赋园中所有,0.002,0.002,0.002,0.1785,0.002,0.8116,0.002,5,0.8116
597,77,榴花,五月,明,吴宽,榴 花,0.0017,0.0017,0.0017,0.0017,0.0017,0.99,0.0017,5,0.99
608,78,榴花,五月,宋,苏轼,贺新郎,0.0008,0.2776,0.3933,0.3258,0.0008,0.0008,0.0008,2,0.3933
598,79,榴花,五月,金,元格,榴 花,0.002,0.0021,0.1752,0.1045,0.002,0.5807,0.1335,5,0.5807
615,80,栀子花,五月,宋,朱淑真,栀 子,0.001,0.001,0.001,0.001,0.001,0.9939,0.001,5,0.9939
599,81,榴花,五月,唐,温庭筠,海 榴,0.0015,0.0993,0.0015,0.0015,0.1002,0.7944,0.0015,5,0.7944
614,82,栀子花,五月,唐,王建,雨过山村,0.1443,0.0023,0.0023,0.2714,0.0023,0.5751,0.0023,5,0.5751
601,83,榴花,五月,宋,朱熹,榴 花,0.0025,0.249,0.0025,0.087,0.0025,0.6541,0.0025,5,0.6541
603,84,榴花,五月,唐,韩愈,榴 花,0.0013,0.0013,0.2295,0.1355,0.0013,0.6298,0.0013,5,0.6298
607,85,榴花,五月,宋,王沂孙,庆清朝,0.001,0.0783,0.7185,0.1993,0.001,0.001,0.001,2,0.7185
612,86,石竹,五月,元,蒲道源,赋石竹,0.0043,0.0043,0.0043,0.0043,0.0043,0.974,0.0043,5,0.974
609,87,石竹,五月,唐,王绩,石竹咏,0.5271,0.003,0.003,0.003,0.003,0.458,0.003,0,0.5271
611,88,石竹,五月,宋,王安石,石竹花,0.0024,0.0024,0.0024,0.0024,0.0024,0.9854,0.0024,5,0.9854
872,89,菊花,六月,唐,黄巢,题菊花,0.7522,0.0014,0.0014,0.1436,0.0014,0.0014,0.0987,0,0.7522
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,0.0009,0.3499,0.0422,0.1901,0.0978,0.318,0.0009,1,0.3499
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,0.2165,0.0016,0.0016,0.7754,0.0016,0.0016,0.0016,3,0.7754
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,0.0004,3,0.9979
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,0.0015,0.0015,0.0015,0.991,0.0015,0.0015,0.0015,3,0.991
638,94,荷花,六月,唐,王勃,采莲曲,0.1903,0.0014,0.0014,0.8025,0.0014,0.0014,0.0014,3,0.8025
696,95,木芙蓉,六月,明,王夫之,玉楼春,0.0011,0.0011,0.0011,0.9931,0.0011,0.0011,0.0011,3,0.9931
637,96,荷花,六月,清,胡天游,观鑫,0.4091,0.002,0.077,0.5059,0.002,0.002,0.002,3,0.5059
636,97,荷花,六月,金,萧贡古,采莲曲,0.0013,0.0013,0.0013,0.9921,0.0013,0.0013,0.0013,3,0.9921
699,98,虞美人,六月,宋,贺铸,踏莎行,0.0008,0.0008,0.0008,0.7941,0.0008,0.0008,0.2019,3,0.7941
701,99,虞美人,六月,宋,姜夔,惜红衣,0.1439,0.0011,0.0011,0.7694,0.0822,0.0011,0.0011,3,0.7694
702,100,虞美人,六月,宋,康与之,洞仙歌令,0.0014,0.0014,0.0014,0.9914,0.0014,0.0014,0.0014,3,0.9914
703,101,虞美人,六月,宋,王沂孙,水龙吟,0.0007,0.0007,0.0654,0.9309,0.0007,0.0007,0.0007,3,0.9309
706,102,虞美人,六月,金,元好问,迈陂塘,0.0014,0.0014,0.0014,0.9917,0.0014,0.0014,0.0014,3,0.9917
707,103,虞美人,六月,元,李冶,迈陂塘,0.2675,0.0017,0.0017,0.6271,0.0987,0.0017,0.0017,3,0.6271
708,104,虞美人,六月,宋,姜夔,念奴娇,0.001,0.1414,0.001,0.704,0.0477,0.001,0.104,3,0.704
759,105,秋海棠,七月,清,高士奇,南柯子,0.1741,0.8141,0.0024,0.0024,0.0024,0.0023,0.0024,1,0.8141
756,106,秋海棠,七月,清,朱受新,白秋海棠,0.6245,0.3418,0.0256,0.002,0.002,0.002,0.002,0,0.6245
749,107,木槿,七月,唐,杨凌,咏槿花,0.1684,0.342,0.0026,0.0026,0.0026,0.4793,0.0026,5,0.4793
782,108,芦花,七月,金,吴激,同儿曹赋芦花,0.2671,0.3485,0.0031,0.3722,0.003,0.0031,0.0031,3,0.3722
747,109,木槿,七月,明,吴宽,槿,0.0023,0.0023,0.0023,0.3064,0.0023,0.682,0.0023,5,0.682
746,110,木槿,七月,元,舒頔,白槿花,0.0026,0.0026,0.0026,0.0026,0.2405,0.7465,0.0026,5,0.7465
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,0.0017,0.9513,0.0017,0.0017,0.0017,0.0018,0.04,1,0.9513
748,112,木槿,七月,唐,李商隐,槿 花(其-),0.0013,0.0013,0.0013,0.271,0.0013,0.7227,0.0013,5,0.7227
764,113,蓼花,七月,宋,宋祁,蓼 花,0.359,0.0022,0.0022,0.0022,0.0022,0.3282,0.304,0,0.359
783,114,芦花,七月,明,徐,芦 花,0.4579,0.0038,0.0038,0.1743,0.0038,0.3527,0.0038,0,0.4579
789,115,金银花,七月,清,王夫之,金钗股,0.0029,0.6591,0.0029,0.0029,0.0029,0.3262,0.0029,1,0.6591
