ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
479,46,虞美人,三月,宋,赵以夫,扬州慢,0.0011,0.4011,0.5935,0.0011,0.0011,0.0011,0.0011,2,0.5935
421,47,兰花,三月,清,秋瑾,兰 花,0.001,0.001,0.001,0.001,0.001,0.9941,0.001,5,0.9941
512,48,杨花,三月,宋,周密,声声慢,0.2787,0.0014,0.4256,0.0014,0.0014,0.0014,0.2902,2,0.4256
515,49,杨花,三月,宋,苏轼,水龙吟,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.9959,6,0.9959
516,50,杨花,三月,明,赵南星,水龙吟,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.9961,6,0.9961
521,51,木棉花,三月,清,陈恭尹,木棉花歌,0.0021,0.5836,0.0785,0.0021,0.21,0.0021,0.1216,1,0.5836
343,52,素馨,四月,宋,刘镇,念奴娇,0.0021,0.2292,0.5861,0.002,0.002,0.1765,0.002,2,0.5861
346,53,木兰,四月,宋,刘,木 兰,0.0031,0.0031,0.1171,0.041,0.0031,0.8294,0.0031,5,0.8294
345,54,剪春罗,四月,清,秋瑾,剪春罗,0.003,0.003,0.003,0.5045,0.003,0.4805,0.003,3,0.5045
339,55,绣球,四月,明,张新,绣 球,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0,0.1429
329,56,月季,四月,宋,杨万里,腊前月季,0.0029,0.9828,0.0029,0.0029,0.0029,0.0029,0.0029,1,0.9828
327,57,玉兰,四月,清,陈维崧,东风第一枝,0.0016,0.0016,0.5802,0.0016,0.0016,0.4116,0.0016,2,0.5802
321,58,李花,四月,元,郑韶,梨 花,0.1379,0.8575,0.0009,0.0009,0.0009,0.0009,0.0009,1,0.8575
228,59,桃花,四月,明,赵福元,桃 花,0.0008,0.0008,0.0008,0.0008,0.3097,0.0008,0.6862,6,0.6862
291,60,杏花,四月,明,陈子龙,画堂春,0.001,0.3024,0.6926,0.001,0.001,0.001,0.001,2,0.6926
259,61,桃花,四月,宋,贺铸,定风波,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.989,6,0.989
260,62,桃花,四月,宋,王沂孙,露 华,0.0005,0.0005,0.997,0.0005,0.0005,0.0005,0.0005,2,0.997
266,63,杏花,四月,宋,王安石,杏‘ 花,0.0021,0.0021,0.0021,0.0021,0.9875,0.0021,0.0021,4,0.9875
255,64,桃花,四月,明,陈宪章,潘岳爱桃,0.3415,0.0014,0.0014,0.0014,0.0014,0.0014,0.6515,6,0.6515
268,65,杏花,四月,唐,韩愈,杏 花,0.0009,0.0009,0.9946,0.0009,0.0009,0.0009,0.0009,2,0.9946
286,66,杏花,四月,宋,叶绍翁,游园不值,0.0009,0.0009,0.0009,0.0009,0.9948,0.0009,0.0009,4,0.9948
542,67,芍药,四月,宋,韩元吉,浪淘沙,0.0012,0.0012,0.9928,0.0012,0.0012,0.0012,0.0012,2,0.9928
543,68,芍药,四月,宋,卢祖皋,水龙吟,0.3006,0.0012,0.6936,0.0012,0.0012,0.0012,0.0012,2,0.6936
544,69,芍药,四月,宋,晁补之,望海潮,0.285,0.0012,0.709,0.0012,0.0012,0.0012,0.0012,2,0.709
559,70,杜鹃,四月,宋,辛弃疾,定风波,0.136,0.0008,0.0008,0.0008,0.085,0.7758,0.0008,5,0.7758
564,71,虞美人,四月,宋,姜夔,赋虞美人草,0.0009,0.0174,0.0009,0.1919,0.0009,0.7871,0.0009,5,0.7871
569,72,虞美人,四月,清,许氏,虞美人,0.0013,0.0013,0.0013,0.0013,0.0013,0.9922,0.0013,5,0.9922
610,73,石竹,五月,宋,张耒,石竹花,0.3235,0.002,0.002,0.002,0.002,0.6663,0.0021,5,0.6663
600,74,榴花,五月,宋,欧阳修,西园石榴开,0.0026,0.0026,0.5541,0.0026,0.0026,0.4328,0.0026,2,0.5541
595,75,榴花,五月,唐,李白,咏邻女东窗海石榴,0.0024,0.1858,0.1916,0.0024,0.0024,0.613,0.0024,5,0.613
596,76,榴花,五月,宋,苏辙,赋园中所有,0.002,0.002,0.6069,0.002,0.002,0.3833,0.002,2,0.6069
597,77,榴花,五月,明,吴宽,榴 花,0.0016,0.0016,0.5229,0.0016,0.0016,0.469,0.0016,2,0.5229
608,78,榴花,五月,宋,苏轼,贺新郎,0.0009,0.0009,0.5065,0.4299,0.0009,0.0602,0.0009,2,0.5065
598,79,榴花,五月,金,元格,榴 花,0.003,0.2196,0.7654,0.003,0.003,0.003,0.003,2,0.7654
615,80,栀子花,五月,宋,朱淑真,栀 子,0.001,0.001,0.001,0.001,0.001,0.994,0.001,5,0.994
599,81,榴花,五月,唐,温庭筠,海 榴,0.0547,0.0015,0.6345,0.0015,0.0015,0.3046,0.0015,2,0.6345
614,82,栀子花,五月,唐,王建,雨过山村,0.2845,0.0029,0.0029,0.1467,0.0029,0.5571,0.0029,5,0.5571
601,83,榴花,五月,宋,朱熹,榴 花,0.0025,0.0025,0.6143,0.0025,0.0025,0.3731,0.0025,2,0.6143
603,84,榴花,五月,唐,韩愈,榴 花,0.0013,0.0013,0.9921,0.0013,0.0013,0.0013,0.0013,2,0.9921
607,85,榴花,五月,宋,王沂孙,庆清朝,0.0012,0.0012,0.6981,0.2957,0.0012,0.0012,0.0012,2,0.6981
612,86,石竹,五月,元,蒲道源,赋石竹,0.2711,0.0042,0.0042,0.0042,0.0042,0.7079,0.0042,5,0.7079
609,87,石竹,五月,唐,王绩,石竹咏,0.0033,0.0033,0.0033,0.0033,0.0033,0.9804,0.0033,5,0.9804
611,88,石竹,五月,宋,王安石,石竹花,0.0025,0.0025,0.0025,0.0025,0.0025,0.9012,0.0862,5,0.9012
872,89,菊花,六月,唐,黄巢,题菊花,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.9913,6,0.9913
663,90,木芙蓉,六月,唐,陆龟蒙,白 莲,0.2702,0.1473,0.0489,0.2517,0.001,0.2077,0.0733,0,0.2702
642,91,荷花,六月,唐,温庭筠,张静婉采莲曲,0.0016,0.0016,0.0016,0.814,0.0016,0.0016,0.1778,3,0.814
704,92,虞美人,六月,宋,王沂孙,水龙吟白莲,0.0004,0.0004,0.0004,0.9979,0.0004,0.0004,0.0004,3,0.9979
639,93,荷花,六月,唐,韩愈,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,0.0015,0.0015,0.5491,0.4436,0.0015,0.0015,0.0015,2,0.5491
638,94,荷花,六月,唐,王勃,采莲曲,0.3217,0.0016,0.0016,0.6701,0.0016,0.0016,0.0017,3,0.6701
696,95,木芙蓉,六月,明,王夫之,玉楼春,0.0012,0.0012,0.0012,0.993,0.0012,0.0012,0.0012,3,0.993
637,96,荷花,六月,清,胡天游,观鑫,0.0021,0.0021,0.0021,0.5718,0.0021,0.0021,0.4178,3,0.5718
