ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
155,11,虞美人,正月,宋,吴文英,贺新郎,"[[""想象"", 0.4725], [""理解"", 0.3105], [""令人"", 0.2381], [""议论"", 0.2238], [""东风"", 0.2207], [""显出"", 0.2149], [""意境"", 0.1876], [""自然"", 0.1754], [""不能"", 0.1587], [""词人"", 0.1575], [""就是"", 0.1483], [""艺术"", 0.1462], [""没有"", 0.1339], [""先生"", 0.1135], [""相对"", 0.1104], [""希望"", 0.1089], [""烘托"", 0.1089], [""便是"", 0.1089], [""映衬"", 0.1075], [""故事"", 0.1061]]",想象、理解、令人、议论、东风
355,12,棠梨花,正月,清,杜文澜,东风第一枝,"[[""牡丹"", 0.4124], [""金钱"", 0.2478], [""细腻"", 0.2442], [""碧桃"", 0.23], [""兰花"", 0.2229], [""美丽"", 0.2222], [""女子"", 0.2132], [""芍药"", 0.2061], [""花卉"", 0.1587], [""春光"", 0.1568], [""具体"", 0.1532], [""一幅"", 0.1514], [""景象"", 0.145], [""引起"", 0.1407], [""形象"", 0.136], [""心情"", 0.1342], [""开花"", 0.133], [""生动"", 0.1284], [""比喻"", 0.1273], [""手法"", 0.1212]]",牡丹、金钱、细腻、碧桃、兰花
157,13,迎春花,正月,唐,白居易.,代迎春花招刘郎中,"[[""桃李"", 0.7537], [""洛阳"", 0.2752], [""人物"", 0.2399], [""桃花"", 0.2301], [""独立"", 0.1166], [""自有"", 0.115], [""风流"", 0.115], [""牡丹"", 0.115], [""极为"", 0.1121], [""花卉"", 0.1107], [""春色"", 0.1068], [""笔下"", 0.1044], [""品格"", 0.1022], [""高洁"", 0.1011], [""联系"", 0.1011], [""看来"", 0.1001], [""得到"", 0.0991], [""无限"", 0.0991], [""进一步"", 0.0981], [""象征"", 0.0981]]",桃李、洛阳、人物、桃花、独立
5,14,梅花,正月,宋,苏轼,和秦太虚梅花,"[[""东坡"", 0.8762], [""梅花"", 0.3044], [""西湖"", 0.1319], [""杭州"", 0.1273], [""佳人"", 0.1117], [""情趣"", 0.1064], [""无人"", 0.1041], [""引出"", 0.1029], [""风雨"", 0.0626], [""清人"", 0.0589], [""咏梅"", 0.0573], [""相似"", 0.0566], [""杜甫"", 0.0551], [""独特"", 0.0551], [""还有"", 0.0545], [""春光"", 0.0545], [""形成"", 0.0532], [""春色"", 0.0532], [""一幅"", 0.0526], [""画面"", 0.0504]]",东坡、梅花、西湖、杭州、佳人
6,15,梅花,正月,宋,苏轼,十一月二十六日，松风亭下梅花盛开，,"[[""梅花"", 0.6796], [""苏轼"", 0.4808], [""境界"", 0.212], [""白色"", 0.1945], [""神韵"", 0.1334], [""成为"", 0.1247], [""难以"", 0.1175], [""春风"", 0.1113], [""仿佛"", 0.1102], [""自然"", 0.1031], [""显得"", 0.0891], [""正是"", 0.0813], [""杏花"", 0.0782], [""仙女"", 0.0699], [""命运"", 0.0677], [""月光"", 0.0658], [""清人"", 0.0658], [""东风"", 0.0648], [""性格"", 0.0648], [""思想"", 0.064]]",梅花、苏轼、境界、白色、神韵
7,16,梅花,正月,宋,苏轼,再用前韵,"[[""梅花"", 0.6314], [""苏轼"", 0.6254], [""东坡"", 0.2181], [""咏梅"", 0.1997], [""桃李"", 0.1454], [""清人"", 0.1026], [""传说"", 0.0949], [""性格"", 0.0675], [""感情"", 0.0671], [""故事"", 0.0649], [""现实"", 0.0618], [""更为"", 0.0618], [""春色"", 0.0618], [""高洁"", 0.0585], [""盛开"", 0.0501], [""渲染"", 0.0501], [""想象"", 0.0481], [""首诗"", 0.0467], [""屈原"", 0.0358], [""草木"", 0.0352]]",梅花、苏轼、东坡、咏梅、桃李
12,17,梅花,正月,唐,李商隐,十一月中旬扶风界见梅花,"[[""梅花"", 0.9214], [""咏物诗"", 0.2107], [""自已"", 0.1849], [""认为"", 0.1308], [""月光"", 0.078], [""显出"", 0.0749], [""感叹"", 0.0749], [""写法"", 0.0721], [""寄托"", 0.0629], [""已经"", 0.0601], [""比喻"", 0.0586], [""首诗"", 0.0532], [""牡丹"", 0.0379], [""成为"", 0.037], [""风姿"", 0.0365], [""还有"", 0.0361], [""可能"", 0.0356], [""也许"", 0.0337], [""香气"", 0.0337], [""不知"", 0.033]]",梅花、咏物诗、自已、认为、月光
202,18,樱桃花,二月,宋,范成大,赏海棠三绝,"[[""海棠"", 0.9064], [""观赏"", 0.1813], [""完全"", 0.17], [""不同"", 0.1517], [""赏花"", 0.1073], [""只能"", 0.1046], [""美好"", 0.0943], [""感慨"", 0.0857], [""杜甫"", 0.0688], [""在于"", 0.0664], [""写出"", 0.0639], [""无限"", 0.0616], [""情景"", 0.0598], [""没有"", 0.044], [""月光"", 0.0368], [""红花"", 0.0368], [""思想"", 0.0358], [""有着"", 0.0353], [""觉得"", 0.0353], [""细腻"", 0.0353]]",海棠、观赏、完全、不同、赏花
179,19,樱桃花,二月,宋,欧阳修,折海棠戏赠圣俞,"[[""海棠"", 0.7931], [""人生"", 0.2448], [""韩愈"", 0.1682], [""强烈"", 0.1525], [""对比"", 0.1506], [""情绪"", 0.1437], [""鲜明"", 0.1376], [""环境"", 0.1285], [""正面"", 0.1261], [""抒发"", 0.125], [""盛开"", 0.1178], [""感情"", 0.1051], [""海棠花"", 0.0884], [""形态"", 0.0816], [""红花"", 0.0804], [""前人"", 0.0782], [""成为"", 0.0762], [""曲折"", 0.0762], [""气氛"", 0.0753], [""结尾"", 0.0753]]",海棠、人生、韩愈、强烈、对比
181,20,樱桃花,二月,宋,苏轼,寓居定惠院之东，杂花溝山，有海棠一株，土人不知贵也,"[[""海棠"", 0.8978], [""佳人"", 0.1295], [""苏轼"", 0.1248], [""矛盾"", 0.0983], [""手法"", 0.0976], [""拟人"", 0.0924], [""形态"", 0.0924], [""先生"", 0.0924], [""清人"", 0.091], [""凄凉"", 0.0863], [""毕竟"", 0.0842], [""可能"", 0.0832], [""心理"", 0.0771], [""想象"", 0.0641], [""就是"", 0.0603], [""正是"", 0.0563], [""桃李"", 0.0484], [""自然"", 0.0476], [""命运"", 0.0469], [""神韵"", 0.0462]]",海棠、佳人、苏轼、矛盾、手法
182,21,樱桃花,二月,宋,陆游,张园海棠,"[[""海棠"", 0.6146], [""洛阳"", 0.3627], [""芍药"", 0.3444], [""陆游"", 0.3368], [""扬州"", 0.2908], [""牡丹"", 0.2205], [""海棠花"", 0.1868], [""风雨"", 0.1204], [""极为"", 0.0806], [""景象"", 0.0727], [""似乎"", 0.0715], [""形容"", 0.0649], [""人生"", 0.0575], [""结尾"", 0.053], [""艳丽"", 0.053], [""形成"", 0.0512], [""寂寞"", 0.0466], [""境界"", 0.0457], [""生活"", 0.0433], [""比喻"", 0.0425]]",海棠、洛阳、芍药、陆游、扬州
183,22,樱桃花,二月,宋,陆游,海棠歌,"[[""落花"", 0.7502], [""海棠"", 0.5638], [""比喻"", 0.148], [""先生"", 0.14], [""景象"", 0.1181], [""陆游"", 0.0937], [""形容"", 0.0602], [""希望"", 0.0575], [""故事"", 0.0561], [""得到"", 0.0496], [""观赏"", 0.0486], [""芍药"", 0.0479], [""生活"", 0.0452], [""扬州"", 0.045], [""胭脂"", 0.0433], [""开头"", 0.0413], [""首诗"", 0.0404], [""面对"", 0.0384], [""桃花"", 0.0384], [""实际上"", 0.0341]]",落花、海棠、比喻、先生、景象
185,23,樱桃花,二月,宋,郭稹,海 棠,"[[""海棠"", 0.9449], [""杜甫"", 0.1994], [""典故"", 0.085], [""方面"", 0.072], [""前人"", 0.0691], [""艳丽"", 0.0665], [""花瓣"", 0.0649], [""香气"", 0.0614], [""颜色"", 0.0572], [""花朵"", 0.0552], [""没有"", 0.0425], [""拟人化"", 0.0413], [""海棠花"", 0.039], [""意态"", 0.039], [""诗歌"", 0.0383], [""呼应"", 0.0355], [""地方"", 0.035], [""自有"", 0.0345], [""感到"", 0.0336], [""欣赏"", 0.0336]]",海棠、杜甫、典故、方面、前人
187,24,樱桃花,二月,宋,刘子,海棠,"[[""海棠"", 0.938], [""海棠花"", 0.1634], [""风流"", 0.0868], [""结尾"", 0.0835], [""情感"", 0.0825], [""难以"", 0.0797], [""胭脂"", 0.0653], [""憔悴"", 0.0632], [""首诗"", 0.0609], [""方面"", 0.0603], [""性格"", 0.0586], [""杜甫"", 0.0557], [""更加"", 0.0543], [""情趣"", 0.0537], [""比较"", 0.0537], [""赞美"", 0.0531], [""颜色"", 0.0479], [""形象"", 0.0318], [""创造"", 0.0311], [""人物"", 0.0302]]",海棠、海棠花、风流、结尾、情感
211,25,樱桃花,二月,金,蔡松年,黄海棠,"[[""海棠"", 0.7253], [""海棠花"", 0.539], [""相思"", 0.2058], [""花朵"", 0.1429], [""比喻"", 0.138], [""盛开"", 0.1346], [""写出"", 0.1065], [""形容"", 0.0936], [""红色"", 0.0613], [""白色"", 0.0604], [""特点"", 0.0589], [""结尾"", 0.0574], [""还有"", 0.0567], [""出来"", 0.056], [""绿叶"", 0.056], [""花瓣"", 0.056], [""更为"", 0.0554], [""古人"", 0.0554], [""不禁"", 0.0541], [""也许"", 0.053]]",海棠、海棠花、相思、花朵、比喻
218,26,樱桃花,二月,宋,李清照,如梦令,"[[""海棠花"", 0.5656], [""海棠"", 0.3691], [""心理"", 0.3565], [""风雨"", 0.3479], [""不同"", 0.1609], [""主人公"", 0.1571], [""联想"", 0.1454], [""时节"", 0.124], [""不禁"", 0.124], [""艺术"", 0.1223], [""自然"", 0.1222], [""构思"", 0.0949], [""红花"", 0.0936], [""红色"", 0.0936], [""显示"", 0.0876], [""理解"", 0.0865], [""凋零"", 0.0865], [""绿叶"", 0.0855], [""比较"", 0.0845], [""没有"", 0.0839]]",海棠花、海棠、心理、风雨、不同
224,27,樱桃花,二月,宋,吴文英,宴清都,"[[""海棠"", 0.9242], [""形态"", 0.1811], [""海棠花"", 0.0981], [""首词"", 0.098], [""词人"", 0.0942], [""读者"", 0.0907], [""冷落"", 0.0857], [""艳丽"", 0.0836], [""想到"", 0.0826], [""上片"", 0.0726], [""下片"", 0.072], [""人间"", 0.072], [""意思"", 0.0682], [""西湖"", 0.0499], [""红花"", 0.0446], [""咏梅"", 0.0434], [""杜甫"", 0.0418], [""理解"", 0.0413], [""孤独"", 0.0403], [""说明"", 0.0399]]",海棠、形态、海棠花、首词、词人
221,28,樱桃花,二月,宋,李鹰,南乡子,"[[""海棠"", 0.7829], [""红花"", 0.3609], [""意思"", 0.1654], [""梅花"", 0.1598], [""海棠花"", 0.1587], [""毕竟"", 0.1335], [""美丽"", 0.1261], [""品格"", 0.1248], [""意境"", 0.121], [""颜色"", 0.1164], [""盛开"", 0.1057], [""韩愈"", 0.0755], [""自然"", 0.0754], [""呼应"", 0.0722], [""感到"", 0.0684], [""娇艳"", 0.0684], [""风姿"", 0.0676], [""理解"", 0.0668], [""还有"", 0.0668], [""更为"", 0.0652]]",海棠、红花、意思、梅花、海棠花
223,29,樱桃花,二月,宋,刘克庄,二月二十四夜饮海棠下作,"[[""海棠"", 0.4052], [""无情"", 0.3173], [""强烈"", 0.2922], [""下片"", 0.2485], [""赏花"", 0.1999], [""语言"", 0.1999], [""细腻"", 0.1973], [""苏轼"", 0.1878], [""其实"", 0.1795], [""咏花"", 0.1776], [""内容"", 0.1776], [""洛阳"", 0.1195], [""海棠花"", 0.1129], [""用典"", 0.1091], [""历史"", 0.1074], [""自然"", 0.1073], [""人物"", 0.1042], [""先生"", 0.1042], [""清人"", 0.1027], [""桃花"", 0.0999]]",海棠、无情、强烈、下片、赏花
225,30,樱桃花,二月,宋,刘克庄,摸鱼儿,"[[""海棠"", 0.9014], [""词人"", 0.2631], [""东风"", 0.1639], [""胭脂"", 0.137], [""海棠花"", 0.0913], [""苏轼"", 0.076], [""不知"", 0.0704], [""碧桃"", 0.0564], [""风雨"", 0.0441], [""东坡"", 0.0441], [""桃李"", 0.0441], [""憔悴"", 0.0441], [""白色"", 0.041], [""前人"", 0.0404], [""花儿"", 0.0404], [""风韵"", 0.0399], [""极为"", 0.0394], [""自已"", 0.0394], [""传神"", 0.0389], [""艳丽"", 0.0389]]",海棠、词人、东风、胭脂、海棠花
226,31,桃花,二月,唐,杜甫,风雨看舟前落花戏为新句,"[[""桃花"", 0.7273], [""风雨"", 0.2647], [""杜甫"", 0.2333], [""景物"", 0.2177], [""落花"", 0.1859], [""无情"", 0.171], [""鲜明"", 0.1421], [""生动"", 0.1258], [""艺术"", 0.1085], [""似乎"", 0.1048], [""没有"", 0.0994], [""诗歌"", 0.0897], [""红花"", 0.0831], [""摇曳"", 0.0808], [""细腻"", 0.0798], [""喜爱"", 0.0798], [""有着"", 0.0798], [""凄凉"", 0.0787], [""艳丽"", 0.0778], [""特色"", 0.0778]]",桃花、风雨、杜甫、景物、落花
227,32,桃花,二月,唐,李咸用,绯桃花歌,"[[""桃花"", 0.6887], [""感情"", 0.3303], [""便是"", 0.246], [""变化"", 0.2186], [""独特"", 0.142], [""动人"", 0.1403], [""想象"", 0.1067], [""开头"", 0.1059], [""草木"", 0.1041], [""首诗"", 0.1035], [""赏花"", 0.0984], [""深情"", 0.0984], [""花瓣"", 0.0924], [""春色"", 0.0914], [""时间"", 0.0884], [""内容"", 0.0874], [""引起"", 0.0839], [""颜色"", 0.0815], [""看到"", 0.0793], [""自然"", 0.0793]]",桃花、感情、便是、变化、独特
219,33,樱桃花,二月,宋,吴潜,如梦令,"[[""海棠"", 0.6714], [""海棠花"", 0.3742], [""月光"", 0.2723], [""意境"", 0.2283], [""面对"", 0.1325], [""对比"", 0.1275], [""形成"", 0.123], [""春色"", 0.123], [""景物"", 0.119], [""香气"", 0.1177], [""画面"", 0.1165], [""看到"", 0.1068], [""自然"", 0.1067], [""人们"", 0.0859], [""没有"", 0.0814], [""形象"", 0.0728], [""创造"", 0.0712], [""红色"", 0.0681], [""出现"", 0.0654], [""有着"", 0.0654]]",海棠、海棠花、月光、意境、面对
495,34,杨花,三月,唐,刘禹锡,柳花词三首,"[[""柳花"", 0.9511], [""绿叶"", 0.1262], [""人们"", 0.1089], [""春光"", 0.0958], [""一般"", 0.0778], [""极为"", 0.0655], [""没有"", 0.062], [""美的"", 0.0603], [""品格"", 0.0597], [""开放"", 0.049], [""杨花"", 0.0454], [""写出"", 0.04], [""多情"", 0.0386], [""意态"", 0.038], [""红花"", 0.0345], [""花儿"", 0.0336], [""桃花"", 0.0336], [""牡丹"", 0.0336], [""冷落"", 0.0332], [""特点"", 0.0332]]",柳花、绿叶、人们、春光、一般
406,35,牡丹,三月,宋,王沂孙,水龙吟,"[[""牡丹"", 0.8805], [""词人"", 0.2196], [""牡丹花"", 0.1943], [""洛阳"", 0.1453], [""思想"", 0.1214], [""李白"", 0.1155], [""首词"", 0.0914], [""历史"", 0.0653], [""感情"", 0.0612], [""强烈"", 0.0592], [""故事"", 0.0592], [""结尾"", 0.0584], [""深沉"", 0.0577], [""在于"", 0.0564], [""春色"", 0.0564], [""现实"", 0.0564], [""无限"", 0.0523], [""抒情"", 0.0513], [""上片"", 0.0508], [""形象"", 0.0501]]",牡丹、词人、牡丹花、洛阳、思想
481,36,虞美人,三月,元,张翥,喜迁莺,"[[""琼花"", 0.9347], [""扬州"", 0.2358], [""词人"", 0.1576], [""人间"", 0.0972], [""仙女"", 0.0732], [""高洁"", 0.0589], [""江南"", 0.0532], [""成为"", 0.049], [""现实"", 0.0467], [""人生"", 0.035], [""风流"", 0.0335], [""无人"", 0.0304], [""笔下"", 0.0304], [""进一步"", 0.0286], [""诗意"", 0.0286], [""上片"", 0.028], [""首词"", 0.0252], [""色彩"", 0.025], [""不能"", 0.0244], [""杨花"", 0.0227]]",琼花、扬州、词人、人间、仙女
388,37,牡丹,三月,唐,白居易,惜牡丹花,"[[""牡丹"", 0.7687], [""牡丹花"", 0.4052], [""诗歌"", 0.251], [""花朵"", 0.1084], [""赏花"", 0.0904], [""强烈"", 0.0881], [""对比"", 0.087], [""可爱"", 0.086], [""完全"", 0.086], [""深沉"", 0.086], [""时节"", 0.0821], [""咏花"", 0.0804], [""具有"", 0.0779], [""寂寞"", 0.0764], [""作品"", 0.0716], [""首诗"", 0.0634], [""显得"", 0.063], [""读者"", 0.063], [""咏物诗"", 0.0502], [""憔悴"", 0.0494]]",牡丹、牡丹花、诗歌、花朵、赏花
369,38,牡丹,三月,唐,李商隐,牡 丹,"[[""牡丹"", 0.8881], [""用典"", 0.2816], [""牡丹花"", 0.2567], [""香气"", 0.1018], [""看到"", 0.0924], [""典故"", 0.0706], [""比喻"", 0.0663], [""盛开"", 0.0647], [""咏物诗"", 0.0636], [""特色"", 0.0551], [""起来"", 0.052], [""寄托"", 0.0475], [""自然"", 0.0462], [""开放"", 0.0418], [""首诗"", 0.0402], [""没有"", 0.0352], [""洛阳"", 0.0343], [""屈原"", 0.0308], [""构思"", 0.0299], [""比作"", 0.0294]]",牡丹、用典、牡丹花、香气、看到
363,39,牡丹,三月,唐,李咸用,远公亭牡丹,"[[""牡丹"", 0.9187], [""洛阳"", 0.2127], [""牡丹花"", 0.1518], [""出现"", 0.117], [""美丽"", 0.0799], [""变化"", 0.079], [""花朵"", 0.071], [""面对"", 0.0593], [""赏花"", 0.0593], [""感到"", 0.0578], [""传说"", 0.0564], [""没有"", 0.0547], [""内容"", 0.0527], [""不同"", 0.0419], [""显得"", 0.0413], [""人们"", 0.0384], [""故人"", 0.0355], [""仙女"", 0.0324], [""无情"", 0.0314], [""比作"", 0.0305]]",牡丹、洛阳、牡丹花、出现、美丽
470,40,金沙,三月,宋,杨万里,金沙花,"[[""琼花"", 0.8413], [""扬州"", 0.4245], [""历史"", 0.1297], [""自然"", 0.0972], [""生活"", 0.0947], [""没有"", 0.0742], [""洛阳"", 0.0722], [""风流"", 0.0603], [""桃花"", 0.0603], [""希望"", 0.0603], [""故事"", 0.0588], [""有关"", 0.0588], [""意味"", 0.0581], [""特色"", 0.0581], [""还有"", 0.0574], [""出来"", 0.0567], [""生长"", 0.0548], [""直接"", 0.0542], [""也许"", 0.0536], [""景象"", 0.0531]]",琼花、扬州、历史、自然、生活
465,41,蔷薇,三月,宋,曹達,玲珑四犯,"[[""烘托"", 0.5846], [""牡丹"", 0.2923], [""梅花"", 0.2218], [""词人"", 0.2114], [""艺术"", 0.1963], [""赏花"", 0.1949], [""极为"", 0.1899], [""可能"", 0.1831], [""当然"", 0.1543], [""比喻"", 0.1504], [""手法"", 0.1432], [""仙女"", 0.1064], [""人物"", 0.1016], [""拟人"", 0.1016], [""月光"", 0.1002], [""红色"", 0.1002], [""摇曳"", 0.0974], [""风流"", 0.0974], [""只能"", 0.0949], [""欣赏"", 0.0949]]",烘托、牡丹、梅花、词人、艺术
505,42,杨花,三月,清,曹雪芹,如梦,"[[""杨花"", 0.9253], [""人物"", 0.168], [""春光"", 0.1531], [""全词"", 0.1109], [""生活"", 0.0948], [""主人公"", 0.0927], [""情态"", 0.0785], [""心理"", 0.0701], [""首词"", 0.0606], [""意态"", 0.0455], [""咏物诗"", 0.0447], [""神韵"", 0.042], [""性格"", 0.0408], [""希望"", 0.0403], [""有着"", 0.0397], [""细腻"", 0.0397], [""自已"", 0.0392], [""充满"", 0.0383], [""更加"", 0.0378], [""出来"", 0.0378]]",杨花、人物、春光、全词、生活
472,43,琼花,三月,宋,王禹偁,后土庙琼花诗二首,"[[""琼花"", 0.9459], [""扬州"", 0.2712], [""产生"", 0.0542], [""清香"", 0.0469], [""梅花"", 0.0468], [""赞美"", 0.0425], [""没有"", 0.0379], [""形态"", 0.0322], [""就是"", 0.0315], [""表明"", 0.0308], [""极为"", 0.03], [""花卉"", 0.0297], [""写法"", 0.0293], [""出来"", 0.029], [""美丽"", 0.0277], [""不知"", 0.0268], [""具有"", 0.0266], [""比喻"", 0.0238], [""渲染"", 0.0232], [""手法"", 0.0227]]",琼花、扬州、产生、清香、梅花
466,44,蔷薇,三月,宋,刘克庄,贺新郎,"[[""赏花"", 0.4392], [""想象"", 0.3706], [""词人"", 0.3176], [""上片"", 0.2449], [""下片"", 0.2426], [""现实"", 0.2039], [""时间"", 0.1972], [""看到"", 0.177], [""仙女"", 0.1599], [""特点"", 0.1445], [""比较"", 0.1359], [""内容"", 0.1301], [""抒情"", 0.1237], [""情怀"", 0.1202], [""形容"", 0.1149], [""盛开"", 0.1102], [""色彩"", 0.1093], [""就是"", 0.0997], [""感情"", 0.0983], [""人生"", 0.0763]]",赏花、想象、词人、上片、下片
